#separator:;
#html:true
#columns:German;English;Ukrainian;Example
die Fahrkosten (Pl.);travel expenses;транспортні витрати;Werden die Fahrkosten zum Vorstellungsgespräch vom Arbeitgeber übernommen?
die Flexibilität (Sg.);flexibility;гнучкість;Agile Softwareentwicklung erfordert viel Flexibilität vom gesamten Team.
der Gesprächspartner, - / die Gesprächspartnerin, -nen;conversation partner, interviewer;співрозмовник, інтерв'юер;Mein Gesprächspartner beim Interview war der Lead Developer.
gründlich;thorough(ly);ретельний;Der Code muss vor dem Commit in den Main-Branch gründlich getestet werden.
die Kommunikationskompetenz (Sg.);communication skills;комунікативні навички;Kommunikationskompetenz ist besonders wichtig bei der agilen Arbeit im Team.
die Kosten (Pl.);costs, expenses;витрати, вартість;Wir müssen die Kosten für unsere Cloud-Datenbanken reduzieren.
Kosten erstatten;to reimburse costs;відшкодовувати витрати;Das Unternehmen wird die Kosten für das Homeoffice-Equipment erstatten.
die Kritikfähigkeit (Sg.);ability to accept criticism;здатність сприймати критику;Bei Code-Reviews ist eine hohe Kritikfähigkeit extrem wichtig für Entwickler.
etw./jdn. kritisieren;to criticize;критикувати;Wir kritisieren im Review immer nur den Code, niemals den Entwickler.
der Laborleiter, - / die Laborleiterin, -nen;laboratory manager;керівник лабораторії;Der Laborleiter überwacht die Qualität der neuen Hardware-Tests.
die Leistungsbereitschaft (Sg.);motivation, willingness to perform;готовність до роботи, мотивація;Die Leistungsbereitschaft unseres IT-Teams vor einem Release ist sehr hoch.
der Personalverantwortliche, -n / die Personalverantwortliche, -n;HR manager;HR-менеджер, відповідальний за персонал;Das Erstgespräch findet mit dem Personalverantwortlichen statt.
die Quittung, -en;receipt;квитанція, чек;Ich brauche die Quittung für den Kauf der Software-Lizenz für die Buchhaltung.
die Teamfähigkeit (Sg.);teamwork skills;здатність працювати в команді;Für Pair-Programming ist absolute Teamfähigkeit erforderlich.
angespannt;tense, tight;напружений;Der Wohnungsmarkt in IT-Hubs wie München oder Berlin ist sehr angespannt.
die Bescheinigung, -en;certificate, attestation;довідка, свідоцтво;Ich brauche eine Bescheinigung meines Arbeitgebers für den neuen Vermieter.
der Besichtigungstermin, -e;viewing appointment;час огляду (квартири);Ich habe heute Nachmittag einen Besichtigungstermin für eine schöne Wohnung.
betragen (beträgt, betrug, hat betragen);to amount to, to be;становити, дорівнювати;Die Miete darf laut Experten maximal 30% des Netto-Gehalts betragen.
deprimierend;depressing;пригнічуючий, депресивний;Die lange Wohnungssuche in Deutschland kann für Expats manchmal deprimierend sein.
das Familieneinkommen, -;family income;дохід сім'ї;Als Softwareentwickler trägt er den größten Teil zum Familieneinkommen bei.
der Gehaltsnachweis, -e;proof of salary/income;довідка про доходи;Der Vermieter verlangt die Gehaltsnachweise der letzten drei Monate.
gemeinsam;together, common;разом, спільний;Wir suchen gemeinsam mit meiner Frau nach einer größeren Wohnung.
die Immobilie, -n;real estate, property;нерухомість;Als Senior Developer möchte er später in eine eigene Immobilie investieren.
der Makler, - / die Maklerin, -nen;real estate agent, broker;маклер, брокер, рієлтор;Der Makler hat mir eine tolle Wohnung in der Nähe des IT-Büros gezeigt.
die Mietschulden (Pl.);rent arrears, rent debts;борги з оренди;Zum Glück habe ich ein gutes IT-Gehalt und absolut keine Mietschulden.
mühsam;arduous, laborious;важкий, виснажливий;Die Suche nach einer bezahlbaren Wohnung ist in Großstädten oft sehr mühsam.
