#separator:;
#html:true
#columns:German;English;Ukrainian;Example
der Betriebsrat, "-e;works council;виробнича рада (профспілка);Wir müssen den Betriebsrat fragen.
die Betriebsfeier, -n;company party;корпоратив;Die Betriebsfeier war sehr lustig.
dokumentieren;to document;документувати;Wir müssen alle Meetings dokumentieren.
der Heizungstechniker, -;heating technician;майстер з опалення;Der Heizungstechniker repariert die Anlage.
die Heizungstechnikerin, -nen;female heating technician;майстриня з опалення;Die Heizungstechnikerin kommt morgen.
die Hilfe, -n;help;допомога;Ich brauche Hilfe bei der App.
um Hilfe bitten;to ask for help;просити про допомогу;Man sollte immer um Hilfe bitten, wenn man sie braucht.
das Zuspätkommen (Sg.);being late;запізнення;Sein häufiges Zuspätkommen ist ein Problem.
das Verständnis (Sg.);understanding;розуміння;Danke für Ihr Verständnis.
verärgert sein über (+ Akk.);to be annoyed about;бути роздратованим через;Der Chef ist verärgert über die Verspätung.
