#separator:;
#html:true
#columns:German;English;Ukrainian;Example
etw. warten (z. B. eine Maschine);to maintain (e.g., equipment);обслуговувати технічно;Wir müssen die Datenbank-Server regelmäßig am Wochenende warten.
die Wirtschaftsbranche (Sg.);economic sector;економічна галузь;Die IT ist eine der am schnellsten wachsenden Wirtschaftsbranchen.
etw. zubereiten;to prepare (food);готувати (їжу);Die smarte Büro-Kaffeemaschine kann den Espresso per App-Befehl zubereiten.
die Zuverlässigkeit (Sg.);reliability;надійність;Zuverlässigkeit ist bei einem Cloud-Backup-System das Wichtigste.
etw./jdn. abfertigen;to dispatch, to process, to handle;обслуговувати, оформляти;Die Software hilft, die Anfragen (Requests) im Server schneller abzufertigen.
die Arbeitsstätte, -n;workplace, place of work;робоче місце;Mein Homeoffice ist vertraglich meine offizielle Arbeitsstätte.
etw. beschreiben (beschreibt, beschrieb, hat beschrieben);to describe;описувати;Bitte beschreiben Sie den Bug im Jira-Ticket so genau wie möglich.
etw. betreiben (betreibt, betrieb, hat betrieben);to operate, to run;експлуатувати, керувати;Wir betreiben unsere eigenen Server in einem sicheren Rechenzentrum.
das Bodenpersonal (Sg.);ground staff;наземний персонал;Das Bodenpersonal am Flughafen nutzt unsere Tablet-App zur Kommunikation.
der Check-in (Sg.);check-in;реєстрація;Das System für den Online-Check-in funktioniert leider gerade nicht.
jdn. einstellen;to hire, to employ;наймати на роботу;Die Tech-Firma möchte dieses Jahr 20 neue Entwickler einstellen.
der Einzelhandel (Sg.);retail;роздрібна торгівля;Wir entwickeln eine moderne E-Commerce-Plattform für den Einzelhandel.
etw. erweitern;to expand, to extend;розширювати;Wir müssen die Kapazität unserer Datenbank dringend erweitern.
der Fluglotse, -n / die Fluglotsin, -nen;air traffic controller;авіадиспетчер;Der Fluglotse verlässt sich auf hochkomplexe Echtzeit-Software.
die Flugzeugabfertigung (Sg.);aircraft handling;наземне обслуговування літаків;Unsere Sensoren optimieren die Flugzeugabfertigung am Terminal.
die Gepäckabfertigung (Sg.);baggage handling;обробка багажу;Das IT-System für die Gepäckabfertigung ist durch einen Bug ausgefallen.
die Gewerkschaft, -en;trade union;профспілка;Es gibt in Deutschland auch eine Gewerkschaft, die IT-Mitarbeiter vertritt.
etw. gründen;to found, to establish;засновувати;Ich möchte nach dem Kurs mein eigenes IT-Startup gründen.
das Handgepäck (Sg.);hand luggage, carry-on baggage;ручна поклажа;Mein Firmenlaptop muss bei der Sicherheitskontrolle aus dem Handgepäck.
die Hygiene (Sg.);hygiene;гігієна;Cyber-Hygiene (wie das regelmäßige Ändern von Passwörtern) ist extrem wichtig.
die Logistik (Sg.);logistics;логістика;Wir programmieren eine KI-basierte Routing-Software für die Logistik.
die Luftfracht (Sg.);air freight, air cargo;авіаперевезення, авіавантаж;Die Daten zur Luftfracht werden in unserer Cloud synchronisiert.
der Passagier, -e / die Passagierin, -nen;passenger;пасажир;Jeder Passagier bekommt automatisiert eine E-Mail mit dem QR-Code.
der Quereinsteiger, - / die Quereinsteigerin, -nen;career changer;світчер, людина, що змінила професію;Viele gute Programmierer sind Quereinsteiger ohne Informatik-Studium.
die Spedition, -en;freight forwarding company;експедиторська компанія, служба доставки;Die Spedition nutzt unser Tracking-System für ihre LKWs.
etw. umbauen;to rebuild, to modify;перебудовувати, реконструювати, переробляти;Wir müssen die Architektur der App komplett umbauen (Refactoring).
etw. umfassen;to include, to comprise;охоплювати, включати;Das neue Software-Update wird viele coole Features umfassen.
etw./jdn. vertreten (vertritt, vertrat, hat vertreten);to represent, to substitute;представляти, заміняти (когось);Ich muss meinen Teamlead heute im Daily-Meeting vertreten.
das Arbeitsmittel, -;work equipment, tool;засіб праці, робочий інструмент;Ein leistungsstarker Laptop und zwei Monitore sind meine wichtigsten Arbeitsmittel.
der Arbeitsschutz (Sg.);occupational safety, health and safety;охорона праці;Die strengen Regeln zum Arbeitsschutz gelten auch im Serverraum.
etw. befolgen;to follow, to obey;дотримуватися, виконувати (правила);Wir müssen die Sicherheitsrichtlinien (Security Policies) der Firma strikt befolgen.
etw./jdn. behindern;to hinder, to obstruct;перешкоджати, заважати;Ein langsamer Server darf den Entwicklungsprozess nicht behindern.
etw. betätigen (z. B. den Brandmelder);to operate, to press;приводити в дію, натискати;Im Notfall müssen Sie den roten Knopf betätigen, um den Strom abzuschalten.
der Brandmelder, -;fire alarm, smoke detector;пожежний сповіщувач;Der Brandmelder im Rechenzentrum hat wegen Überhitzung Alarm geschlagen.
der Brandschutz (Sg.);fire protection;пожежна безпека;Die neuen Server-Racks entsprechen den strengsten Vorgaben für den Brandschutz.
das Brandschutzzeichen, -;fire safety sign;знак пожежної безпеки;Das rote Brandschutzzeichen zeigt, wo der Feuerlöscher im Flur hängt.
dreieckig;triangular;трикутний;Warnschilder sind in Deutschland meistens gelb und dreieckig.
etw. einschlagen (schlägt ein, schlug ein, hat eingeschlagen);to smash, to break in;розбивати (скло);Im Notfall müssen Sie die Glasscheibe einschlagen, um an den Schlüssel zu kommen.
etw. entsorgen;to dispose of;утилізувати;Alte Festplatten müssen sicher und datenschutzkonform entsorgt werden.
der Feuerlöscher, -;fire extinguisher;вогнегасник;Im Serverraum darf man auf keinen Fall einen Wasser-Feuerlöscher benutzen!
der Feuermelder, -;fire alarm;пожежна сигналізація;Bei starker Rauchentwicklung löst der Feuermelder sofort aus.
der Flucht- und Rettungsweg, -e;escape and rescue route;шлях евакуації;Der Flucht- und Rettungsweg im IT-Büro darf nie mit Kartons blockiert sein.
etw. freihalten (hält frei, hielt frei, hat freigehalten);to keep clear;тримати вільним (прохід);Bitte den Zugang zu den Server-Racks immer freihalten.
das Gebotszeichen, -;mandatory sign;приписний знак (обов'язкова дія);Das blaue Gebotszeichen bedeutet, dass man im Labor eine Schutzbrille tragen muss.
die Glasscheibe, -n;glass pane;шибка, скляна панель;Hinter der kleinen Glasscheibe befindet sich der Not-Aus-Schalter für den Strom.
hinweisen auf (+ Akk.) (weist hin, wies hin, hat hingewiesen);to point out, to refer to;вказувати на;Das Monitoring-Tool weist uns auf kritische Speicherprobleme hin.
das Hinweisschild, -er;information sign;інформаційна табличка;Ein Hinweisschild auf dem Gang zeigt den Weg zum IT-Support.
etw. löschen;to extinguish (fire), to delete (data);гасити (пожежу), видаляти (дані);Du darfst diese wichtige Datenbank-Tabelle auf keinen Fall löschen!
der Notausgang, "-e;emergency exit;аварійний вихід;Der Notausgang ist durch ein leuchtend grünes Schild markiert.
die Pflicht, -en;duty, obligation;обов'язок;Es ist unsere Pflicht, den Code vor dem Release gründlich zu testen.
quadratisch;square;квадратний;Das UI-Icon für die neue App ist quadratisch mit abgerundeten Ecken.
das Rettungszeichen, -;rescue sign, emergency sign;знак евакуації/порятунку;Rettungszeichen sind meistens grün und rechteckig.
die Schutzausrüstung, -en;protective equipment;захисне спорядження;Beim Einbau von schweren Servern braucht man manchmal Schutzausrüstung.
die Schutzbrille, -n;safety goggles;захисні окуляри;Beim Löten der Hardware-Platinen muss man eine Schutzbrille tragen.
etw./jdn. schützen;to protect;захищати;Eine gut konfigurierte Firewall schützt unser internes Netzwerk vor Hackern.
der Schutzhelm, -e;safety helmet, hard hat;захисний шолом, каска;Auf der Baustelle für das neue Rechenzentrum ist ein Schutzhelm absolute Pflicht.
der Sicherheitshinweis, -e;safety instruction/warning;вказівка щодо безпеки;Bitte lesen Sie den Sicherheitshinweis, bevor Sie den Server aufschrauben.
der Sicherheitsschuh, -e;safety shoe;захисне взуття;Techniker tragen im Data Center oft Sicherheitsschuhe, falls Hardware herunterfällt.
die Sicherheitsvorschrift, -en;safety regulation;правило техніки безпеки;Das Mitbringen von privaten USB-Sticks verstößt gegen unsere Sicherheitsvorschriften.
die Stolpergefahr, -en;tripping hazard;небезпека спотикання;Offene Netzwerkkabel am Boden sind eine große Stolpergefahr im Büro.
die Straßenverkehrsordnung (Sg.);traffic regulations;правила дорожнього руху;Die KI für autonome Autos muss die deutsche Straßenverkehrsordnung perfekt kennen.
das Verbotsschild, -er;prohibition sign;заборонний знак;Ein rotes Verbotsschild bedeutet, dass der Zutritt zum Serverraum für Unbefugte verboten ist.
das Verbotszeichen, -;prohibition sign;заборонний знак;Das Verbotszeichen zeigt an, dass man hier weder essen noch trinken darf.
etw. vermeiden (vermeidet, vermied, hat vermieden);to avoid;уникати;Wir müssen redundanten Code im Projekt unbedingt vermeiden (DRY-Prinzip).
die Verordnung, -en;regulation, decree;постанова, розпорядження;Die Datenschutz-Grundverordnung (DSGVO) ändert sehr viel für Software-Entwickler.
verpflichtet;obliged, bound;зобов'язаний;Wir sind vertraglich verpflichtet, alle Benutzerdaten sicher zu verschlüsseln.
etw. verstauen;to stow, to store;ховати, укладати, зберігати;Ich muss die vielen Kabel ordentlich im Rack verstauen.
das Warnzeichen, -;warning sign;попереджувальний знак;Ein Warnzeichen im Compiler zeigt an, dass dieser Code bald veraltet (deprecated) ist.
der Ablauf, "-e;process, sequence, flow;процес, хід подій;Wir müssen den Ablauf für das automatisierte Deployment (CI/CD) optimieren.
arbeitsunfähig;incapable of working, unfit for work;непрацездатний;Wegen einer starken Grippe bin ich diese Woche leider arbeitsunfähig.
ausrutschen (rutscht aus, rutschte aus, ist ausgerutscht);to slip;посковзнутися;Pass auf, dass du auf dem nassen Boden in der Büroküche nicht ausrutschst.
die Berufsgenossenschaft, -en;employers' liability insurance association;профспілка страховиків від нещасних випадків на виробництві;Ein Arbeitsunfall muss sofort der Berufsgenossenschaft gemeldet werden.
beteiligt an (+ Dat.);involved in;причетний до, бере участь у;An diesem großen IT-Projekt sind drei verschiedene Teams beteiligt.
das Detail, -s;detail;деталь, подробиця;Wir müssen noch ein kleines technisches Detail in der API-Dokumentation klären.
das Ereignis, -se;event, occurrence;подія;Das Log-System (wie ELK-Stack) zeichnet jedes wichtige Ereignis im System auf.
glatt;smooth, slippery;гладкий, слизький;Das neue Design der Benutzeroberfläche (UI) sieht sehr modern und glatt aus.
das Kabel, -;cable, wire;кабель, провід;Das Netzwerkkabel am Router ist leider defekt und muss getauscht werden.
sich (etw.) quetschen;to squeeze, to bruise (oneself);защемити (собі щось), прищемити;Er hat sich beim Einbauen des schweren Servers den Finger gequetscht.
Ruhe bewahren;to keep calm;зберігати спокій;Wenn der Produktions-Server abstürzt, müssen wir als DevOps-Team Ruhe bewahren.
rutschig;slippery;слизький;Vorsicht, der frisch gewischte Boden vor dem Büro ist sehr rutschig.
sachlich;factual, objective;об'єктивний, предметний;Die Diskussion beim Code Review sollte immer sachlich und professionell bleiben.
der Schaden, "-;damage, harm;шкода, збиток;Ein Hackerangriff kann einen enormen finanziellen Schaden verursachen.
etw. schildern;to describe, to depict;описувати, змальовувати;Können Sie den Software-Fehler genauer schildern, damit ich ihn reproduzieren kann?
der Schlauch, "-e;hose, tube;шланг;Die Server-Wasserkühlung braucht dringend einen neuen Schlauch.
stolpern;to stumble, to trip;спотикатися;Jemand könnte über dieses herumliegende Stromkabel stolpern.
sich (etw.) verbrennen (verbrennt, verbrannte, hat verbrannt);to burn (oneself);обпектися;Die CPU wird unter Last extrem heiß, pass auf, dass du dich nicht verbrennst.
das Verhalten (Sg.);behavior;поведінка;Wir analysieren das Verhalten der User auf unserer neuen Web-Plattform.
die Vorsichtsmaßnahme, -n;precaution, precautionary measure;запобіжний захід;Regelmäßige Backups in der Cloud sind eine sehr wichtige Vorsichtsmaßnahme.
der Zeuge, -n / die Zeugin, -nen;witness;свідок;Er war leider Zeuge des Arbeitsunfalls im Rechenzentrum.
etw. behaupten;to claim, to assert;стверджувати;Der Entwickler behauptet, dass dieser Bug in der neuen Version bereits gefixt ist.
etw./jdn. beobachten;to observe, to monitor;спостерігати, стежити;Wir beobachten die Ladezeiten der App genau, um sie zu optimieren.
entscheidend;crucial, decisive;вирішальний;Eine saubere Software-Architektur ist entscheidend für den langfristigen Erfolg.
die Geldsorgen (Pl.);money worries, financial problems;фінансові проблеми;Als gefragter Senior Developer in Deutschland hat man meistens keine Geldsorgen.
gemütlich;comfortable, cozy;затишний, комфортний;Unser neues IT-Büro hat eine sehr gemütliche Lounge für die Pausen.
die Geselligkeit (Sg.);sociability, conviviality;товариськість, компанійність;Nach einem erfolgreichen Release pflegen wir die Geselligkeit bei einem Team-Event (Pizza & Bier).
das Grundbedürfnis, -se;basic need;базова потреба;Schnelles und stabiles Internet ist für Remote-Arbeit ein absolutes Grundbedürfnis.
die Partnerschaft, -en;partnership;партнерство;Unsere IT-Firma ist eine strategische Partnerschaft mit AWS eingegangen.
das Wohlbefinden (Sg.);well-being;добробут, самопочуття;Das Wohlbefinden der Entwickler (z.B. durch gute Hardware) ist für das Startup wichtig.
die Zufriedenheit (Sg.);satisfaction;задоволеність;Die Zufriedenheit der Kunden mit dem neuen Feature ist stark gestiegen.
