#separator:;
#html:true
#columns:German;English;Ukrainian;Example
der Verwaltungsbereich, -e;administrative area;адміністративний відділ;Der Verwaltungsbereich kümmert sich um die Lizenzen der Software.
die Wertsache, -n;valuable item;цінна річ;Bitte lassen Sie keine Wertsachen offen auf dem Schreibtisch liegen.
der Abstand, "-e;distance, gap;відстань, дистанція;Bitte halten Sie genug Abstand zu den heißen Servern.
aufdringlich;intrusive, pushy;нав'язливий;Zu viele Push-Benachrichtigungen in der App wirken auf die User aufdringlich.
jdn. belästigen;to harass, to bother;турбувати, докучати;Ein Kollege darf dich am Wochenende nicht mit Arbeits-Mails belästigen.
die Distanz (Sg.);distance;дистанція;Trotz Remote-Work versuchen wir, keine persönliche Distanz im Team aufzubauen.
etw. einhalten (hält ein, hielt ein, hat eingehalten);to comply with, to keep (e.g., rules/deadlines);дотримуватися (правил, строків);Wir müssen die Deadline für das Projekt unbedingt einhalten.
etw. empfinden (empfindet, empfand, hat empfunden);to feel, to perceive;відчувати, сприймати;Ich empfinde das neue UI-Design als sehr angenehm.
intim;intimate;інтимний, особистий;Gehälter sind in vielen Firmen ein intimes und vertrauliches Thema.
etw./jdm. nahekommen (kommt nahe, kam nahe, ist nahegekommen);to approach, to come close to;наближатися до;Dieser Lösungsansatz kommt der perfekten Architektur schon sehr nahe.
das Publikum (Sg.);audience;публіка, аудиторія;Das Publikum bei der Tech-Konferenz war sehr interessiert an meinem Vortrag.
der Referent, -en / die Referentin, -nen;speaker, presenter;доповідач;Der Referent erklärt die Vorteile von maschinellem Lernen.
etw./jdn. respektieren;to respect;поважати;Wir respektieren die verschiedenen Meinungen beim Code-Review.
unangenehm;unpleasant, uncomfortable;неприємний;Es ist unangenehm, dem Kunden einen kritischen Bug beichten zu müssen.
etw./jdn. wahrnehmen (nimmt wahr, nahm wahr, hat wahrgenommen);to perceive, to notice;сприймати, помічати;Lange Ladezeiten werden von Usern sehr negativ wahrgenommen.
