der Absolvent, -en / die Absolventin, -nen	graduate / випускник | Als Absolvent einer IT-Akademie suche ich meinen ersten Job.
Hotel und Gastronomie (Sg.)	hotel and catering industry / готельно-ресторанна сфера | Diese App richtet sich an Kunden aus dem Bereich Hotel und Gastronomie.
die IT-Branche (Sg.)	IT industry / ІТ-галузь | In der IT-Branche gibt es momentan sehr viele offene Stellen für Entwickler.
kaufmännisch	commercial, business / комерційний, торговельний | Der IT-Systemkaufmann kümmert sich um die kaufmännischen Aspekte des Projekts.
die Konjunktur (Sg.)	economic situation, boom / економічна ситуація, кон'юнктура | Trotz schwacher Konjunktur suchen Firmen weiterhin händeringend IT-Spezialisten.
die Lagerlogistik (Sg.)	warehouse logistics / складська логістика | Wir entwickeln eine Scanner-App für die Lagerlogistik.
die Land- und Forstwirtschaft (Sg.)	agriculture and forestry / сільське та лісове господарство | Smarte Sensoren digitalisieren zunehmend die Land- und Forstwirtschaft.
etw. nahelegen (legt nahe, legte nahe, hat nahegelegt)	to suggest (e.g., a conclusion) / наводити на думку, підказувати | Die Fehlermeldung legt den Schluss nahe, dass die Datenbank down ist.
das Pflegeheim, -e	nursing home / будинок престарілих | Wir richten das sichere WLAN-Netzwerk im neuen Pflegeheim ein.
produzierendes Gewerbe	manufacturing industry / виробнича промисловість | Das produzierende Gewerbe braucht dringend neue Automatisierungssoftware.
die Reservierung, -en	reservation / бронювання | Unser Backend verarbeitet Tausende Reservierungen pro Minute.
die Schichtarbeit (Sg.)	shift work / позмінна робота | In der 24/7 Server-Überwachung ist Schichtarbeit ganz normal.
der Server, -	server / сервер | Die Web-Applikation läuft stabil auf einem Linux-Server in Frankfurt.
sozialversicherungspflichtig	subject to social security contributions / який підлягає соціальному страхуванню | Mein neuer Job als Frontend-Entwickler ist sozialversicherungspflichtig.
stabil	stable / стабільний | Die neue Microservice-Architektur ist sehr stabil und stürzt nicht ab.
die Teilzeit (Sg.)	part-time / неповний робочий день | Ich arbeite momentan in Teilzeit, um mehr Zeit zum Deutschlernen zu haben.
etw. überwachen (überwacht, überwachte, hat überwacht)	to monitor, to supervise / контролювати, здійснювати моніторинг | Wir nutzen Datadog, um unsere Server in Echtzeit zu überwachen.
etw. verwalten (verwaltet, verwaltete, hat verwaltet)	to manage, to administer / управляти, адмініструвати | Als Sysadmin muss ich die Zugriffsrechte aller User verwalten.
die Vollzeit (Sg.)	full-time / повний робочий день | Ich suche nach dem Kurs eine Festanstellung in Vollzeit.
der Vollzeitjob, -s	full-time job / робота на повний робочий день | Ein Vollzeitjob in der deutschen IT bedeutet meistens 40 Stunden pro Woche.
etw. warten (z. B. eine Maschine) (wartet, wartete, hat gewartet)	to maintain (e.g., equipment) / обслуговувати технічно | Wir müssen die Datenbank-Server regelmäßig am Wochenende warten.
die Wirtschaftsbranche (Sg.)	economic sector / економічна галузь | Die IT ist eine der am schnellsten wachsenden Wirtschaftsbranchen.
etw. zubereiten (bereitet zu, bereitete zu, hat zubereitet)	to prepare (food) / готувати (їжу) | Die smarte Büro-Kaffeemaschine kann den Espresso per App-Befehl zubereiten.
die Zuverlässigkeit (Sg.)	reliability / надійність | Zuverlässigkeit ist bei einem Cloud-Backup-System das Wichtigste.
etw./jdn. abfertigen (fertigt ab, fertigte ab, hat abgefertigt)	to dispatch, to process, to handle / обслуговувати, оформляти | Die Software hilft, die Anfragen (Requests) im Server schneller abzufertigen.
die Arbeitsstätte, -n	workplace, place of work / робоче місце | Mein Homeoffice ist vertraglich meine offizielle Arbeitsstätte.
etw. beschreiben (beschreibt, beschrieb, hat beschrieben)	to describe / описувати | Bitte beschreiben Sie den Bug im Jira-Ticket so genau wie möglich.
etw. betreiben (betreibt, betrieb, hat betrieben)	to operate, to run / експлуатувати, керувати | Wir betreiben unsere eigenen Server in einem sicheren Rechenzentrum.
das Bodenpersonal (Sg.)	ground staff / наземний персонал | Das Bodenpersonal am Flughafen nutzt unsere Tablet-App zur Kommunikation.
der Check-in (Sg.)	check-in / реєстрація | Das System für den Online-Check-in funktioniert leider gerade nicht.
jdn. einstellen (stellt ein, stellte ein, hat eingestellt)	to hire, to employ / наймати на роботу | Die Tech-Firma möchte dieses Jahr 20 neue Entwickler einstellen.
der Einzelhandel (Sg.)	retail / роздрібна торгівля | Wir entwickeln eine moderne E-Commerce-Plattform für den Einzelhandel.
etw. erweitern (erweitert, erweiterte, hat erweitert)	to expand, to extend / розширювати | Wir müssen die Kapazität unserer Datenbank dringend erweitern.
der Fluglotse, -n / die Fluglotsin, -nen	air traffic controller / авіадиспетчер | Der Fluglotse verlässt sich auf hochkomplexe Echtzeit-Software.
die Flugzeugabfertigung (Sg.)	aircraft handling / наземне обслуговування літаків | Unsere Sensoren optimieren die Flugzeugabfertigung am Terminal.
die Gepäckabfertigung (Sg.)	baggage handling / обробка багажу | Das IT-System für die Gepäckabfertigung ist durch einen Bug ausgefallen.
die Gewerkschaft, -en	trade union / профспілка | Es gibt in Deutschland auch eine Gewerkschaft, die IT-Mitarbeiter vertritt.
etw. gründen (gründet, gründete, hat gegründet)	to found, to establish / засновувати | Ich möchte nach dem Kurs mein eigenes IT-Startup gründen.
das Handgepäck (Sg.)	hand luggage, carry-on baggage / ручна поклажа | Mein Firmenlaptop muss bei der Sicherheitskontrolle aus dem Handgepäck.
die Hygiene (Sg.)	hygiene / гігієна | Cyber-Hygiene (wie das regelmäßige Ändern von Passwörtern) ist extrem wichtig.
die Logistik (Sg.)	logistics / логістика | Wir programmieren eine KI-basierte Routing-Software für die Logistik.
die Luftfracht (Sg.)	air freight, air cargo / авіаперевезення, авіавантаж | Die Daten zur Luftfracht werden in unserer Cloud synchronisiert.
der Passagier, -e / die Passagierin, -nen	passenger / пасажир | Jeder Passagier bekommt automatisiert eine E-Mail mit dem QR-Code.
der Quereinsteiger, - / die Quereinsteigerin, -nen	career changer / світчер, людина, що змінила професію | Viele gute Programmierer sind Quereinsteiger ohne Informatik-Studium.
die Spedition, -en	freight forwarding company / експедиторська компанія, служба доставки | Die Spedition nutzt unser Tracking-System für ihre LKWs.
etw. umbauen (baut um, baute um, hat umgebaut)	to rebuild, to modify / перебудовувати, реконструювати, переробляти | Wir müssen die Architektur der App komplett umbauen (Refactoring).
etw. umfassen (umfasst, umfasste, hat umfasst)	to include, to comprise / охоплювати, включати | Das neue Software-Update wird viele coole Features umfassen.
etw./jdn. vertreten (vertritt, vertrat, hat vertreten)	to represent, to substitute / представляти, заміняти (когось) | Ich muss meinen Teamlead heute im Daily-Meeting vertreten.
das Arbeitsmittel, -	work equipment, tool / засіб праці, робочий інструмент | Ein leistungsstarker Laptop und zwei Monitore sind meine wichtigsten Arbeitsmittel.
der Arbeitsschutz (Sg.)	occupational safety, health and safety / охорона праці | Die strengen Regeln zum Arbeitsschutz gelten auch im Serverraum.
etw. befolgen (befolgt, befolgte, hat befolgt)	to follow, to obey / дотримуватися, виконувати (правила) | Wir müssen die Sicherheitsrichtlinien (Security Policies) der Firma strikt befolgen.
etw./jdn. behindern (behindert, behinderte, hat behindert)	to hinder, to obstruct / перешкоджати, заважати | Ein langsamer Server darf den Entwicklungsprozess nicht behindern.
etw. betätigen (z. B. den Brandmelder) (betätigt, betätigte, hat betätigt)	to operate, to press / приводити в дію, натискати | Im Notfall müssen Sie den roten Knopf betätigen, um den Strom abzuschalten.
der Brandmelder, -	fire alarm, smoke detector / пожежний сповіщувач | Der Brandmelder im Rechenzentrum hat wegen Überhitzung Alarm geschlagen.
der Brandschutz (Sg.)	fire protection / пожежна безпека | Die neuen Server-Racks entsprechen den strengsten Vorgaben für den Brandschutz.
das Brandschutzzeichen, -	fire safety sign / знак пожежної безпеки | Das rote Brandschutzzeichen zeigt, wo der Feuerlöscher im Flur hängt.
dreieckig	triangular / трикутний | Warnschilder sind in Deutschland meistens gelb und dreieckig.
etw. einschlagen (schlägt ein, schlug ein, hat eingeschlagen)	to smash, to break in / розбивати (скло) | Im Notfall müssen Sie die Glasscheibe einschlagen, um an den Schlüssel zu kommen.
etw. entsorgen (entsorgt, entsorgte, hat entsorgt)	to dispose of / утилізувати | Alte Festplatten müssen sicher und datenschutzkonform entsorgt werden.
der Feuerlöscher, -	fire extinguisher / вогнегасник | Im Serverraum darf man auf keinen Fall einen Wasser-Feuerlöscher benutzen!
der Feuermelder, -	fire alarm / пожежна сигналізація | Bei starker Rauchentwicklung löst der Feuermelder sofort aus.
der Flucht- und Rettungsweg, -e	escape and rescue route / шлях евакуації | Der Flucht- und Rettungsweg im IT-Büro darf nie mit Kartons blockiert sein.
etw. freihalten (hält frei, hielt frei, hat freigehalten)	to keep clear / тримати вільним (прохід) | Bitte den Zugang zu den Server-Racks immer freihalten.
das Gebotszeichen, -	mandatory sign / приписний знак (обов'язкова дія) | Das blaue Gebotszeichen bedeutet, dass man im Labor eine Schutzbrille tragen muss.
die Glasscheibe, -n	glass pane / шибка, скляна панель | Hinter der kleinen Glasscheibe befindet sich der Not-Aus-Schalter für den Strom.
hinweisen auf (+ Akk.) (weist hin, wies hin, hat hingewiesen)	to point out, to refer to / вказувати на | Das Monitoring-Tool weist uns auf kritische Speicherprobleme hin.
