die Abteilung, -en	department / відділ | Unsere IT-Abteilung kümmert sich um die gesamte Cloud-Infrastruktur.
Verantwortung tragen for (+ Akk.)	to bear responsibility / нести відповідальність | Als CTO trage ich die Verantwortung für alle technischen Entscheidungen im Unternehmen.
etw. anerkennen lassen	to have something recognized / визнавати (напр. диплом) | Ich muss meine ausländischen IT-Zertifikate in Deutschland anerkennen lassen.
der Berufsabschluss, "-e	vocational qualification / професійна освіта | Ein staatlich anerkannter Berufsabschluss ist oft Voraussetzung für eine Anstellung im öffentlichen Dienst.
die Berufsausbildung, -en	vocational training / професійна освіта | Während meiner Berufsausbildung habe ich verschiedene Programmiersprachen gelernt.
etw. beschließen	to decide on, to resolve / вирішувати, постановити | Wir haben beschlossen, das nächste Projekt mit der agilen Scrum-Methode umzusetzen.
das Zeugnis, -se	report card, certificate / свідоцтво, атестат | Ich habe mein Arbeitszeugnis als PDF für die Bewerbung hochgeladen.
die Anerkennung, -en	recognition / визнання | Die Anerkennung meiner Masterurkunde war für das Visum als Fachkraft notwendig.
das Anerkennungsverfahren, -	recognition process / процедура визнання | Das Anerkennungsverfahren kann online über das Portal der IHK verfolgt werden.
die Arbeitserlaubnis, -se	work permit / дозвіл на роботу | Ohne eine gültige Arbeitserlaubnis darf man in Deutschland nicht als Entwickler arbeiten.
die Fachkraft, "-e	specialist / спеціаліст | In Deutschland herrscht ein großer Mangel an Fachkräften im Bereich Cybersicherheit.
die Kompetenz, -en	competence, skill / компетенція, навичка | Problemlösungskompetenz ist eine der wichtigsten Eigenschaften eines Programmierers.
Kosten übernehmen	to cover costs / брати на себе витрати | Mein Arbeitgeber wird die Kosten für die Microsoft-Zertifizierung übernehmen.
der Nachweis, -e	proof, evidence / доказ, підтвердження | Als Nachweis meiner Erfahrung habe ich mein GitHub-Portfolio im Lebenslauf verlinkt.
das Praktikum, Praktika	internship / практика | Ich mache ein dreimonatiges Praktikum in der Qualitätssicherung eines Softwarehauses.
die Qualifikation, -en	qualification / кваліфікація | Welche zusätzlichen Qualifikationen werden für die Stelle als Cloud-Engineer gefordert?
reglementiert	regulated / регламентований | Der Beruf des Softwareentwicklers ist in Deutschland glücklicherweise nicht reglementiert.
die Unterlage, -n	document / документ | Bitte laden Sie alle relevanten Unterlagen in das Bewerberportal hoch.
etw. vergleichen mit (+ Dat.)	to compare with / порівнювати | Wir müssen die Performance der verschiedenen Datenbanken miteinander vergleichen.
der Ansprechpartner, -	contact person / контактна особа | Unser Ansprechpartner für das API-Gateway ist heute leider nicht erreichbar.
die Ansprechpartnerin, -nen	female contact person / контактна особа (жінка) | Die Ansprechpartnerin für den Datenschutz hat die neuen Sicherheitsrichtlinien genehmigt.
der Aushang, "-e	notice, posting / оголошення | Ich habe den digitalen Aushang im Firmen-Intranet über das neue Slack-Update gesehen.
das Bewerbungsschreiben, -	letter of application / заява про прийняття на роботу | In Ihrem Bewerbungsschreiben sollten Sie Ihre Erfahrung mit Cloud-Technologien hervorheben.
das Bewerbungsverfahren, -	application process / процес подання заявки | Das Bewerbungsverfahren für die Stelle als DevOps-Engineer umfasst drei technische Interviews.
der Eindruck, "-e	impression / враження | Die neue Architektur der mobilen App macht einen sehr modernen Eindruck.
die Elektrofirma, -firmen	electrical company / електротехнічна фірма | Die Elektrofirma installiert die neue unterbrechungsfreie Stromversorgung (USV) in unserem Rechenzentrum.
erwarten	to expect / очікувати | Von einem Senior-Entwickler erwarten wir fundierte Kenntnisse in Design Patterns.
das Fachpersonal (Sg.)	skilled personnel / кваліфікований персонал | Unser Unternehmen investiert stark in Fachpersonal für künstliche Intelligenz.
fehlerfrei	error-free / без помилок | Ein fehlerfreier Code ist die Voraussetzung für eine erfolgreiche CI/CD-Pipeline.
die Initiativbewerbung, -en	unsolicited application / ініціативна заявка | Ich habe eine Initiativbewerbung an das IT-Sicherheitszentrum geschickt.
die Installateurfirma, -firmen	plumbing company / сантехнічна фірма | Die Installateurfirma wartet das Kühlsystem für unsere Hochleistungsserver.
die Konkurrenz (Sg.)	competition / конкуренція | In der Tech-Branche ist die Konkurrenz um die besten Talente extrem hoch.
der Leiharbeiter, -	temporary worker / тимчасовий працівник | Wir haben einen Leiharbeiter für das kurzfristige Projekt zur Datenmigration eingestellt.
die Leiharbeiterin, -nen	female temporary worker / тимчасова працівниця | Die Leiharbeiterin unterstützt unser QA-Team beim Testen der neuen Softwareversion.
das Leitbild, -er	mission statement / місія, девіз компанії | Das Leitbild unseres Startups ist die Demokratisierung von Daten durch Open Source.
der Stand der Dinge	state of affairs / стан справ | Können Sie mir beim nächsten Daily Stand-up den aktuellen Stand der Dinge zum Bug-Fixing geben?
einen Termin bestätigen	to confirm an appointment / підтверджувати зустріч | Bitte bestätigen Sie den Termin für die Produktdemo über den Kalender-Link.
die Wartezeit, -en	waiting time / час очікування | Die Wartezeit für das Rendern des 4K-Videos beträgt etwa zwei Stunden.
die Zeitarbeitsfirma, -en	temporary employment agency / агентство з працевлаштування | Die Zeitarbeitsfirma hat uns kurzfristig einen Spezialisten für Datenbanken vermittelt.
zukünftig	future / майбутній | In der zukünftigen Version der Software wird eine Zwei-Faktor-Authentifizierung standardmäßig aktiviert sein.
die Arbeitskraft, "-e	worker, manpower / робоча сила | Automatisierung reduziert den Bedarf an manueller Arbeitskraft bei Routineaufgaben.
das Arbeitsverhältnis, -se	employment relationship / трудові відносини | Das unbefristete Arbeitsverhältnis bietet dem Softwareentwickler eine hohe Sicherheit.
ausleihen	to lend, to borrow / позичати, віддавати в оренду | Man kann sich moderne VR-Brillen in der IT-Abteilung für Testzwecke ausleihen.
die Berufsberatung, -en	vocational guidance / професійна консультація | Die Berufsberatung empfiehlt jungen Leuten oft ein Studium der Informatik.
die Berufserfahrung, -en	professional experience / професійний досвід | Er bringt über zehn Jahre Berufserfahrung im Bereich Full-Stack-Entwicklung mit.
beschäftigen	to employ / займати, працевлаштовувати | Das System beschäftigt sich derzeit mit der Indizierung der großen Datenbank.
die Beschäftigung (Sg.)	employment / зайнятість | Die Beschäftigung mit dem Thema Machine Learning erfordert viel mathematisches Verständnis.
die Genehmigung, -en	permission, permit / дозвіл | Wir warten noch auf die offizielle Genehmigung der IT-Leitung für den Kauf der neuen Lizenzen.
die Leiharbeit (Sg.)	temporary work / тимчасова праця | Leiharbeit kann für IT-Freelancer eine gute Möglichkeit sein, verschiedene Unternehmen kennenzulernen.
staatlich	state, public / державний | Das staatliche Amt für Cybersicherheit hat eine Warnung vor einem neuen Computervirus herausgegeben.
die Tätigkeit, -en	activity, task / діяльність | Zu meinen täglichen Tätigkeiten gehört das Schreiben von Unit-Tests und das Bugtracking.
einen Termin vereinbaren	to make an appointment / домовлятися про зустріч | Ich möchte einen Termin mit dem Product Owner vereinbaren, um die User Stories zu besprechen.
verleihen	to lend / позичати, надавати | Das Rechenzentrum verleiht Rechenleistung an kleinere Startups.
die Vermittlung, -en	placement, mediation / працевлаштування, посередництво | Die Vermittlung von IT-Fachkräften erfolgt oft über spezialisierte Headhunter-Agenturen.
die Vermittlungsgebühr, -en	placement fee / комісія за працевлаштування | Die Firma zahlt eine hohe Vermittlungsgebühr für einen erfahrenen Softwarearchitekten.
der Agraringenieur, -e	agricultural engineer / агроном-інженер | Der Agraringenieur nutzt Drohnen und IoT-Sensoren zur Optimierung der Bewässerung.
die Agraringenieurin, -nen	female agricultural engineer / агрономка-інженерка | Die Agraringenieurin analysiert satellitengestützte Daten zur Bodenqualität am Computer.
der Arbeitseinsatz, "-e	work assignment / використання робочої сили | Der Arbeitseinsatz der Entwickler wird über ein agiles Jira-Board gesteuert.
der Bereich, -e	area, field / сфера, галузь | In welchem Bereich der Informatik möchtest du dich spezialisieren?
die Bereitschaft (Sg.)	readiness, willingness / готовність | Die Bereitschaft zur Wochenendarbeit ist bei kritischen Systemumstellungen notwendig.
der Einsatzort, -e	place of assignment / місце роботи (відрядження) | Mein aktueller Einsatzort ist das Headquarter der IT-Firma in San Francisco.
examiniert	qualified, examined / дипломований | Wir suchen examiniertes Fachpersonal für die Wartung medizinischer IT-Systeme.
das Familienunternehmen, -	family business / сімейне підприємство | Das mittelständische Familienunternehmen plant die Digitalisierung seiner gesamten Produktion.
der Informatiker, -	IT specialist / інформатик | Der Informatiker optimiert den Algorithmus für eine schnellere Datenverarbeitung.
die Informatikerin, -nen	female IT specialist / інформатиця | Die Informatikerin präsentiert die Ergebnisse ihrer Sicherheitsanalyse dem Vorstand.
der Ingenieur, -e	engineer / інженер | Der Ingenieur entwickelt neue Hardwarekomponenten für Quantencomputer.
die Ingenieurin, -nen	female engineer / інженерка | Die Ingenieurin leitet das Team für die Entwicklung autonomer Fahrzeugsoftware.
innovativ	innovative / інноваційний | Unsere Firma bietet innovative Cloud-Lösungen für kleine und mittlere Unternehmen an.
die Karrierechance, -n	career opportunity / шанс на кар'єру | Internationale Tech-Konzerne bieten hervorragende Karrierechancen für ehrgeizige Entwickler.
die Kommunikationsfähigkeit, -en	communication skills / комунікабельність | Gute Kommunikationsfähigkeit ist bei der Zusammenarbeit in verteilten Teams unerlässlich.
der Kundenservice (Sg.)	customer service / служба підтримки клієнтів | Der Kundenservice wird durch einen KI-basierten Chatbot unterstützt.
die Pflegekraft, "-e	caregiver, nurse / медпрацівник (з догляду) | Die moderne Klinik verwendet digitale Tools, um die Pflegekraft bei der Dokumentation zu entlasten.
der Pflegeservice (Sg.)	care service / служба догляду | Ein digitaler Pflegeservice ermöglicht die Fernüberwachung von Patientendaten.
der Sicherheitsmitarbeiter, -	security officer / співробітник безпеки | Der Sicherheitsmitarbeiter überwacht den physischen Zugang zum Serverraum.
die Sicherheitsmitarbeiterin, -nen	female security officer / співробітниця безпеки | Die Sicherheitsmitarbeiterin weist alle externen Techniker in die Sicherheitsprotokolle ein.
der Teamgeist (Sg.)	team spirit / командний дух | Ein starker Teamgeist führt oft zu kreativeren Ansätzen in der Softwareentwicklung.
die Verantwortung (Sg.)	responsibility / відповідальність | Ein Chief Information Security Officer trägt eine enorme Verantwortung für den Datenschutz.
der Verkäufer, -	salesman / продавець | Der Verkäufer erklärt dem Kunden die technischen Spezifikationen des neuen High-End-PCs.
die Verkäuferin, -nen	female salesperson / продавчиня | Die Verkäuferin im Computerfachgeschäft empfiehlt eine externe Festplatte zur Datensicherung.
die Verstärkung, -en	reinforcement, addition to the team / підкріплення, новий співробітник | Wir suchen dringend Verstärkung für unser Frontend-Team im Bereich React.
die Zukunftsperspektive, -n	future prospect / перспектива на майнє | Die Arbeit im Bereich Cybersicherheit bietet eine exzellente Zukunftsperspektive.
die Zusammenarbeit (Sg.)	cooperation / співпраця | Die erfolgreiche Zusammenarbeit zwischen Designer und Entwickler ist entscheidend für das UI/UX Design.
zuständig	responsible / відповідальний | Wer ist in eurem Team für die Code-Qualität zuständig?
das Bauvorhaben, -	construction project / будівельний проект | Beim neuen Bauvorhaben wird auch ein modernes Glasfasernetz für das gesamte Bürogebäude verlegt.
der Einsatz, "-e	assignment, mission / виконання завдання | Der weltweite Einsatz unserer Software zeigt ihre hohe Skalierbarkeit.
das Einverständnis, -se	consent, agreement / згода | Wir benötigen das Einverständnis des Nutzers für die Verarbeitung seiner personenbezogenen Daten.
der Fachinformatiker, -	IT specialist / фахівець з інформатики | Als Fachinformatiker für Anwendungsentwicklung schreibe ich täglich Code in C#.
die Fachinformatikerin, -nen	female IT specialist / фахівчиня з інформатики | Die Fachinformatikerin konfiguriert die Firewalls für das Firmennetzwerk.
die Krankheitsvertretung, -en	sick leave cover / заміна на час хвороби | Er übernimmt kurzfristig die Krankheitsvertretung für den Lead-Architekten.
der Realschulabschluss, "-e	secondary school certificate / атестат про закінчення реальної школи | Mit einem guten Realschulabschluss kann man eine Ausbildung zum IT-Systemkaufmann beginnen.
die Urlaubsvertretung, -en	holiday replacement / заміна на час відпустки | Könntest du während meiner Abwesenheit meine Urlaubsvertretung für die Serverwartung machen?
der Zeitraum, "-e	period of time / період часу | In dem Zeitraum zwischen 2:00 und 4:00 Uhr morgens finden Wartungsarbeiten am Netzwerk statt.
auvorhaben, -	construction project / будівельний проект | Das neue Bauvorhaben beginnt im Sommer.
der Empfang, "-e	reception / прийом, рецепція | Alle externen Dienstleister müssen sich am Empfang anmelden, um einen Besucherausweis zu erhalten.
die Personalabteilung, -en	HR department / відділ кадрів | Die Personalabteilung nutzt eine Web-App zur Verwaltung der Urlaubstage.
die Kantine, -n	canteen / їдальня | In unserer Kantine gibt es kostenloses WLAN für alle Mitarbeiter.
die Produktion (Sg.)	production / виробництво | Die gesamte Produktion wird jetzt durch ein KI-gesteuertes System überwacht.
die Forschung, -en	research / дослідження | Unser Team in der Forschung arbeitet an neuen Algorithmen für die Datenkompression.
die Entwicklung, -en	development / розробка | Die Entwicklung der neuen API-Schnittstelle ist fast abgeschlossen.
der Betriebsrat, "-e	works council / виробнича рада (профспілка) | Der Betriebsrat prüft die neue Software zur Überwachung der Homeoffice-Zeiten.
die Betriebsrätin, -nen	female works council member / членкиня виробничої ради | Die Betriebsrätin setzt sich für eine bessere Ausstattung der Homeoffice-Aräitsplätze ein.
die Finanzbuchhaltung, -en	financial accounting / бухгалтерія | Die Finanzbuchhaltung benötigt die Rechnung für die neuen Serverlizenzen.
die Einarbeitung, -en	induction, orientation / введення в курс справи (стажування) | Während der Einarbeitung lernst du unsere internen Coding-Standards kennen.
die Pausenregelung, -en	break policy / правило перерв | Die digitale Zeiterfassung sorgt dafür, dass die Pausenregelung automatisch eingehalten wird.
der Rundgang, "-e	tour (of a building) / обхід, екскурсія | Nach dem Rundgang durch das Rechenzentrum haben wir die Kühlsysteme besprochen.
sich weiter|bilden	to continue education / підвищувати кваліфікацію | In der IT-Branche muss man sich ständig weiterbilden, um auf dem neuesten Stand zu bleiben.
sich ärgern über (+ Akk.)	to be annoyed about / сердитися через | Ich ärgere mich über den langsamen Datenbank-Server.
der Berufsalltag (Sg.)	professional life / професійні будні | Der Berufsalltag eines Programmierers besteht oft aus Coding und Bugfixing.
die Erfahrung, -en	experience / досвід | Wir suchen jemanden mit viel Erfahrung in der Cloud-Architektur.
Erfahrung haben mit (+ Dat.)	to have experience with / мати досвід у | Hast du bereits Erfahrung mit der Containerisierung von Anwendungen?
sich freuen auf (+ Akk.)	to look forward to / чекати з нетерпінням (на щось у майбутньому) | Ich freue mich auf den Release der neuen Software-Version.
sich freuen über (+ Akk.)	to be happy about / радіти (чомусь, що вже є) | Das Team freut sich über das positive Feedback der Beta-Tester.
gehören zu (+ Dat.)	to belong to / належати до | Das Schreiben technischer Dokumentation gehört zu den Aufgaben eines Entwicklers.
es geht um (+ Akk.)	it's about / йдеться про | In diesem Meeting geht es um die Behebung kritischer Sicherheitslücken.
ein Gespräch führen	to lead a conversation / вести розмову | Wir müssen ein Gespräch über die Performance-Probleme der Website führen.
sich interessieren für (+ Akk.)	to be interested in / цікавитися | Interessierst du dich für die Entwicklung mobiler Apps?
investieren in (+ Akk.)	to invest in / інвестувати в | Unternehmen müssen mehr in die Cybersicherheit investieren.
statt|finden (fand statt, hat stattgefunden)	to take place / відбуватися | Der tägliche Scrum-Call findet jeden Morgen um 9 Uhr statt.
etw. vermitteln	to convey, to mediate / передавати (знання), посередничати | Der Workshop vermittelt grundlegende Kenntnisse in der Python-Programmierung.
die Voraussetzung, -en	requirement / умова, передумова | Gute SQL-Kenntnisse sind eine Voraussetzung für diesen Job.
die Webseite, -n	website / веб-сторінка | Die Webseite unseres Unternehmens wurde für mobile Endgeräte optimiert.
das Ergebnisprotokoll, -e	minutes of a meeting / протокол результатів зустрічі | Ich habe das Ergebnisprotokoll des Sprints per E-Mail an das Team geschickt.
die Besprechung, -en	meeting / нарада | In der Besprechung wurde die neue Cloud-Strategie vorgestellt.
die Teamsitzung, -en	team meeting / командна нарада | Während der Teamsitzung haben wir die Aufgaben für die nächste Woche verteilt.
etw. zusammen|fassen	to summarize / підсумовувати | Können Sie die wichtigsten Punkte der Anforderungsanalyse zusammenfassen?
der Beschluss, "-e	decision / рішення, постанова | Der Beschluss, die Legacy-Software zu ersetzen, wurde gestern gefasst.
die Vereinbarung, -en	agreement / угода, домовленість | Wir haben eine Vereinbarung über die Nutzung der Open-Source-Bibliotheken getroffen.
die Tagesordnung, -en	agenda / порядок денний | Der Punkt "System-Sicherheit" steht heute ganz oben auf der Tagesordnung.
das Stichwort, -e	keyword / ключове слово | Ich habe mir während des Vortrags nur ein paar Stichworte zum Thema Blockchain notiert.
etw. dokumentieren	to document / документувати | Bitte dokumentieren Sie alle Änderungen am Datenbank-Schema im Wiki.
etw. protokollieren	to record / протоколювати | Alle API-Aufrufe werden zu Analysezwecken protokolliert.
die Regel, -n	rule / правило | In diesem Netzwerk gelten strenge Regeln für den Passwortschutz.
in der Regel	as a rule / як правило | In der Regel erfolgt das Deployment der neuen Version am Dienstagabend.
der Teilnehmer, -	participant / учасник | An dem Web-Seminar nehmen über 100 Teilnehmer aus aller Welt teil.
die Teilnehmerin, -nen	female participant / учасниця | Die Teilnehmerin hat eine interessante Frage zum Thema Container-Sicherheit gestellt.
etw. vor|schlagen (schlägt vor, schlug vor, hat vorgeschlagen)	to suggest / пропонувати | Ich schlage vor, wir nutzen Docker für dieses Projekt.
der Zweifel, -	doubt / сумнів | Ich habe keine Zweifel, dass wir die Deadline für die App einhalten.
etw. schaffen	to manage / впоратися | Wir werden es schaffen, alle Fehler bis zum Wochenende zu beheben.
sich etw. merken	to remember / запам'ятовувати | Bitte merken Sie sich das neue Administratoren-Passwort gut.
die Pünktlichkeit (Sg.)	punctuality / пунктуальність | Pünktlichkeit ist auch bei virtuellen Meetings sehr wichtig.
die Begrüßung, -en	greeting / привітання | Die Begrüßung des neuen Programmierers erfolgte über einen Video-Call.
der Feierabend, -e	closing time, finish work / кінець робочого дня | Nach dem Feierabend programmiere ich oft an meinen privaten Projekten weiter.
aufregend	exciting / захоплюючий | Die Arbeit mit der neuen KI-Technologie ist extrem aufregend.
der Erfolg, -e	success / успіх | Die Migration zur Cloud war ein großer Erfolg für das ganze Team.
nützlich	useful / корисний | Diese neue Bibliothek ist sehr nützlich für die Bildverarbeitung.
der Berufsverkehr (Sg.)	professional traffic / робочий дорожній рух (години пік) | Dank Homeoffice vermeide ich den stressigen Berufsverkehr am Morgen.
üblich	common / звичайний | In der IT-Branche ist das Duzen unter Kollegen absolut üblich.
lächeln	to smile / усміхатися | Der Support-Mitarbeiter lächelt, als er das Problem endlich gelöst hat.
erwünscht	desired / бажаний | Erfahrung mit agilen Methoden wie Scrum ist bei uns ausdrücklich erwünscht.
beliebt	popular / популярний | Python ist derzeit eine der beliebtesten Sprachen für Data Science.
im Allgemeinen	in general / взагалі | Im Allgemeinen sind unsere Kunden mit der Performance der Software zufrieden.
der Vorgesetzte, -n	supervisor / керівник | Mein Vorgesetzter hat mir wertvolles Feedback zu meinem Code gegeben.
die Vorgesetzte, -n	female supervisor / керівниця | Die Vorgesetzte leitet die Abteilung für Webentwicklung.
sich verabschieden (von + Dat.)	to say goodbye / прощатися | Ich verabschiede mich aus dem Slack-Channel, da ich das Projekt wechsle.
sich etw. an|schauen	to look at something / подивитися на щось | Ich schaue mir die neue Dokumentation für das Framework an.
der Arbeitsalltag (Sg.)	everyday work life / робочі будні | Der Arbeitsalltag eines DevOps-Engineers wird stark von Automatisierung geprägt.
die Arbeitsdichte (Sg.)	work density / щільність роботи (навантаження) | Die Arbeitsdichte ist während der Crunch-Phase vor dem Produkt-Launch extrem hoch.
das Arbeitsleben (Sg.)	professional life / трудове життя | Das Arbeitsleben in einem Tech-Startup unterscheidet sich stark von dem in einem Großkonzern.
die Arbeitswelt (Sg.)	working world / світ праці | Die moderne Arbeitswelt erfordert ständige Anpassung an neue Software-Tools.
sich aus|wirken (auf + Akk.)	to affect, to impact / впливати | Ein fehlerhaftes Update kann sich negativ auf die Systemstabilität auswirken.
die Baustelle, -n	construction site / будівельний майданчик | Die Migration der Legacy-Daten ist derzeit unsere größte Baustelle im Projekt.
sich beeilen	to hurry / поспішати | Wir müssen uns beeilen, den Hotfix vor dem nächsten Kunden-Meeting zu mergen.
die Berufssparte, -n	professional sector / професійна галузь | Die IT-Sicherheit ist eine Berufssparte mit hervorragenden Zukunftsaussichten.
der Beschäftigte, -n	employee / співробітник | Jeder Beschäftigte in der IT-Abteilung hat Zugriff auf das interne Wiki.
die Beschäftigte, -n	female employee / співробітниця | Die Beschäftigte im QA-Team hat einen kritischen Fehler in der Benutzeroberfläche gefunden.
die Beschleunigung, -en	acceleration / прискорення | Gute Indizes führen zur Beschleunigung komplexer SQL-Abfragen.
etw. bewältigen	to manage, to cope with / долати, справлятися | Dank agiler Methoden konnten wir die hohen Anforderungen des Kunden bewältigen.
die Herausforderung, -en	challenge / виклик | Die Skalierung der Datenbank für Millionen von Nutzern ist eine technische Herausforderung.
der Maurer, -	mason, bricklayer / муляр | Wir entwickeln eine Software, die Maurer bei der Berechnung von Materialkosten unterstützt.
die Maurerin, -nen	female mason / мулярка | Die Maurerin nutzt eine App auf dem Tablet, um die Baupläne in 3D zu betrachten.
die Strecke, -n	distance, route / дистанція, шлях | Die Strecke für die Glasfaserverbindung zum neuen Rechenzentrum wurde bereits vermessen.
