die Abteilung, -en	department / відділ
die Qualifikation, -en	qualification / кваліфікація
reglementiert	regulated / регламентований
die Unterlage, -n	document / документ
etw. vergleichen mit (+ Dat.)	to compare with / порівнювати
der Ansprechpartner, -	contact person / контактна особа
die Ansprechpartnerin, -nen	female contact person / контактна особа (жінка)
der Aushang, "-e	notice, posting / оголошення
das Bewerbungsschreiben, -	letter of application / заява про прийняття на роботу
das Bewerbungsverfahren, -	application process / процес подання заявки
der Eindruck, "-e	impression / враження
die Elektrofirma, -firmen	electrical company / електротехнічна фірма
erwarten	to expect / очікувати
das Fachpersonal (Sg.)	skilled personnel / кваліфікований персонал
fehlerfrei	error-free / без помилок
die Initiativbewerbung, -en	unsolicited application / ініціативна заявка
die Installateurfirma, -firmen	plumbing company / сантехнічна фірма
die Konkurrenz (Sg.)	competition / конкуренція
der Leiharbeiter, -	temporary worker / тимчасовий працівник
die Leiharbeiterin, -nen	female temporary worker / тимчасова працівниця
das Leitbild, -er	mission statement / місія, девіз компанії
der Stand der Dinge	state of affairs / стан справ
einen Termin bestätigen	to confirm an appointment / підтверджувати зустріч
die Unterlage, -n	document / документ
die Wartezeit, -en	waiting time / час очікування
die Zeitarbeitsfirma, -en	temporary employment agency / агентство з працевлаштування
zukünftig	future / майбутній
die Arbeitskraft, "-e	worker, manpower / робоча сила
das Arbeitsverhältnis, -se	employment relationship / трудові відносини
ausleihen	to lend, to borrow / позичати, віддавати в оренду
die Berufsberatung, -en	vocational guidance / професійна консультація
die Berufserfahrung, -en	professional experience / професійний досвід
beschäftigen	to employ / займати, працевлаштовувати
die Beschäftigung (Sg.)	employment / зайнятість
der Betrieb, -e	business, company / підприємство
die Genehmigung, -en	permission, permit / дозвіл
die Leiharbeit (Sg.)	temporary work / тимчасова праця
der Leiharbeiter, -	temporary worker / тимчасовий працівник
die Leiharbeiterin, -nen	female temporary worker / тимчасова робітниця
staatlich	state, public / державний
die Tätigkeit, -en	activity, task / діяльність
einen Termin vereinbaren	to make an appointment / домовлятися про зустріч
verleihen	to lend / позичати, надавати
die Vermittlung, -en	placement, mediation / працевлаштування, посередництво
die Vermittlungsgebühr, -en	placement fee / комісія за працевлаштування
der Agraringenieur, -e	agricultural engineer / агроном-інженер
die Agraringenieurin, -nen	female agricultural engineer / агрономка-інженерка
der Arbeitseinsatz, "-e	work assignment / використання робочої сили
der Bereich, -e	area, field / сфера, галузь
die Bereitschaft (Sg.)	readiness, willingness / готовність
der Einsatzort, -e	place of assignment / місце роботи (відрядження)
examiniert	qualified, examined / дипломований
das Familienunternehmen, -	family business / сімейне підприємство
der Informatiker, -	IT specialist / інформатик
die Informatikerin, -nen	female IT specialist / інформатиця
der Ingenieur, -e	engineer / інженер
die Ingenieurin, -nen	female engineer / інженерка
innovativ	innovative / інноваційний
die Karrierechance, -n	career opportunity / шанс на кар'єру
die Kommunikationsfähigkeit, -en	communication skills / комунікабельність
der Kundenservice (Sg.)	customer service / служба підтримки клієнтів
die Pflegekraft, "-e	caregiver, nurse / медпрацівник (з догляду)
der Pflegeservice (Sg.)	care service / служба догляду
der Sicherheitsmitarbeiter, -	security officer / співробітник безпеки
die Sicherheitsmitarbeiterin, -nen	female security officer / співробітниця безпеки
der Teamgeist (Sg.)	team spirit / командний дух
die Verantwortung (Sg.)	responsibility / відповідальність
der Verkäufer, -	salesman / продавець
die Verkäuferin, -nen	female salesperson / продавчиня
die Verstärkung, -en	reinforcement, addition to the team / підкріплення, новий співробітник
die Zukunftsperspektive, -n	future prospect / перспектива на майбутнє
die Zusammenarbeit (Sg.)	cooperation / співпраця
zuständig	responsible / відповідальний
das Bauvorhaben, -	construction project / будівельний проект
die Berufsausbildung, -en	vocational training / професійна освіта
der Einsatz, "-e	assignment, mission / виконання завдання
das Einverständnis, -se	consent, agreement / згода
der Fachinformatiker, -	IT specialist / фахівець з інформатики
die Fachinformatikerin, -nen	female IT specialist / фахівчиня з інформатики
die Krankheitsvertretung, -en	sick leave cover / заміна на час хвороби
der Realschulabschluss, "-e	secondary school certificate / атестат про закінчення реальної школи
die Urlaubsvertretung, -en	holiday replacement / заміна на час відпустки
der Zeitraum, "-e	period of time / період часу
der Empfang, "-e	reception / прийом, рецепція
die Personalabteilung, -en	HR department / відділ кадрів
die Kantine, -n	canteen / їдальня
das Lager, -	warehouse / склад
die Produktion (Sg.)	production / виробництво
die Forschung, -en	research / дослідження
die Entwicklung, -en	development / розробка
der Betriebsrat, "-e	works council / виробнича рада (профспілка)
die Betriebsrätin, -nen	female works council member / членкиня виробничої ради
die Geschäftsführung, -en	management / керівництво
die Finanzbuchhaltung, -en	financial accounting / бухгалтерія
die Einarbeitung, -en	induction, orientation / введення в курс справи (стажування)
der Ansprechpartner, -	contact person / контактна особа
die Ansprechpartnerin, -nen	female contact person / контактна особа (жінка)
die Pausenregelung, -en	break policy / правило перерв
der Rundgang, "-e	tour (of a building) / обхід, екскурсія
sich weiter|bilden	to continue education / підвищувати кваліфікацію
sich ärgern über (+ Akk.)	to be annoyed about / сердитися через
der Berufsalltag (Sg.)	professional life / професійні будні
die Erfahrung, -en	experience / досвід
Erfahrung haben mit (+ Dat.)	to have experience with / мати досвід у
sich freuen auf (+ Akk.)	to look forward to / чекати з нетерпінням (на щось у майбутньому)
sich freuen über (+ Akk.)	to be happy about / радіти (чомусь, що вже є)
gehören zu (+ Dat.)	to belong to / належати до
es geht um (+ Akk.)	it's about / йдеться про
ein Gespräch führen	to lead a conversation / вести розмову
sich interessieren für (+ Akk.)	to be interested in / цікавитися
investieren in (+ Akk.)	to invest in / інвестувати в
statt|finden (fand statt, hat stattgefunden)	to take place / відбуватися
etw. vermitteln	to convey, to mediate / передавати (знання), посередничати
die Voraussetzung, -en	requirement / умова, передумова
die Webseite, -n	website / веб-сторінка
das Ergebnisprotokoll, -e	minutes of a meeting / протокол результатів зустрічі
die Besprechung, -en	meeting / нарада
die Teamsitzung, -en	team meeting / командна нарада
etw. zusammen|fassen	to summarize / підсумовувати
der Beschluss, "-e	decision / рішення, постанова
die Entscheidung, -en	decision / рішення
die Vereinbarung, -en	agreement / угода, домовленість
die Tagesordnung, -en	agenda / порядок денний
das Stichwort, -e	keyword / ключове слово
etw. dokumentieren	to document / документувати
etw. protokollieren	to record / протоколювати
die Regel, -n	rule / правило
in der Regel	as a rule / як правило
der Teilnehmer, -	participant / учасник
die Teilnehmerin, -nen	female participant / учасниця
etw. vor|schlagen (schlägt vor, schlug vor, hat vorgeschlagen)	to suggest / пропонувати
der Zweifel, -	doubt / сумнів
etw. schaffen	to manage / впоратися
sich etw. merken	to remember / запам'ятовувати
die Pünktlichkeit (Sg.)	punctuality / пунктуальність
die Begrüßung, -en	greeting / привітання
der Feierabend, -e	closing time, finish work / кінець робочого дня
aufregend	exciting / захоплюючий
der Erfolg, -e	success / успіх
nützlich	useful / корисний
der Berufsverkehr (Sg.)	professional traffic / робочий дорожній рух (години пік)
üblich	common / звичайний
lächeln	to smile / усміхатися
erwünscht	desired / бажаний
beliebt	popular / популярний
im Allgemeinen	in general / взагалі
der Vorgesetzte, -n	supervisor / керівник
die Vorgesetzte, -n	female supervisor / керівниця
sich verabschieden (von + Dat.)	to say goodbye / прощатися
sich etw. an|schauen	to look at something / подивитися на щось
der Arbeitsalltag (Sg.)	everyday work life / робочі будні
die Arbeitsdichte (Sg.)	work density / щільність роботи (навантаження)
das Arbeitsleben (Sg.)	professional life / трудове життя
die Arbeitswelt (Sg.)	working world / світ праці
sich aus|wirken (auf + Akk.)	to affect, to impact / впливати
die Baustelle, -n	construction site / будівельний майданчик
sich beeilen	to hurry / поспішати
die Berufssparte, -n	professional sector / професійна галузь
der Beschäftigte, -n	employee / співробітник
die Beschäftigte, -n	female employee / співробітниця
die Beschleunigung, -en	acceleration / прискорення
etw. bewältigen	to manage, to cope with / долати, справлятися
die Herausforderung, -en	challenge / виклик
der Maurer, -	mason, bricklayer / муляр
die Maurerin, -nen	female mason / мулярка
die Strecke, -n	distance, route / дистанція, шлях
auf der Strecke bleiben	to fall by the wayside / відстати, бути занедбаним
einen Termin ab|sagen	to cancel an appointment / скасувати зустріч
das Treffen, -	meeting / зустріч
sich verspäten	to be late / запізнюватися
das Wohlbefinden (Sg.)	well-being / самопочуття
der Zeitdruck (Sg.)	time pressure / дефіцит часу
die Abteilunskonferenz, -en	department conference / конференція відділу
sich ab|sprechen (mit + Dat.)	to coordinate (with someone) / домовлятися
der Anspruch, "-e	claim, demand / претензія, вимога
Anspruch haben auf (+ Akk.)	to have a right to / мати право на
der Arbeitsweg, -e	commute / шлях на роботу
die Arbeitszeit, -en	working time / робочий час
das Arbeitszeitgesetz, -e	working time act / закон про робочий час
die Betriebsruhe (Sg.)	company holidays / канікули на підприємстві
das EDV-System, -e	IT system / ІТ-система
jdn. ein|weisen in (+ Akk.)	to instruct, to brief / інструктувати
der Ersatzruhetag, -e	compensatory rest day / компенсаційний вихідний
etw. vor|schreiben	to prescribe, to mandate / приписувати, зобов'язувати
der Fall, "-e	case / випадок
auf keinen Fall	in no case / ні в якому разі
der Freizeitausgleich (Sg.)	compensatory time off / компенсація вільного часу
der Mindesturlaub (Sg.)	minimum leave / мінімальна відпустка
die Pflicht, -en	duty / обов'язок
das Recht, -e	right, law / право
Recht haben	to be right / мати рацію
die (gesetzliche) Regel, -n	legal rule / законне правило
die Schichtarbeit (Sg.)	shift work / позмінна робота
die Teilzeitarbeit (Sg.)	part-time work / неповна зайнятість
die Überstunde, -n	overtime / понаднормова година
der Urlaubstag, -e	vacation day / день відпустки
die Urlaubszeit, -en	vacation time / час відпустки
die Vollzeitarbeit (Sg.)	full-time work / повна зайнятість
die Wochenendarbeit, -en	weekend work / робота у вихідні
die Deadline, -s	deadline / дедлайн
das Drehbuch, "-er	script / сценарій
der Entwurf, "-e	draft / чернетка, проект
die Kampagne, -n	campaign / кампанія
die Kosmetikserie, -n	cosmetics line / серія косметики
das Printmedium, -medien	print medium / друковане видання
relevant	relevant / важливий, релевантний
der Senior Manager, -	senior manager / старший менеджер
die Senior Managerin, -nen	female senior manager / старша менеджерка
der Werbefilm, -e	commercial / рекламний ролик
die Werbekampagne, -n	advertising campaign / рекламна кампанія
die Abmahnung, -en	written warning / попередження (догана)
das Arbeitsgericht, -e	labor court / трудовий суд
der Betriebsrat, "-e	works council / виробнича рада (профспілка)
die Betriebsfeier, -n	company party / корпоратив
dokumentieren	to document / документувати
der Heizungstechniker, -	heating technician / майстер з опалення
die Heizungstechnikerin, -nen	female heating technician / майстриня з опалення
die Hilfe, -n	help / допомога
um Hilfe bitten	to ask for help / просити про допомогу
das Zuspätkommen (Sg.)	being late / запізнення
das Verständnis (Sg.)	understanding / розуміння
verärgert sein über (+ Akk.)	to be annoyed about / бути роздратованим через
abhängig sein von (+ Dat.)	to be dependent on / бути залежним від
die Beratung, -en	advice, consulting / консультація
Geld ausgeben für (+ Akk.)	to spend money on / витрачати гроші на
die Lieferzeit, -en	delivery time / час доставки
die Öffnungszeit, -en	opening time / години роботи
der Online-Einkauf, "-e	online shopping / онлайн-покупки
die Qualität, -en	quality / якість
vorsichtig	careful / обережний
die Ware, -n	goods, merchandise / товар
der Absatz, "-e	sales, turnover / збут, продажі
die (technische) Anlage, -n	technical system / equipment / технічна установка
eine Anlage warten	to maintain a system / обслуговувати установку
jdn./etw. beobachten	to observe / спостерігати
der Einzelhandel (Sg.)	retail / роздрібна торгівля
der Endkunde, -n	end customer / кінцевий споживач
die Endkundin, -nen	female end customer / кінцева споживачка
etw. entwickeln	to develop / розробляти
die Forschung und Entwicklung (Sg.)	research and development (R&D) / дослідження та розробка
der Großhandel (Sg.)	wholesale / гуртова торгівля
der Handel (Sg.)	trade, commerce / торгівля
her|stellen	to produce, to manufacture / виробляти
die Herstellung (Sg.)	manufacturing / виробництво
etw. liefern	to deliver / доставляти
der Lieferschein, -e	delivery note / накладна
Lieferscheine aus|stellen	to issue delivery notes / виписувати накладні
die Lieferung, -en	delivery / доставка
der Markt, "-e	market / ринок
das Maß, -e	measure, dimension / міра, розмір
die Menge, -n	quantity, amount / кількість
etw. montieren	to assemble, to install / монтувати
die Produktion, -en	production / виробництво
die Rechnung, -en	invoice, bill / рахунок
die Spedition, -en	shipping company / експедиторська компанія
der Transport, -e	transport / транспорт
die Verpackung, -en	packaging / упаковка
der Versand (Sg.)	shipping, dispatch / відправка
der Vertrieb (Sg.)	sales, distribution / відділ збуту
der Zwischenhändler, -	middleman, reseller / посередник
etw. analysieren	to analyze / аналізувати
etw. bearbeiten	to process, to edit / обробляти
jdn./etw. befördern	to promote, to transport / підвищувати (на посаді), перевозити
jdn./etw. betreuen	to support, to manage / обслуговувати, супроводжувати
die Branche, -n	industry, sector / галузь
etw. entwickeln	to develop / розробляти
die Gastronomie (Sg.)	gastronomy, catering / гастрономія
etw. gestalten	to design, to shape / оформляти, організовувати
das Handwerk (Sg.)	craft, trade / ремесло
die IT-Branche (Sg.)	IT industry / ІТ-галузь
etw. konstruieren	to construct, to design / конструювати
etw. kontrollieren	to control, to check / контролювати
Kunden bedienen	to serve customers / обслуговувати клієнтів
der Kundenberater, -	customer advisor / консультант клієнтів
die Kundenberaterin, -nen	female customer advisor / консультантка клієнтів
das Labor, -e	laboratory / лабораторія
der Lagerist, -en	warehouse clerk / працівник складу
die Lageristin, -nen	female warehouse clerk / працівниця складу
der Tierpfleger, -	animal keeper / доглядач за тваринами
die Tierpflegerin, -nen	female animal keeper / доглядачка за тваринами
Transport und Logistik (Sg.)	transport and logistics / транспорт і логістика
der Vertriebsweg, -e	distribution channel / канал збуту
Waren bestellen	to order goods / замовляти товари
Wissenschaft und Forschung (Sg.)	science and research / наука та дослідження
etw. zu|bereiten	to prepare (food) / готувати (їжу)
etw. zu|stellen	to deliver, to serve / доставляти
die Bequemlichkeit, -en	convenience / зручність
der CO2-Ausstoß (Sg.)	CO2 emission / викид CO2
der Händler, -	dealer, vendor / торговець
die Händlerin, -nen	female dealer / торговка
die Lagerhalle, -n	warehouse / складська будівля
die Online-Plattform, -en	online platform / онлайн-платформа
der Sonderwunsch, "-e	special request / особливе побажання
etw. aktivieren	to activate / активувати
der Anbieter, -	provider / провайдер, постачальник
die Anbieterin, -nen	female provider / провайдерка
etw. auf|laden (lädt auf, lud auf, hat aufgeladen)	to top up, to charge / заряджати, поповнювати (рахунок)
sich beraten lassen	to get advice / отримати консультацію
sich beschweren	to complain / скаржитися
die Bestellung, -en	order / замовлення
das Datenvolumen, -	data volume / обсяг даних
etw. ein|geben (gibt ein, gab ein, hat eingegeben)	to enter (data) / вводити (дані)
etw. ein|legen	to insert / вставляти
einmalig	one-time / одноразовий
der Einsteiger, -	beginner / початківець
die Einsteigerin, -nen	female beginner / початківиця
etw. entgegen|nehmen (nimmt entgegen, nahm entgegen, hat entgegengenommen)	to receive, to accept / приймати
das Festnetz (Sg.)	landline / стаціонарна мережа
etw. frei|schalten	to unlock, to activate / активувати, розблокувати
die Grundgebühr, -en	basic fee / абонентська плата
gültig	valid / дійсний
günstig	cheap, favorable / вигідний, недешевий
das Guthaben, -	credit / баланс (грошовий)
der Handwerker, -	craftsman, handyman / майстер
die Handwerkerin, -nen	female craftsman / майстриня
inklusive	inclusive / включно
die Kontrolle, -n	control / контроль
der Lieferservice, -s	delivery service / служба доставки
das Netz, -e	network / мережа
optimal	optimal / оптимальний
profitieren von (+ Dat.)	to profit from / отримувати вигоду
etw. sperren	to block, to lock / блокувати
der Tarif, -e	tariff / тариф
etw. verschicken	to send / відправляти
der Vertrag, "-e	contract / контракт, договір
die Vertragslaufzeit, -en	contract duration / термін дії договору
etw. zu|stellen	to deliver / доставляти
das Angebot, -e	offer / пропозиція
der Auftrag, "-e	order, assignment / замовлення, доручення
der Ausdruck, -e	printout / роздруківка
sich binden an (+ Akk.)	to commit oneself to / зв'язувати себе зобов'язаннями
brutto	gross / брутто (без вирахування податків)
einverstanden	agreed / згодний
etw. empfehlen (empfiehlt, empfahl, hat empfohlen)	to recommend / рекомендувати
die Erledigung, -en	completion / виконання
etw. erteilen (z.B. einen Auftrag)	to grant, to give / надавати, видавати (доручення)
der Grund, "-e	reason / причина
die Mehrwertsteuer (Sg.)	value added tax (VAT) / ПДВ (податок на додану вартість)
netto	net / нетто (після податків)
sorgfältig	carefully / ретельно
die Summe, -n	sum, total / сума
die Unterschrift, -en	signature / підпис
zahlbar	payable / до оплати
zuverlässig	reliable / надійний
der Ärger (Sg.)	anger, trouble / неприємність, гнів
der Artikel, -	article / стаття, товар
beschädigt	damaged / пошкоджений
die Beschwerde, -n	complaint / скарга
defekt	defective / несправний
dreckig	dirty / брудний
der Fleck, -en	stain / пляма
der Mangel, -	defect, lack / недолік
peinlich	embarrassing / соромно
die Reklamation, -en	reclamation, claim / рекламація, претензія
unvollständig	incomplete / неповний
der Vorschlag, "-e	suggestion / пропозиція
etw. zerbrechen (zerbricht, zerbrach, hat zerbrochen)	to break / розбивати
etw. zerkratzen	to scratch / подряпати
etw. zerreißen (zerriss, hat zerrissen)	to tear / розривати
jdn. ausreden lassen	to let someone finish speaking / давати комусь договорити
die Bedeutung, -en	meaning / значення
die Erwartung, -en	expectation / очікування
etw. klären	to clarify / з'ясовувати
konkurrenzfähig	competitive / конкурентоспроможний
sich etw. leisten können	to be able to afford / могти собі дозволити
einen Preisnachlass gewähren	to grant a discount / надавати знижку
treu bleiben	to stay loyal / залишатися вірним
unzufrieden	dissatisfied / незадоволений
vereinbart	agreed / узгоджений
sich etw. vor|stellen	to imagine / уявляти
der Alltag (Sg.)	everyday life / будні, повсякденне життя
der Anschluss, "-e	connection / підключення
die Anwendungsmöglichkeit, -en	application possibility / можливість застосування
das Display, -s	display, screen / дисплей, екран
einsatzbereit	ready for use / готовий до роботи
das Festnetz (Sg.)	landline / стаціонарна мережа
das Gerät, -e	device / пристрій
herunter|laden (lädt herunter, lud herunter, hat heruntergeladen)	to download / завантажувати
etw. installieren	to install / інсталювати
das Kommunikationsmittel, -	means of communication / засіб зв'язку
leistungsfähig	powerful, efficient / потужний, продуктивний
der Mobilfunk (Sg.)	mobile communications / мобільний зв'язок
multifunktional	multifunctional / багатофункціональний
das Navi, -s	sat nav, navigation system / навігатор
das Navigationsgerät, -e	navigation device / навігатор
problemlos	problem-free / без проблем
das Risiko, Risiken	risk / ризик
sinken (sinkt, sank, ist gesunken)	to sink, to decrease / падати, знижуватися
die Tastatur, -en	keyboard / клавіатура
verfügbar	available / доступний
etw. weiterentwickeln	to develop further / розвивати далі
die Zukunft (Sg.)	future / майбутнє
in Zukunft	in the future / у майбутньому
die Arbeit erleichtern	to make work easier / полегшувати роботу
die Daten (Pl.)	data / дані
Daten missbrauchen	to misuse data / зловживати даними
nachteilig	disadvantageous / невигідний
papierlos	paperless / безпаперовий
die sozialen Netzwerke	social networks / соціальні мережі
speichern	to save / зберігати
verzichten auf (+ Akk.)	to do without / відмовлятися від
die Anforderung, -en	requirement, demand / вимога
der Ausbildungsberuf, -e	recognized vocational profession / професія, що потребує спеціальної освіти
beeinflussen	to influence / впливати
die Berufsaussicht, -en	career prospect / перспектива працевлаштування
die Digitalisierung (Sg.)	digitization / цифровізація
die Eigenschaft, -en	property, characteristic / властивість, якість
der Erfolg, -e	success / успіх
Erfolg haben	to have success / мати успіх
fächerübergreifend	interdisciplinary / міждисциплінарний
die Gesprächs- und Verhandlungsführung (Sg.)	conversation and negotiation management / ведення переговорів
interkulturell	intercultural / міжкультурний
die IT-Systemkauffrau, -en	female IT systems management assistant / фахівець з продажів ІТ-систем (жінка)
der IT-Systemkaufmann, IT-Kaufleute	IT systems management assistant / фахівець з продажів ІТ-систем
die Soft Skills (Pl.)	soft skills / гнучкі навички
teamfähig	able to work in a team / здатний працювати в команді
die Teamfähigkeit (Sg.)	ability to work in a team / вміння працювати в команді
die Umfrage, -n	survey, poll / опитування
wahrscheinlich	probable, probably / ймовірно
Wert legen auf (+ Akk.)	to attach importance to / надавати значення
das Wissensmanagement (Sg.)	knowledge management / управління знаннями
zuverlässig	reliable / надійний
die Zuverlässigkeit (Pl. selten)	reliability / надійність
der Arbeitsablauf, "-e	workflow / робочий процес
die Automatisierung (Sg.)	automation / автоматизація
etw. ein|führen	to introduce / запроваджувати
die Einführung, -en	introduction / запровадження
etw. fern|steuern	to remote control / керувати дистанційно
das Fließband, "-er	conveyor belt / конвеєр
die Informationstechnologie, -n	information technology (IT) / інформаційні технології
das Internet der Dinge (Sg.)	Internet of Things (IoT) / інтернет речей
der Sprachassistent, -en	voice assistant / голосовий помічник
die Vernetzung, -en	networking / мережування, поєднання
vielfältig	diverse, manifold / різноманітний
