#separator:;
#html:true
#columns:German;English;Ukrainian;Example
einen Kredit bewilligen (bewilligt, bewilligte, hat bewilligt);to approve a loan;надавати кредит;Die Sparkasse **hat den Kredit für die Anschaffungskosten der Maschinen bewilligt**.
der Küchenhelfer, - / die Küchenhelferin, -nen;kitchen assistant;кухонний помічник/-ниця;Als Küchenhelfer **ist man auf das Tragen von rutschfesten Arbeitsschuhen angewiesen**.
sich selbstständig machen;to go self-employed;почати власну справу;Er wollte sich selbstständig machen, **um unabhängig vom Weisungsrecht eines Arbeitgebers zu sein**.
die Selbstständigkeit (Sg.);self-employment;самостійність, самозайнятість;Der Schritt in die Selbstständigkeit **birgt sowohl Chancen als auch finanzielle Risiken**.
überlegen (überlegt, überlegte, hat überlegt);to consider, to think about;обмірковувати;Die Geschäftsführung **überlegt, eine betriebliche Altersvorsorge einzuführen**.
Verantwortung tragen für (+ Akk.);to bear responsibility;нести відповідальність;Der Werkleiter **muss die Verantwortung für die Einhaltung der Brandschutzordnung tragen**.
etw. anerkennen lassen;to have something recognized;визнавати (напр. диплом);Sie müssen Ihre ausländischen Berufsabschlüsse **beim zuständigen Amt anenerkennen lassen**.
der Berufsabschluss, "-e;vocational qualification;професійна освіта;Ein anerkannter Berufsabschluss **ist die Grundlage für eine tarifliche Eingruppierung**.
die Berufsausbildung, -en;vocational training;професійна освіта;Während der Berufsausbildung **muss das Berichtsheft wöchentlich geführt werden**.
etw. beschließen (beschließt, beschloss, hat beschlossen);to decide on, to resolve;вирішувати, постановити;Der Betriebsrat **beschließt, gegen die unzulässige Kündigung rechtliche Schritte einzuleiten**.
das Zeugnis, -se;report card, certificate;свідоцтво, атестат;Bitte **legen Sie uns das Zeugnis Ihres vorherigen Arbeitgebers vor**.
die Anerkennung, -en;recognition;визнання;Die Anerkennung ausländischer Abschlüsse **dient der Bekämpfung des Fachkräftemangels**.
das Anerkennungsverfahren, -;recognition process;процедура визнання;Das Anerkennungsverfahren **wird in der Regel durch die zuständige IHK durchgeführt**.
die Arbeitserlaubnis, -se;work permit;дозвіл на роботу;Ohne eine gültige Arbeitserlaubnis **ist die Arbeitsaufnahme in Deutschland unter Strafe gestellt**.
die Fachkraft, "-e;specialist;спеціаліст;Unser Betrieb **sucht dringend eine qualifizierte Fachkraft für den Dauerbetrieb der Anlagen**.
die Kompetenz, -en;competence, skill;компетенція, навичка;Fachliche Kompetenz **ist Voraussetzung für die Übernahme von Führungsaufgaben**.
Kosten übernehmen (übernimmt, übernahm, hat übernommen);to cover costs;брати на себе витрати;Der Arbeitgeber **wird die Kosten für Ihre berufliche Weiterbildung übernehmen**.
der Nachweis, -e;proof, evidence;доказ, підтвердження;Die Schufa-Auskunft **gilt als anerkannter Nachweis Ihrer Bonität**.
das Praktikum, Praktika;internship;практика;Im Rahmen des Praktikums **konnte ich wichtige Einblicke in den Berufsalltag gewinnen**.
die Qualifikation, -en;qualification;кваліфікація;Die geforderten Qualifikationen **sind in der Stellenausschreibung detailliert beschrieben**.
reglementiert;regulated;регламентований;Der Beruf des Arztes **ist in Deutschland gesetzlich streng reglementiert**.
die Unterlage, -n;document;документ;Bitte **reichen Sie alle erforderlichen Unterlagen bis zum Stichtag ein**.
etw. vergleichen mit (+ Dat.) (vergleicht, verglich, hat verglichen);to compare with;порівнювати;Wir müssen das Betriebsergebnis dieses Monats **mit dem des Vorjahres vergleichen**.
