#separator:;
#html:true
#columns:German;English;Ukrainian;Example
berühmt für (+ Akk.);famous for;знаменитий (чимось);Die Firma ist für ihre Hebebühnen weltweit berühmt.
dankbar für (+ Akk.);grateful for;вдячний за;Die Chefin ist immer für Verbesserungsvorschläge dankbar.
entscheidend für (+ Akk.);crucial for;вирішальний для;Die gute Zusammenarbeit im Projekt war für den Erfolg entscheidend.
geeignet für (+ Akk.);suitable for;придатний для;Die Buchhaltungssoftware ist insbesondere für kleine Unternehmen geeignet.
offen für (+ Akk.);open to;відкритий до;Wir sind für alle Verbesserungsvorschläge offen.
schädlich für (+ Akk.);harmful to;шкідливий для;Das Produktionsverfahren ist für die Umwelt nicht schädlich.
schwierig für (+ Akk.);difficult for;важкий для;Eine Umstrukturierung ist für die Mitarbeitenden immer schwierig.
typisch für (+ Akk.);typical of;типовий для;Das ist mal wieder typisch für Sie.
unangenehm für (+ Akk.);unpleasant for;неприємний для;Der Außendienstbericht war für den Verkaufsleiter sehr unangenehm.
ungeeignet für (+ Akk.);unsuitable for;непридатний для;Er ist für diese Arbeit gänzlich ungeeignet.
verantwortlich für (+ Akk.);responsible for;відповідальний за;Frau Dr. Blum war für die Entwicklung des neuen Produkts verantwortlich.
wichtig für (+ Akk.);important for;важливий для;Unser Engagement ist für den Erfolg des Projekts ziemlich wichtig.
zuständig für (+ Akk.);responsible for / in charge of;відповідальний за (сферу/завдання);Frau Duda ist für den Vertrieb zuständig.
misstrauisch gegenüber (+ Dat.);suspicious of;недовірливий до;Sie war gegenüber den Kollegen oft misstrauisch.
gut in (+ Dat.);good at;сильний в, хороший у;Sie war in der Analyse von komplexen Daten schon immer sehr gut.
unerfahren in (+ Dat.);inexperienced in;недосвідчений у;Er war im Umgang mit der neuen Software unerfahren.
verliebt in (+ Akk.);in love with;закоханий у;Sie ist in ein kleines Hotel in den Allgäuer Alpen verliebt.
befreundet mit (+ Dat.);friendly with;товаришує з, дружить із;Er ist mit allen Kollegen gut befreundet.
bekannt mit (+ Dat.);acquainted with;знайомий з;Sie ist mit allen Außendienstmitarbeitenden sehr gut bekannt.
beschäftigt mit (+ Dat.);busy with;зайнятий (чимось);Frau Dr. Kurz ist noch mit dem Abschlussbericht beschäftigt.
einverstanden mit (+ Dat.);in agreement with;згоден із;Er ist mit seiner Versetzung in eine andere Abteilung einverstanden.
fertig mit (+ Dat.);finished with;готовий з, закінчив (щось);Sind Sie mit dem Projektbericht schon fertig?
unzufrieden mit (+ Dat.);dissatisfied with;незадоволений (чимось);Die GF war mit der Geschäftsentwicklung unzufrieden.
verheiratet mit (+ Dat.);married to;одружений із;Er ist eigentlich mit seiner Arbeit verheiratet.
verwandt mit (+ Dat.);related to;родич (когось), споріднений із;Er ist mit seinem Chef verwandt.
zufrieden mit (+ Dat.);satisfied with;задоволений (чимось);Unsere Kunden sind mit unseren Dienstleistungen sehr zufrieden.
verrückt nach (+ Dat.);crazy about;божеволіє від;Sie ist wirklich völlig verrückt nach Fußball.
besorgt über (+ Akk.);worried about;стурбований (чимось);Die GF ist über die sinkenden Absatzzahlen sehr besorgt.
beunruhigt über (+ Akk.);alarmed about;занепокоєний (чимось);Die Mitarbeitenden sind über die Umstrukturierungspläne beunruhigt.
entsetzt über (+ Akk.);horrified at;жахнутий (чимось), у шоці від;Sie war darüber, dass der Termin nicht eingehalten wird, entsetzt.
erstaunt über (+ Akk.);astonished at;здивований (чимось);Die GF war über den Erfolg der Marketingkampagne erstaunt.
froh über (+ Akk.);glad about;радий (чомусь);Die GF war über das positive Jahresergebnis sehr froh.
glücklich über (+ Akk.);happy about;щасливий через;Sie war über ihre Beförderung sehr glücklich.
unglücklich über (+ Akk.);unhappy about;нещасливий через;Sie waren über seinen Weggang unglücklich.
verärgert über (+ Akk.);annoyed about;роздратований через, сердитий на;Er war über die Verzögerung im Projekt verärgert.
wütend über (+ Akk.);angry about;лютий через;Viele Kunden waren über den schlechten Service wütend.
besorgt um (+ Akk.);concerned about;турбується про;Sie sind stets um das Wohl ihrer Gäste besorgt.
abhängig von (+ Dat.);dependent on;залежний від;Wir sind von unserem Auftraggeber abhängig.
begeistert von (+ Dat.);excited about / thrilled by;у захваті від;Sie war von den Verkaufszahlen im letzten Quartal begeistert.
entfernt von (+ Dat.);distant from;віддалений від;Wir sind von einer guten Bilanz noch meilenweit entfernt.
enttäuscht von (+ Dat.);disappointed by/with;розчарований (чимось/кимось);Die GF war von der Entwicklung der Verkaufszahlen enttäuscht.
frei von (+ Dat.);free of;вільний від;Frei von Schulden zu sein, ist das Ziel vieler Unternehmen.
müde von (+ Dat.);tired of;втомлений від;Sie war von dem langen Meeting sehr müde.
überzeugt von (+ Dat.);convinced of;переконаний у;Sie sind von der Qualität der neuen Anlage überzeugt.
unabhängig von (+ Dat.);independent of;незалежний від;Das Projekt wurde unabhängig von den Kostensteigerungen weitergeführt.
sicher vor (+ Dat.);safe from;захищений від, у безпеці від;In dieser Abteilung sind alle vor betriebsbedingten Kündigungen sicher.
bereit zu (+ Dat.);ready to;готовий до;Sie ist zur Übernahme des Geschäftsfeldes bereit.
entschlossen zu (+ Dat.);determined to;рішучий щодо, готовий на;Sie war zum Kauf der Immobilie entschlossen.
fähig zu (+ Dat.);capable of;здатний до;Dieser Roboter ist zu Pflegeleistungen fähig.
freundlich zu (+ Dat.);friendly to;дружній до;Er ist stets zu allen Menschen sehr freundlich.
gut zu (+ Dat.);good to;добрий до;Er war zu seinen Schülern und Schülerinnen immer sehr gut.
höflich zu (+ Dat.);polite to;ввічливий до;Sie sind zu den Gästen in ihrem Hotel immer sehr höflich.
lieb zu (+ Dat.);nice/kind to;милий до;Seid lieb zu euren Geschwistern!
nett zu (+ Dat.);nice to;доброзичливий до;Bitte seid nett zueinander!
unfreundlich zu (+ Dat.);unfriendly to;непривітний до;Der Lehrer war zu seinen Schülern und Schülerinnen oft unfreundlich.
