#separator:;
#html:true
#columns:German;English;Ukrainian;Example
sich niederlassen (lässt sich nieder, ließ sich nieder, hat sich niedergelassen);to settle, to establish oneself;осісти, заснувати справу;Nach der Meisterprüfung möchte er sich mit einem eigenen Handwerksbetrieb <b>niederlassen</b>.
ökologisch;ecological;екологічний;<b>Ich plädiere für</b> eine ökologische Produktion, um Ressourcen für die Zukunft zu schonen.
das Pausengespräch, -e;break conversation;розмова під час перерви;Im Pausengespräch <b>tauschen wir uns oft über</b> organisatorische Abläufe im Büro <b>aus</b>.
die Technologie, -n;technology;технологія;Die Einführung neuer Technologien <b>führt zu einer spürbaren Arbeitserleichterung</b>.
die Unterbrechung, -en;interruption;перева, переривання;Um den Ablauf nicht zu stören, sollten wir die Besprechung <b>ohne Unterbrechung durchführen</b>.
das Unternehmen, -;company, enterprise;підприємство, компанія;Unser Unternehmen <b>legt großen Wert auf die Zufriedenheit</b> der Belegschaft.
veralten (veraltet, veraltete, ist veraltet);to become obsolete / outdated;застарівати;Wenn Maschinen veralten, <b>müssen wir rechtzeitig Vorsorge für</b> den Ersatz <b>treffen</b>.
vertrauen auf (+ Akk.) (vertraut, vertraute, hat vertraut);to trust in, to rely on;довіряти, покладатися на;Wir <b>vertrauen auf eine enge und ehrliche Zusammenarbeit mit</b> unseren Partnern.
ambulant;outpatient, ambulatory;амбулаторний;Der Bedarf an ambulanten Pflegediensten <b>ist in den letzten Jahren stark gestiegen</b>.
das Berufsleben (Sg.);professional life, career;професійне життя;Im Laufe des Berufslebens muss man sich immer wieder <b>an neue Technologien anpassen</b>.
das Beschwerdemanagement (Sg.);complaint management;управління скаргами;Ein funktionierendes Beschwerdemanagement <b>ist entscheidend für die langfristige Kundenbindung</b>.
der Betreuungsdienst, -e;care service, support service;служба догляду (або підтримки);Der Betreuungsdienst <b>stellt den Patienten eine Unterstützung im Alltag zur Verfügung</b>.
der Bildungsgutschein, -e;education voucher;ваучер на навчання;Die Agentur für Arbeit <b>hat mir einen Bildungsgutschein für eine Fortbildung bewilligt</b>.
bisherig;previous;попередній, нинішній (до цього моменту);Mit meinen bisherigen Leistungen <b>ist der Vorgesetzte sehr zufrieden gewesen</b>.
eingehende Post;incoming mail;вхідна пошта;Die eingehende Post <b>wird vom Sekretariat gesichtet und in eine Reihenfolge gebracht</b>.
die Fachkraft, "-e;skilled worker, specialist;кваліфікований спеціаліст;Wegen des Fachkräftemangels **stehen viele Betriebe vor großen Problemen**.
die Fördermöglichkeit, -en;funding opportunity;можливість фінансування;Der Arbeitsberater informierte mich <b>über staatliche Fördermöglichkeiten für die Weiterbildung</b>.
geeignet für (+ Akk.);suitable for;придатний для, підходящий;Dieses Seminar ist hervorragend <b>geeignet für Mitarbeiter im Vertrieb</b>.
die Haushaltsführung, -en;household management;ведення домашнього господарства;Der Betreuungsdienst unterstützt ältere Menschen bei der Haushaltsführung.
die Hilfskraft, "-e;assistant, helper;помічник, допоміжний персонал;Wir suchen eine engagierte Hilfskraft <b>für die Unterstützung bei administrativen Aufgaben</b>.
die Kenntnis, -se;knowledge;знання;Praktische Kenntnisse im Bereich Marketing <b>sind von großem Vorteil für diese Stelle</b>.
Kenntnisse erwerben;to acquire knowledge;здобувати знання;In der Berufsschule werden die Auszubildenden theoretische Kenntnisse <b>erwerben</b>.
die Lagerliste, -n;inventory list, stock list;складський список;Der Logistiker hat die Aufgabe, die Lagerliste <b>in Ordnung zu bringen</b>.
der Lagerlogistiker, - / die Lagerlogistikerin, -nen;warehouse logistician;спеціаліст зі складської логістики;Als Lagerlogistiker ist er <b>für die fachgerechte Einlagerung der Waren zuständig</b>.
der Lehrplan, "-e;curriculum;навчальний план;Die neuen gesetzlichen Vorschriften wurden bereits <b>in den Lehrplan aufgenommen</b>.
der Pflegedienst, -e;nursing service;служба догляду;Der ambulante Pflegedienst **leistet einen wichtigen Beitrag zur Versorgung** der älteren Bürger.
die Pflegeeinrichtung, -en;care facility;заклад догляду;Die Leitung der Pflegeeinrichtung <b>übernimmt die Verantwortung für die Qualität der Pflege</b>.
die Pflegekraft, "-e;caregiver, nurse;медпрацівник, доглядальник;Die Pflegekräfte **stehen unter ständiger Zeitnot und hohem Stress**.
das Pflegezertifikat, -e;care certificate;сертифікат з догляду;Nach bestandener Prüfung <b>erhalten die Absolventen ein offizielles Pflegezertifikat</b>.
das Präsenzseminar, -e;in-person seminar;очний семінар;<b>Ich ziehe das Onlinelernen einem</b> klassischen Präsenzseminar <b>vor</b>.
der Produktionshelfer, - / die Produktionshelferin, -nen;production assistant;помічник на виробництві;Der Produktionshelfer ist <b>mit der Verpackung der fertigen Erzeugnisse beschäftigt</b>.
sich qualifizieren (qualifiziert sich, qualifizierte sich, hat sich qualifiziert);to qualify oneself;кваліфікуватися, підвищувати кваліфікацію;Er möchte sich <b>für Führungsaufgaben im Unternehmen qualifizieren</b>.
die Sachkenntnis, -se;expertise, factual knowledge;експертність, професійні знання;<b>Wir legen großen Wert auf</b> die Sachkenntnis unserer Berater.
etw. vermitteln (vermittelt, vermittelte, hat vermittelt);to convey, to impart, to mediate;передавати (досвід), посередничати, працевлаштовувати;Die Agentur versucht, Arbeitssuchende **in eine dauerhafte Beschäftigung zu vermitteln**.
zur Verfügung stehen;to be available;бути в розпорядженні, бути доступним;Die Schulungsunterlagen <b>stehen den Teilnehmenden im Intranet zur Verfügung</b>.
die Abfallvermeidung (Sg.);waste prevention;уникнення відходів;<b>Umweltschutz steht im Vordergrund</b>, weshalb wir Maßnahmen zur Abfallvermeidung treffen.
der Anschluss, "-e;connection;підключення, зв'язок;Ein schneller Internetanschluss **ist für die tägliche Büroarbeit unerlässlich**.
die Bereich, -e;area, field, department;відділ, сфера;Frau Duda ist für den Bereich Kundenservice **zuständig**.
die Betriebsbesichtigung, -en;company tour;екскурсія підприємством;Die Betriebsbesichtigung **gab uns einen guten Überblick über** die Produktionsabläufe.
das Betriebsgelände (Sg.);company grounds;територія підприємства;Das Rauchen ist auf dem gesamten Betriebsgelände **unter Strafe gestellt**.
etw. einführen (führt ein, führte ein, hat eingeführt);to introduce, to implement;впроваджувати, запроваджувати;Wir wollen im nächsten Quartal ein neues Zeiterfassungssystem <b>einführen</b>.
die Energieeinsparung, -en;energy saving;енергозбереження;Die Modernisierung der Heizungsanlage **führte zu einer spürbaren Energieeinsparung**.
der Entscheidungsspielraum, "-e;scope for decision-making;свобода прийняття рішень;Flache Hierarchien **bieten den Mitarbeitern einen größeren Entscheidungsspielraum**.
etw. eröffnen (eröffnet, eröffnete, hat eröffnet);to open;відкривати;Das Unternehmen plant, eine weitere Filiale im Ausland zu <b>eröffnen</b>.
die Eröffnung, -en;opening;відкриття;Die Eröffnung der neuen Niederlassung **fand großen Anklang bei den Kunden**.
die Erschließung (Sg.) (z. B. neuer Märkte);development, opening up;освоєння (наприклад, нових ринків);Die Erschließung neuer Märkte **ist entscheidend für das Wachstum des Betriebs**.
etw. erweitern (erweitert, erweiterte, hat erweitert);to expand;розширювати;Wir müssen unser Sortiment erweitern, um **neue Kundengruppen anzusprechen**.
die Fertigstellung (Sg.);completion;завершення, готовність;Wir müssen alle Anstrengungen unternehmen, um **die Fertigstellung des Projekts abzusichern**.
die Filiale, -n;branch, subsidiary;філія, відділення;Die Leitung der Filiale **übernimmt die Verantwortung für die Verkaufszahlen**.
eine flache Hierarchie;a flat hierarchy;плоска ієрархія (мало рівнів керівництва);In Betrieben mit flachen Hierarchien <b>kann man eigene Vorschläge leichter zur Sprache bringen</b>.
die Handwerkskammer, -n;Chamber of Crafts;реміснича палата;Die Handwerkskammer **erteilt Auskünfte über** anerkannte Ausbildungsberufe.
die Industrie- und Handelskammer (IHK), -en;Chamber of Industry and Commerce;Торгово-промислова палата (ТПП);Die Prüfung wird vor der Industrie- und Handelskammer (IHK) abgelegt.
der Kernbereich, -e;core area;основна сфера, ядро;Die Entwicklung neuer Produkte gehört zum Kernbereich unserer Tätigkeit.
die Kooperation, -en;cooperation, collaboration;кооперація, співпраця;Die enge Kooperation mit der Universität **zeigt bereits erste Wirkungen**.
der Schritt, -e;step;крок;Wir müssen den nächsten Schritt **gemeinsam besprechen**.
die Umschulung, -en;retraining;перекваліфікація;Wegen gesundheitlicher Probleme **machte er eine Umschulung zum Bürokaufmann**.
der Wirtschaftszweig, -e;branch of industry / economic sector;галузь економіки;Der IT-Sektor ist ein schnell wachsender Wirtschaftszweig.
der Zuschuss, "-e;grant, subsidy;субсидія, доплата;Der Staat zahlt einen Zuschuss für die energetische Sanierung des Betriebs.
etw. absprechen (spricht ab, sprach ab, hat abgesprochen);to agree on / coordinate;узгоджувати, домовлятися;Wir müssen den Urlaubsplan **vorher mit den Kollegen absprechen**.
die Anforderung, -en;requirement, demand;вимога;Wir müssen sicherstellen, dass die Produkte **alle Anforderungen erfüllen**.
die Arbeitsbedingung, -en;working condition;умова праці;Gute Arbeitsbedingungen **tragen zur Motivation der Mitarbeiter bei**.
der Arbeitsschutz (Sg.);occupational safety;охорона праці;Die Einhaltung der Regeln zum Arbeitsschutz **steht im Vordergrund**.
die Arbeitszeit, -en;working time;робочий час;Flexible Arbeitszeiten **erleichtern die Vereinbarkeit von Beruf und Familie**.
der Aspekt, -e;aspect;аспект;Wir müssen alle finanziellen Aspekte der Modernisierung **bedenken**.
der Auftritt, -e;appearance, presentation;виступ, поява;Ein professioneller Auftritt beim Kunden **ist wichtig für den Erfolg**.
die Auswirkung, -en;effect, impact;вплив, наслідок;Die Wirtschaftskrise hat negative Auswirkungen **auf die Auftragslage**.
die Barrierefreiheit (Sg.);accessibility;безбар'єрність, доступність;Bei der Gestaltung des Neubaus wurde auf vollständige Barrierefreiheit geachtet.
die Belastung, -en;burden, strain, load;навантаження, напруга;Die psychische Belastung am Arbeitsplatz **ist in letzter Zeit gestiegen**.
das Betriebsklima (Sg.);work climate;атмосфера в колективі;Ein gutes Betriebsklima **wirkt sich positiv auf die Leistung aus**.
das Corporate Design (Sg.);corporate design;корпоративний дизайн;Unsere Präsentationsfolien müssen **dem Corporate Design entsprechen**.
die Ergonomie (Sg.);ergonomics;ергономіка;Bei der Büroeinrichtung **legen wir großen Wert auf** Ergonomie.
die Gefahrenquelle, -n;source of danger;джерело небезпеки;Regelmäßige Kontrollen helfen, Gefahrenquellen im Betrieb **zu beseitigen**.
der Lärm (Sg.);noise;шум;Ständiger Lärm am Arbeitsplatz **führt zu Konzentrationsproblemen**.
das Leitsatz, "-e;guiding principle;керівний принцип, гасло;Unser wichtigster Leitsatz ist die Zufriedenheit unserer Kunden.
die Maßnahme, -n;measure, action;захід;Wir müssen Maßnahmen **zur Senkung der Betriebskosten ergreifen**.
die Nachhaltigkeit (Sg.);sustainability;сталий розвиток, екологічність;Das Thema Nachhaltigkeit **gewinnt in vielen Unternehmen an Bedeutung**.
die Öffentlichkeit (Sg.);public;громадськість, публіка;Wir müssen unser neues Projekt **in der Öffentlichkeit bekannter machen**.
die Richtlinie, -n;guideline, directive;директива, вказівка;Wir halten uns streng **an die Richtlinien zum Datenschutz**.
die Sicherheit, -en;safety, security;безпека;Die Sicherheit der Mitarbeiter **hat im Betrieb oberste Priorität**.
die Sicherheitsvorschrift, -en;safety regulation;правила техніки безпеки;Wer **gegen die Sicherheitsvorschriften verstößt**, muss mit Konsequenzen rechnen.
das Corporate Identity (Sg.);corporate identity;корпоративна ідентичність;Unsere Werte und das Logo sind Teil unserer Corporate Identity.
das Image (Sg.);image, reputation;імідж, репутація;Ein Skandal kann **dem Image des Unternehmens schweren Schaden zufügen**.
das Leitbild, -er;mission statement;концепція розвитку, ідеал;Unser Leitbild **stellt den Menschen in den Mittelpunkt unserer Arbeit**.
die Marktposition, -en;market position;ринкова позиція;Wir müssen unsere Marktposition **durch Innovationen absichern**.
das Corporate Social Responsibility (CSR) (Sg.);corporate social responsibility;корпоративна соціальна відповідальність;Unser CSR-Engagement **findet große Beachtung in den Medien**.
die Unternehmenskultur, -en;corporate culture;корпоративна культура;Eine offene Feedback-Kultur **prägt unsere Unternehmenskultur**.
das Unternehmensziel, -e;company goal;ціль компанії;Das wichtigste Unternehmensziel **ist die Steigerung der Energieeffizienz**.
der Wert, -e;value;цінність;Zu unseren wichtigsten Werten **gehören Ehrlichkeit und Transparenz**.
die Arbeitssicherheit (Sg.);occupational safety;безпека праці;Die Fachkraft für Arbeitssicherheit **ist für die Einhaltung der Gesetze zuständig**.
der Arbeitsunfall, "-e;work accident;нещасний випадок на виробництві;Nach dem Arbeitsunfall **musste der Mitarbeiter ins Krankenhaus gebracht werden**.
der Brandschutz (Sg.);fire protection;пожежна безпека;Wir führen jährlich eine Schulung zum Thema Brandschutz durch.
der Erste-Hilfe-Kurs, -e;first aid course;курс першої медичної допомоги;Die Teilnahme an einem Erste-Hilfe-Kurs **ist für alle Mitarbeiter Pflicht**.
der Ersthelfer, - / die Ersthelferin, -nen;first aider;особа, що надає першу допомогу;Im Notfall **leisten die Ersthelfer im Betrieb erste Hilfe**.
der Fluchtweg, -e;escape route;шлях евакуації;Die Fluchtwege **müssen immer frei von Hindernissen gehalten werden**.
das Gehörschutz (Sg.);ear protection;засоби захисту слуху;Bei Arbeiten mit lauten Maschinen **ist das Tragen von Gehörschutz vorgeschrieben**.
die Notrufnummer, -n;emergency number;номер екстреного виклику;Die Notrufnummern **müssen im Betrieb gut sichtbar aushängen**.
der Schutzhelm, -e;safety helmet;захисна каска;Auf der Baustelle **ist das Tragen eines Schutzhelms Pflicht**.
die Sicherheitsunterweisung, -en;safety instruction/briefing;інструктаж з техніки безпеки;Neue Mitarbeiter **erhalten am ersten Tag eine Sicherheitsunterweisung**.
der Sicherheitsbeauftragte, -n / die Sicherheitsbeauftragte, -n;safety officer;уповноважений з техніки безпеки;Der Sicherheitsbeauftragte **kontrolliert die Einhaltung der Schutzmaßnahmen**.
die Sicherheitsschuh, -e;safety shoe;захисне взуття;Sicherheitsschuhe **schützen vor Verletzungen durch herabfallende Gegenstände**.
der Unfallbericht, -e;accident report;звіт про нещасний випадок;Der Sicherheitsbeauftragte **muss einen Unfallbericht erstellen**.
die Verletzung, -en;injury;травма, поранення;Er hat sich bei der Arbeit eine schwere Verletzung zugezogen.
die Warnweste, -n;safety vest, high-visibility vest;сигнальний жилет;Beim Betreten des Lagers **ist das Tragen einer Warnweste Pflicht**.
der Notausgang, "-e;emergency exit;аварійний вихід;Die Notausgänge **sind grün gekennzeichnet und leicht zu öffnen**.
die Augenspülflasche, -n;eye wash bottle;пляшка для промивання очей;Die Augenspülflaschen befinden sich direkt neben der Gefahrenquelle.
der Defibrillator, -en;defibrillator;дефібрилятор;Im Notfall **kann der Defibrillator Leben retten**.
das Sicherheitsdatenblatt, "-er;safety data sheet;паспорт безпеки речовини;Die Sicherheitsdatenblätter der Chemikalien **liegen im Lager aus**.
der Verbandkasten, "-;first aid kit;аптечка першої допомоги;Der Verbandkasten **muss regelmäßig auf Vollständigkeit überprüft werden**.
die Betriebssicherheitsverordnung, -en;industrial safety regulation;положення про безпеку на виробництві;Wir arbeiten streng **nach den Richtlinien der Betriebssicherheitsverordnung**.
die Gefährdungsbeurteilung, -en;risk assessment;оцінка ризиків;Der Arbeitgeber **muss für jeden Arbeitsplatz eine Gefährdungsbeurteilung erstellen**.
die Arbeitsmedizin (Sg.);occupational medicine;гігієна праці, професійна медицина;Die Arbeitsmedizin **bietet regelmäßige Vorsorgeuntersuchungen an**.
die persönliche Schutzausrüstung (PSA);personal protective equipment (PPE);засоби індивідуального захисту (ЗІЗ);Der Arbeitgeber stellt die persönliche Schutzausrüstung zur Verfügung.
die Betriebsanweisung, -en;operating instruction;інструкція з експлуатації / безпеки;Die Betriebsanweisung **hängt direkt an der jeweiligen Maschine aus**.
