#separator:;
#html:true
#columns:German;English;Ukrainian;Example
ansprechbar;responsive, approachable;доступний для спілкування, чуйний;Der Mentor **steht den Auszubildenden bei Fragen immer als ansprechbarer Partner zur Verfügung**.
etw. auszeichnen (zeichnet aus, zeichnete aus, hat ausgezeichnet);to award, to distinguish;відзначати, нагороджувати;Das System wurde für seine hohe Zuverlässigkeit **mit einem Zertifikat ausgezeichnet**.
der Band, "-e;volume (book);том (книги);Die Gesetzessammlung **umfasst einen dicken Band aller arbeitsrechtlichen Vorschriften**.
die Bedienbarkeit (Sg.);usability, operability;зручність використання, юзабіліті;Die einfache Bedienbarkeit **ist ein wichtiges Qualitätsmerkmal der Kältemaschine**.
das Begleitprogramm, -e;supporting program;супровідна програма;Das Begleitprogramm der Messe **beinhaltet Vorträge über die Nachhaltigkeit**.
etw. behaupten (behauptet, behauptete, hat behauptet);to claim, to assert;стверджувати;Der Mitbewerber behauptet, **sich als Marktführer etablieren zu können**.
dynamisch;dynamic;динамічний;Der IT-Sektor gilt als ein **sehr dynamischer Wirtschaftszweig**.
etw. einbeziehen (bezieht ein, bezog ein, hat einbezogen);to include, to integrate;залучати, включати;Wir müssen die Schwerbehindertenvertretung **in den Einarbeitungsplan einbeziehen**.
etw. einsetzen (setzt ein, setzte ein, hat eingesetzt);to deploy, to use, to employ;застосовувати, впроваджувати;Wir wollen diese umweltfreundlichen Maßnahmen **im gesamten Werk einsetzen**.
etw. erweitern (erweitert, erweiterte, hat erweitert);to expand, to extend;розширювати;Wir müssen unsere Produktpalette erweitern, um **wettbewerbsfähig zu bleiben**.
das Experiment, -e;experiment;експеримент;Die Gefahrenanalyse **beinhaltet auch Experimente zur Knallgasentwicklung**.
der Fachberater, - / die Fachberaterin, -nen;specialist consultant;фахівець-консультант, експерт;Der Fachberater **erteilt den Kunden detaillierte Auskünfte über das Produkt**.
das Fachwissen (Sg.);expertise, expert knowledge;професійні знання, експертиза;Für die Übernahme einer Führungsposition **wird tiefes Fachwissen verlangt**.
fundiert;profound, well-founded, sound;ґрунтовний, глибокий;Sie verfügt über **eine fundierte Praxis- und Berufserfahrung im Einzelhandel**.
das Gerücht, -e;rumor;чутка;Es gibt das Gerücht, dass **dem Betrieb eine existenzbedrohende Insolvenz droht**.
individuell;individual, custom;індивідуальний, кастомний;Die HR-Abteilung **erstellt für den Mitarbeiter einen individuell angepassten Einarbeitungsplan**.
die Jugendsozialarbeit (Sg.);youth social work;молодіжна соціальна робота;Das Jobcenter **unterstützt Projekte der Jugendsozialarbeit finanziell**.
die Komponente, -n;component;компонент;Die Qualitätssicherung **prüft alle Komponenten auf funktionale Korrektheit**.
das Lehrwerk, -e;textbook, coursebook;підручник, навчальний посібник;Das neue Lehrwerk **beinhaltet alle Themen der anstehenden IHK-Prüfung**.
die Lernhilfe, -n;study aid;навчальний посібник;Die Lernplattform **bietet den Schülern eine nützliche digitale Lernhilfe**.
die Lernplattform, -en;learning platform;навчальна платформа;Das E-Learning-Modul **steht den Beschäftigten auf der Lernplattform zur Verfügung**.
die Messepräsentation, -en;trade fair presentation;презентація на виставці;Die Messepräsentation **hat großes Interesse bei potenziellen Kunden geweckt**.
Multimedia-Inhalte (Pl.);multimedia content;мультимедійний контент;Die Lernplattform **bietet eine Vielzahl an interaktiven Multimedia-Inhalten**.
die Neuerscheinung, -en;new release, new publication;новинка, нове видання;Wir präsentieren unsere neuesten **technischen Neuerscheinungen auf der Messe**.
sich orientieren an (+ Dat.) (orientiert sich, orientierte sich, hat sich orientiert);to orient oneself by, to follow;орієнтуватися на;Wir müssen uns **an den rechtlichen Vorgaben des Arbeitsschutzes orientieren**.
die Schulform, -en;type of school;тип школи;Der Bildungsweg **hängt in Deutschland stark von der gewählten Schulform ab**.
der Überblick, -e;overview;огляд, уявлення, загальна картина;Das Handbuch **bietet einen schnellen Überblick über die Kündigungsregelungen**.
überwiegend;predominantly, mostly;переважно;Unsere Belegschaft **arbeitet überwiegend im Homeoffice**.
sich verbessern (verbessert sich, verbesserte sich, hat sich verbessert);to improve;покращуватися, вдосконалюватися;Dank des Feedbacks **hat sich die Qualität unserer Arbeit spürbar verbessert**.
der Verlag, -e;publisher;видавництво;Der Verlag **ist für die Veröffentlichung der neuen Brandschutzordnung zuständig**.
die Weiterbildungsmaßnahme, -n;further training measure;захід з підвищення кваліфікації;Die Teilnahme an der Weiterbildungsmaßnahme **wird im Zertifikat bestätigt**.
wünschenswert;desirable;бажаний;Gute Kenntnisse in Excel **sind für diese kaufmännische Stelle wünschenswert**.
das Zitat, -e;quotation, quote;цитата;Der Gesetzestext **beinhaltet ein Zitat aus der entsprechenden EU-Richtlinie**.
die Zulassung, -en;admission, licensing, approval;дозвіл, допуск (напр., до іспиту або експлуатації);Die ordnungsgemäße Führung des Berichtshefts **ist Voraussetzung für die Zulassung**.
die Zusammenfassung, -en;summary;резюме, короткий зміст;Der Bericht **beinhaltet eine kurze Zusammenfassung der Versuchsergebnisse**.
die Anschaffungskosten (Pl.);acquisition costs;витрати на придбання;Die Anschaffungskosten **können im Rahmen der Steuererklärung abgesetzt werden**.
etw. beanspruchen (beansprucht, beanspruchte, hat beansprucht);to claim, to demand;вимагати, потребувати;Die Einarbeitung der Vertretungskraft **wird einige Zeit beanspruchen**.
die Berufsgenossenschaft (BG), -en;employers' liability insurance association;галузеве страхування;Die BG **entscheidet über die Gewährleistung von Renten nach Arbeitsunfällen**.
der Dauerbetrieb (Sg.);continuous operation;безперервний режим роботи;Die Sensoren **sind für den dauerhaften Dauerbetrieb im Werk ausgelegt**.
die Einsparung, -en;saving;економія;Die Modernisierung der Beleuchtung **führte zu einer spürbaren Stromeinsparung**.
die E-Mail-Adresse, -n;email address;адреса електронної пошти;Bitte senden Sie Ihre Bewerbungsverlagen **an die angegebene E-Mail-Adresse**.
die Energieeinsparung, -en;energy saving;енергозбереження;Die Verbesserung der Energieeffizienz **trägt maßgeblich zur Energieeinsparung bei**.
die Ergonomie (Sg.);ergonomics;ергономіка;Die Ergonomie am Arbeitsplatz **wird vom Betriebsarzt beurteilt**.
die Gasleitung, -en;gas pipe/pipeline;газопровід;Die Wartung der Gasleitung **wird streng nach den Vorschriften durchgeführt**.
die Kälteleistung, -en;cooling capacity;потужність охолодження;Die Kälteleistung des Systems **muss für die gesamte Messehalle ausreichen**.
die Lärmminderung (Sg.);noise reduction;зниження шуму;<b>Wir haben uns zum Ziel gesetzt, die Lärmminderung im Werk voranzutreiben</b>.
die Lärmschutzmaßnahme, -n;noise protection measure;заходи захисту від шуму;Der Arbeitssicherheitsausschuss **beschließt neue Lärmschutzmaßnahmen**.
die Luftleitung, -en;air duct/pipe;повітропровід;Die Luftleitung der Klimaanlage **muss regelmäßig desinfiziert werden**.
das Qualitätssicherungs-Zertifikat, -e;quality assurance certificate;сертифікат забезпечення якості;Das Qualitätssicherungs-Zertifikat **bestätigt die Korrektheit unserer Prozesse**.
der Stromverbrauch (Sg.);electricity consumption;споживання електроенергії;Wir müssen den Stromverbrauch senken, **um die Umweltauflagen einzuhalten**.
die Umweltentlastung (Sg.);environmental relief / reducing environmental impact;зниження навантаження на довкілля;Die Nutzung von Ökostrom **leistet einen Beitrag zur Umweltentlastung**.
die Umweltrichtlinie, -n;environmental directive/guideline;екологічна директива;Die Einhaltung der Umweltrichtlinien **wird beim Öko-Audit streng kontrolliert**.
der Wasserverbrauch (Sg.);water consumption;споживання води;Der Wasserverbrauch **wird wöchentlich über das Zeiterfassungssystem dokumentiert**.
die Zusatzausstattung, -en;additional equipment / optional extras;додаткове обладнання (оснащення);Die Kältemaschine **wurde mit einer speziellen Zusatzausstattung geliefert**.
die Zusatzkosten (Pl.);additional costs;додаткові витрати;Für die Entsorgung des Sondermülls **können hohe Zusatzkosten anfallen**.
die Abschreibung, -en;depreciation, amortization;амортизація, зношення;Die Abschreibung der Neuanschaffungen **wirkt sich mindernd auf die Steuerlast aus**.
das Anlagevermögen (Sg.);fixed assets;основні засоби (активи підприємства);Die Hebebühne und der Fuhrpark **gehören zum Anlagevermögen der GmbH**.
das Betriebsergebnis, -se;operating result / profit;виробничий результат (прибуток від основної діяльності);Das positive Betriebsergebnis **ist auf die gestiegene Kundenzufriedenheit zurückzuführen**.
das Umlaufvermögen (Sg.);current assets;оборотні активи;Der Lagerbestand an Rohstoffen **wird im Umlaufvermögen bilanziert**.
die Wertminderung, -en;depreciation, reduction in value;знецінення, зменшення вартості;Der Transportschaden **verursachte eine erhebliche Wertminderung der Ware**.
der Buchwert, -e;book value;балансова вартість;Der Buchwert der Maschinen **wird jährlich in der Bilanz angepasst**.
die Anschaffungswert, -e;acquisition value;первісна вартість (придбання);Der Anschaffungswert **ist die Grundlage für die steuerliche Abschreibung**.
der Abschreibungssatz, "-e;depreciation rate;норма амортизації;Der Abschreibungssatz **wird durch die gesetzliche Nutzungsdauer bestimmt**.
die Nutzungsdauer (Sg.);useful life / service life;термін корисного використання;Die Nutzungsdauer der Server **ist laut Abschreibungstabelle auf drei Jahre festgelegt**.
die Abschreibungstabelle, -n;depreciation table (AfA-Tabelle in Germany);таблиця амортизації (AfA);Die amtliche Abschreibungstabelle **gibt Auskunft über die Abschreibungssätze**.
die linear Abschreibung;linear depreciation / straight-line depreciation;лінійна амортизація;Die lineare Abschreibung **führt zu gleichbleibenden jährlichen Belastungen**.
die degressiv Abschreibung;degressive depreciation / declining-balance depreciation;дегресивна амортизація;Die degressive Abschreibung **wurde durch eine Gesetzesreform wieder zugelassen**.
die Sonderabschreibung, -en;special depreciation;спеціальна (прискорена) амортизація;Für Investitionen in Solaranlagen **kann eine Sonderabschreibung beansprucht werden**.
die Steuerersparnis, -se;tax saving;економія на податках;Die Steuerersparnis **erhöht die Liquidität unseres Handwerksunternehmens**.
die Steuerrecht (Sg.);tax law;податкове право;Das Steuerrecht **verlangt das lückenlose Aufbewahren aller Buchungsbelege**.
die Steuerberaterkammer, -n;chamber of tax advisors;палата податкових консультантів;Die Steuerberaterkammer **überwacht die Eignung der Prüfungsbewerber**.
die Wirtschaftsprüferkammer, -n;chamber of public auditors;палата аудиторів;Die Wirtschaftsprüferkammer **ist für die Zulassung zur Kammerprüfung zuständig**.
die Bundessteuerberaterkammer (BStBK) (Sg.);Federal Chamber of Tax Advisors;Федеральна палата податкових консультантів (BStBK);Die BStBK **vertritt die Interessen der Steuerberater auf Bundesebene**.
die Wirtschaftsprüfungsgesellschaft, -en;auditing firm;аудиторська компанія;Die Wirtschaftsprüfungsgesellschaft **führt die Betriebsprüfung im Konzern durch**.
die Steuerprüfer, - / die Steuerprüferin, -nen;tax auditor;податковий інспектор (аудитор);Der Steuerprüfer **forderte die Vorlage der Umsatzsteuervoranmeldungen**.
die Steuerprüfung, -en;tax audit;податкова перевірка;Die Steuerprüfung **verlief ohne nennenswerte Beanstandungen durch das Amt**.
die Steuerhinterziehungsbekämpfungsgrundsatz (Sg.);principle of combating tax evasion;принцип боротьби з ухиленням від сплати податків;Цей закон **dient dem Steuerhinterziehungsbekämpfungsgrundsatz в ЄС**.
die Steuerordnungswidrigkeit, -en;tax administrative offense;податкове правопорушення (адміністративне);Eine verspätete Abgabe der Steuererklärung **stellt eine Steuerordnungswidrigkeit dar**.
die Steuerstraftat, -en;tax offense (criminal);податковий злочин;Steuerhinterziehung **wird als schwere Steuerstraftat gerichtlich verfolgt**.
die Steuerstrafverfahren, -;tax criminal proceedings;кримінальне провадження у податкових справах;Das Steuerstrafverfahren **kann durch eine Selbstanzeige abgewendet werden**.
die Selbstanzeige, -n;voluntary disclosure (to tax authorities);добровільне зізнання (явка з повинною в податкову);Eine wirksame Selbstanzeige **garantiert Straffreiheit bei Steuerhinterziehung**.
die Nacherklärung, -en;subsequent declaration;додаткове декларування (виправлення помилок у декларації);Die Nacherklärung der Einnahmen **muss vollständig und fehlerfrei erfolgen**.
die Steuerschuld, -en;tax liability / debt;податковий борг;Die Steuerschuld **muss bis zum Fälligkeitstag an das Finanzamt überwiesen werden**.
die Steuerschuldner, - / die Steuerschuldnerin, -nen;tax debtor;платник податку (боржник);Der Steuerschuldner **kann eine Stundung der Steuerschuld beantragen**.
die Steuergläubiger, -;tax creditor (e.g., state or municipality);отримувач податку (держава/громада);Das Finanzamt tritt als Steuergläubiger **im Insolvenzverfahren auf**.
die Steuerbescheid, -e;tax assessment notice;повідомлення про нарахування податку;Der Steuerbescheid **wurde dem Steuerbüro elektronisch übermittelt**.
die Vorauszahlung, -en;advance payment;авансовий платіж (попередній внесок);Die vierteljährlichen Vorauszahlungen **wurden auf Basis des Vorjahres festgesetzt**.
die Steuervorauszahlung, -en;advance tax payment;авансовий податковий платіж;Die Steuervorauszahlung **dient der gleichmäßigen Verteilung der Steuerlast**.
die Steuerklasse, -n;tax class / bracket;податковий клас;Die Steuerklasse **beeinflusst die Höhe der Lohnsteuer auf der Gehaltsabrechnung**.
die Lohnsteuer, -n;wage tax / income tax on salaries;податок на заробітну плату (частина ПДФО);Die Lohnsteuer **wird vom Arbeitgeber direkt an den Steuergläubiger abgeführt**.
die Kirchensteuer, -n;church tax;церковний податок;Die Kirchensteuer **wird zusammen mit der Einkommensteuer erhoben**.
die Solidaritätszuschlag (Sg.);solidarity surcharge (Soli);надбавка за солідарність (Soli);Der Solidaritätszuschlag **wurde für die meisten Steuerpflichtigen abgeschafft**.
die Solidaritätszuschlagsgesetz (Sg.);Solidarity Surcharge Act;закон про надбавку за солідарність;Das Solidaritätszuschlagsgesetz **wurde vom Bundesverfassungsgericht geprüft**.
die Steuerpflicht, -en;tax liability / obligation;податковий обов'язок;Die Steuerpflicht **erlischt bei Aufgabe des Wohnsitzes im Inland**.
die unbeschränkt Steuerpflicht;unlimited tax liability;необмежена податкова обов'язковість (оподаткування всіх світових доходів);Personen mit Wohnsitz in Deutschland **unterliegen der unbeschränkten Steuerpflicht**.
die beschränkt Steuerpflicht;limited tax liability;обмежена податкова обов'язковість (оподаткування лише доходів з джерел у Німеччині);Ausländische Dienstleister **unterliegen oft der beschränkten Steuerpflicht**.
die Doppelbesteuerung, -en;double taxation;подвійне оподаткування;Die Doppelbesteuerung **wird durch internationale Abkommen vermieden**.
die Doppelbesteuerungsabkommen (DBA), -;double taxation treaty;угода про уникнення подвійного оподаткування (DBA);Das DBA **regelt die Aufteilung des Besteuerungsrechts zwischen den Staaten**.
die Besteuerungsrecht, -e;right of taxation / taxing power;право на оподаткування;Das Besteuerungsrecht **liegt in diesem Fall beim Wohnsitzstaat**.
die Wohnsitzstaat, -en;state of residence;держава проживання;Der Wohnsitzstaat **übernimmt die Besteuerung des weltweiten Einkommens**.
die Quellenstaat, -en;state of source;держава походження доходу;Der Quellenstaat **darf eine Quellensteuer auf Dividenden erheben**.
die Quellensteuer, -n;withholding tax;податок біля джерела (утримуваний податок);Die Quellensteuer **wird direkt vom auszahlenden Unternehmen einbehalten**.
die Dividende, -n;dividend;дивіденди;Die Dividenden **werden nach dem Beschluss der Hauptversammlung ausgezahlt**.
die Dividendenausschüttung, -en;dividend distribution;виплата дивідендів;Die Dividendenausschüttung **wirkt sich positiv auf das Interesse der Investoren aus**.
die Aktie, -n;share, stock;акція;Der Wert der Aktie **ist aufgrund des guten Betriebsergebnisses gestiegen**.
die Aktionär, -e / die Aktionärin, -nen;shareholder;акціонер;Die Aktionäre **haben ein Stimmrecht auf der Hauptversammlung**.
die Stimmrecht, -e;voting right;право голосу;Das Stimmrecht **kann per Vollmacht auf eine Bank übertragen werden**.
die Stimmrechtsvertretung, -en;proxy voting;представництво за довіреністю (на зборах акціонерів);Die Stimmrechtsvertretung **erleichtert die Willensbildung auf der Versammlung**.
die Willensbildung (Sg.);decision-making process / formation of intent;вироблення спільного рішення (волевиявлення);Eine offene Feedbackkultur **unterstützt die demokratische Willensbildung**.
die Beschlussfassung, -en;passing of resolutions / decision-making;прийняття рішень (постанов);Die Beschlussfassung **erfolgt mit der einfachen Mehrheit der Stimmen**.
die einfache Mehrheit;simple majority;проста більшість;Für die einfache Mehrheit **ist mehr als die Hälfte der abgegebenen Stimmen erforderlich**.
die qualifizierte Mehrheit;qualified majority;кваліфікована більшість;Die Änderung der Satzung **bedarf einer qualifizierten Mehrheit von 75 Prozent**.
die Satzungsänderung, -en;amendment to the statutes;зміна статуту;Die Satzungsänderung **muss im Handelsregister eingetragen werden**.
die Hauptversammlungsbeschluss, "-e;resolution of the general meeting;рішення загальних зборів акціонерів;Der Hauptversammlungsbeschluss **wurde im Bundesanzeiger veröffentlicht**.
die Bundesanzeiger (Sg.);federal gazette;федеральний вісник (офіційне видання для публікацій фірм);Im Bundesanzeiger **müssen alle GmbHs ihren Jahresabschluss offenlegen**.
die Offenlegungspflicht, -en;disclosure obligation;обов'язок оприлюднення (фінансової звітності);Die Offenlegungspflicht **dient dem Gläubigerschutz und der Transparenz**.
die Transparenz (Sg.);transparency;прозорість;Die Transparenz der Prozesse **ist Voraussetzung für das Vertrauen der Investoren**.
die Transparenzregister, -;transparency register;реєстр прозорості (реєстр бенефіціарів);Im Transparenzregister **müssen die wirtschaftlich Berechtigten eingetragen sein**.
die wirtschaftlich Berechtigte, -n / die wirtschaftlich Berechtigte, -n;beneficial owner;бенефіціарний власник;Als wirtschaftlich Berechtigter **gilt jede natürliche Person mit mehr als 25% der Anteile**.
die Gesellschaftsanteil, -e;share in a company;частка в товаристві;Der Verkauf von Gesellschaftsanteilen **bedarf der notariellen Beurkundung**.
die Anteilseigner, - / die Anteilseignerin, -nen;shareholder / co-owner;акціонер, власник частки;Die Anteilseigner **haben Anspruch auf einen Anteil am Gewinn**.
die Gewinnbeteiligung, -en;profit sharing;участь у прибутках (бонус від прибутку);Die Vereinbarung über eine Gewinnbeteiligung **erhöht die Arbeitsmotivation**.
die Leistungszulage, -n;performance bonus;надбавка за продуктивність праці;Die Leistungszulage **wird als freiwillige Leistungsbeurteilung gezahlt**.
die Erfolgsbeteiligung, -en;profit sharing / bonus scheme;участь у фінансовому успіху компанії;Die Erfolgsbeteiligung **wurde in der Betriebsvereinbarung festgelegt**.
die Tarifvertragsparteien (Pl.);parties to a collective agreement;сторони тарифного договору (профспілка та об'єднання роботодавців);Die Tarifvertragsparteien **haben sich nach langen Verhandlungen geeinigt**.
die Tarifpartner, -;social partners / tariff partners;партнери з тарифних переговорів;Die Tarifpartner **tragen die Verantwortung für den sozialen Frieden**.
die Arbeitsfrieden (Sg.);industrial peace;мир у трудових відносинах (утримання від страйків);Der Arbeitsfrieden **wird durch die Friedenspflicht des Tarifvertrags gesichert**.
die Friedenspflicht (Sg.);peace obligation;зобов'язання утримуватися від конфліктів;Während der Friedenspflicht **sind Streiks gesetzlich verboten**.
die Streikrecht, -e;right to strike;право на страйк;Das Streikrecht **ist ein geschütztes Grundrecht im Grundgesetz**.
die Koalitionsfreiheit (Sg.);freedom of association;свобода коаліцій (профспілок);Die Koalitionsfreiheit **erlaubt die Gründung von Gewerkschaften**.
die Gewerkschaftsfunktionär, -e / die Gewerkschaftsfunktionärin, -nen;trade union official;профспілковий діяч;Der Gewerkschaftsfunktionär **leitete die Urabstimmung über den Streik**.
die Urabstimmung, -en;strike ballot;голосування членів профспілки за страйк;Die Urabstimmung **ergab eine breite Zustimmung der Mitglieder für den Ausstand**.
die Ausstand, "-e;strike / walkout;страйк, припинення роботи;Der Ausstand **führte zu erheblichen Ausfallzeiten im Transportbereich**.
die Arbeitsniederlegung, -en;work stoppage / wildcat strike;припинення роботи (страйк);Die Arbeitsniederlegung **wurde vom Betriebsrat als Warnstreik koordiniert**.
die Streikbeteiligung, -en;strike participation;участь у страйку;Die hohe Streikbeteiligung **verlieh den Tarifforderungen Nachdruck**.
die Tarifforderung, -en;tariff demand;вимоги щодо тарифної угоди (зарплата, графік);Die Tarifforderungen **beinhalteten eine Gehaltserhöhung um 8 Prozent**.
die Arbeitgeberseite (Sg.);employers' side;сторона роботодавців;Die Arbeitgeberseite **wies die Tarifforderungen als unrealistisch zurück**.
die Arbeitnehmerseite (Sg.);employees' side;сторона працівників;Die Arbeitnehmerseite **wird bei den Verhandlungen durch die Gewerkschaft vertreten**.
die Verhandlungskommission, -en;negotiating commission;комісія з ведення переговорів;Die Verhandlungskommission **traf sich zu einer ersten Gesprächsrunde**.
die Gesprächsrunde, -n;round of talks;раунд переговорів;Die erste Gesprächsrunde **verlief ohne nennenswerte Ergebnisse**.
die Verhandlungsführer, - / die Verhandlungsführerin, -nen;chief negotiator;керівник переговорів (лідер делегації);Die Verhandlungsführer **bemühen sich um eine einvernehmliche Lösung**.
die einvernehmliche Lösung;amicable solution / agreed solution;узгоджене (мирне) рішення;Eine einvernehmliche Lösung **konnte im Schlichtungsverfahren erzielt werden**.
die Schlichtungsverfahren, -;arbitration procedure;процедура примирення;Das Schlichtungsverfahren **wurde durch den Schlichter erfolgreich beendet**.
die Schiedsspruch, "-e;arbitration award;арбітражне рішення (рішення примирювача);Der Schiedsspruch **konnte den langwierigen Tarifkonflikt beilegen**.
die Tarifkonflikt, -e;tariff dispute;тарифна суперечка (конфлікт);Der Tarifkonflikt **belastete die gesamte Wirtschaftsbranche über Wochen**.
die Einigung, -en;agreement / settlement;компроміс, угода;Die Einigung **sieht eine stufenweise Gehaltserhöhung vor**.
die Stufenplan, "-e;phased plan / step-by-step plan;поетапний план;Der Stufenplan **regelt die Einführung der Gleitzeitregelung**.
die Laufzeit, -en;term / duration;термін дії (договору);Die Laufzeit des neuen Tarifvertrags **beträgt 24 Monate**.
die Kündigung (des Tarifvertrags), -en;termination (of the collective agreement);розірвання (тарифного договору);Die Kündigung des Tarifvertrags **erfolgte fristgerecht zum Jahresende**.
die Nachwirkung (Sg.) (des Tarifvertrags);continuing effect (of a expired collective agreement);післядія (збереження чинності умов тарифного договору після закінчення терміну);Die Nachwirkung **sichert den Beschäftigten die Weitergeltung der Tarife bis zum neuen Abschluss**.
die Weitergeltung (Sg.);continued validity;збереження чинності;Die Weitergeltung der Arbeitsbedingungen **wurde im Übertragungsvertrag geregelt**.
die Übertragungsvertrag, "-e;transfer contract;договір про передачу (бізнесу або прав);Der Übertragungsvertrag **bedarf der Zustimmung des Aufsichtsrats**.
die Betriebsübergang, "-e;transfer of undertaking / business transfer (under § 613a BGB);перехід підприємства (зміна власника із збереженням прав працівників за § 613a BGB);Beim Betriebsübergang **gehen alle Arbeitsverhältnisse auf den neuen Inhaber über**.
die Betriebsübernahme, -n;business takeover;перехід права власності на бізнес;Die Betriebsübernahme **erfolgte im Wege der Sanierung**.
die Inhaber, - / die Inhaberin, -nen;owner / proprietor;власник, володілець;Der neue Inhaber **bestätigte die Weiterbeschäftigung aller Fachkräfte**.
die Weiterbeschäftigung (Sg.);continued employment;продовження трудової діяльності;Die Weiterbeschäftigung **wurde durch eine Gesamtbetriebsvereinbarung abgesichert**.
die Weiterbeschäftigungsanspruch, "-e;right to continued employment;право на збереження робочого місця (продовження роботи);Bei unwirksamer Kündigung **besteht ein gerichtlich durchsetzbarer Weiterbeschäftigungsanspruch**.
die gerichtlich durchsetzbar;judicially enforceable;такий, що може бути захищений (примусово виконаний) у судовому порядку;Der Urlaubsanspruch **ist ein gesetzlich und gerichtlich durchsetzbares Recht**.
die Rechtsanspruch, "-e;legal claim / right;правова претензія (законне право);Der Arbeitnehmer **hat einen Rechtsanspruch auf Lohnfortzahlung im Krankheitsfall**.
die Lohnfortzahlung, -en;continued payment of wages;продовження виплати заробітної плати (під час хвороби);Die Lohnfortzahlung **ist im Entgeltfortzahlungsgesetz geregelt**.
die Entgeltfortzahlungsgesetz (EntgFG) (Sg.);Continued Remuneration Act;закон про збереження заробітної плати (EntgFG);Das EntgFG **schützt den Arbeitnehmer vor Verdienstausfall bei Krankheit**.
