#separator:;
#html:true
#columns:German;English;Ukrainian;Example
sich beschäftigen mit (+ Dat.);to busy oneself with / study;займатися (чимось);Sie beschäftigte sich mit dem neuen Investitionsplan.
besprechen mit (+ Dat.);to discuss with;обговорювати з;Georg bespricht das Problem mit seiner Chefin.
konkurrieren mit (+ Dat.);to compete with;конкурувати з;Wir konkurrieren mit Produzenten aus dem Ausland.
rechnen mit (+ Dat.);to count on / expect;розраховувати на, очікувати;Wir haben schon nicht mehr mit Ihnen gerechnet.
reden mit (+ Dat.);to speak with;розмовляти з;Herr Ohm redet mit der Chefin.
schimpfen mit (+ Dat.);to scold;сваритися на (когось);Bitte schimpf nicht mit mir! Ich kann nichts dafür!
sprechen mit (+ Dat.);to speak with;говорити з;Mit wem sprechen Sie?
(sich) streiten mit (+ Dat.);to argue with;сперечатися з;Er streitet sich oft mit seinen Kollegen.
telefonieren mit (+ Dat.);to talk on the phone with;розмовляти по телефону з;Fred telefoniert oft mit Marina.
sich treffen mit (+ Dat.);to meet with;зустрічатися з;Heute treffen wir uns mit guten Freunden.
verbinden mit (+ Dat.);to connect with;з'єднувати з;Können Sie mich bitte mit dem Sekretariat verbinden?
vergleichen mit (+ Dat.);to compare with;порівнювати з;Vergleichen Sie Ihr Land mit Deutschland.
sich verstehen mit (+ Dat.);to get along with;ладнати з;Sie versteht sich gut mit ihm.
zusammenarbeiten mit (+ Dat.);to work together with;співпрацювати з;Er arbeitet mit Ärzten und Pflegern zusammen.
fragen nach (+ Dat.);to ask for/about;запитувати про;Yvonne hat mich nach meinen Plänen für die Zukunft gefragt.
riechen nach (+ Dat.);to smell of;пахнути (чимось);Hier riecht es nach Farbe.
rufen nach (+ Dat.);to call for;кликати, вимагати (когось);Er rief nach dem Kellner, aber der kam nicht.
schmecken nach (+ Dat.);to taste of;мати смак (чогось);Dieses Eis schmeckt nach Apfel.
sehen nach (+ Dat.);to look for / check;видивлятися, перевіряти;Ich sehe mal schnell nach der noch fehlenden Kollegin.
sich ärgern über (+ Akk.);to be annoyed about;сердитися через;Ich ärgere mich über intolerante Menschen.
sich austauschen über (+ Akk.);to discuss / exchange views on;обмінюватися думками про;Die Kollegen tauschten sich über ihre Erfahrungen aus.
sich beklagen über (+ Akk.);to complain about;скаржитися на;Sie hat sich über die schlechte Zusammenarbeit beklagt.
belehren über (+ Akk.);to instruct about;повчати, інструктувати про;Er wurde über seine Pflichten belehrt.
beraten über (+ Akk.);to advise on / discuss;радитися про, обговорювати;Wir müssen uns über den Plan noch beraten.
berichten über (+ Akk.);to report on;доповідати про, описувати;Er hat über den Projektverlauf berichtet.
sich beschweren über (+ Akk.);to complain about;скаржитися на;Er beschwerte sich über seine schlechte Beurteilung.
brüten über (+ Dat.);to brood over / ponder;розмірковувати над, сушити голову над;Sie brütet seit Wochen über dem Bericht.
diskutieren über (+ Akk.);to discuss;дискутувати про;Sie diskutieren immer über dasselbe Problem.
sich freuen über (+ Akk.);to be pleased about;радіти (чомусь теперішньому/минулому);Fredo freut sich über jeden Sieg vom 1. FC Köln.
hinauskommen über (+ Akk.);to exceed / go beyond;виходити за межі;Die Partei ist nicht über 20 % hinausgekommen.
sich informieren über (+ Akk.);to inform oneself about;інформувати себе про;Ich lese Zeitung, um mich über die Politik zu informieren.
lächeln über (+ Akk.);to smile at;посміхатися над;Über die neue Kollegin kann sie nur lächeln.
lachen über (+ Akk.);to laugh at;сміятися з;Sie konnte über den Witz nicht lachen.
nachdenken über (+ Akk.);to think about / ponder;розмірковувати про;Ich habe lange über den Vorschlag nachgedacht.
reden über (+ Akk.);to talk about;говорити про;Wir haben über den Chef geredet.
referieren über (+ Akk.);to lecture on;робити доповідь про;Sie referierte über den neuen Werbeplan.
schimpfen über (+ Akk.);to complain about / rant;сварити (когось/щось), ремствувати;Sie schimpfte über den Lärm.
sprechen über (+ Akk.);to speak about;розмовляти про;Ich spreche fast nie über Politik.
(sich) streiten über (+ Akk.);to argue about;сперечатися через;Wir streiten im Team oft über Kleinigkeiten.
verfügen über (+ Akk.);to have at one's disposal;володіти, мати в розпорядженні;Am Jahresende verfügte die Firma über 20 Mio. Euro Gewinn.
sich wundern über (+ Akk.);to wonder at / be surprised at;дивуватися чомусь;Sie wunderten sich nicht über seine guten Leistungen.
sich bemühen um (+ Akk.);to strive for;намагатися отримати, піклуватися про;Sie hat sich um einen neuen Job bemüht.
sich bewerben um (+ Akk.);to apply for;подавати заявку на;Ich habe mich um einen neuen Job beworben.
bitten um (+ Akk.);to ask for;просити про;Sophie bittet ihre Freundin um einen Tipp.
gehen um (+ Akk.);to be about;йтися про;In dem Bericht geht es um die Marketingaktivitäten.
handeln um/von (+ Akk./Dat.);to be about;йтися про;Ich möchte Sie sprechen. Es handelt sich um den Bericht.
konkurrieren um (+ Akk.);to compete for;конкурувати за;Viele Firmen konkurrieren um Marktanteile.
sich kümmern um (+ Akk.);to take care of;турбуватися про;In vielen Familien kümmern sich die Frauen um den Haushalt.
leiden unter (+ Dat.);to suffer from;страждати від (зовнішніх факторів);Unter dem hohen Energieverbrauch leidet auch die Umwelt.
abweichen von (+ Dat.);to deviate from;відхилятися від;Bitte weichen Sie nicht vom Thema ab.
berichten von (+ Dat.);to report on;повідомляти про;Der Kollege berichtet von seiner letzten Dienstreise nach Wien.
sich entfernen von (+ Dat.);to move away from;віддалятися від;Er entfernte sich vom Tatort.
sich erholen von (+ Dat.);to recover from;відпочивати від, відновлюватися після;Sie hat sich gut von dem Unfall erholt.
sich erstrecken von/bis;to extend from/to;простягатися від/до;Die Alpen erstrecken sich von Frankreich bis (nach) Slowenien.
erzählen von (+ Dat.);to tell of;розповідати про;Eine Wissenschaftlerin hat mir von ihrem Beruf erzählt.
halten von (+ Dat.);to think of (an opinion);вважати про, думати про (мати думку);Was halten Sie von der Idee?
handeln von (+ Dat.);to be about;бути про (сюжет);Der Film handelt von einem Migranten in Deutschland.
hören von (+ Dat.);to hear of;чути про;Ich habe schon viel von Ihnen gehört.
sich losreißen von (+ Dat.);to tear oneself away from;вириватися від;Ich konnte mich von der Arbeit nicht losreißen.
profitieren von (+ Dat.);to benefit from;отримувати вигоду від;Wir alle haben von ihren Ideen profitiert.
reden von (+ Dat.);to talk of;говорити про;Alle reden nur noch von diesem Film.
schwärmen von (+ Dat.);to rave about;захоплюватися (чимось/кимось), марити;Sie schwärmen von ihrem letzten Urlaub.
sprechen von (+ Dat.);to speak of;говорити про;In der Mittagspause sprachen alle vom Wetter.
träumen von (+ Dat.);to dream of;мріяти про;Ich träume von der Zukunft.
sich trennen von (+ Dat.);to separate from;розлучатися з, відділятися від;Wir sollten uns von diesem Mitarbeiter trennen.
sich unterscheiden von (+ Dat.);to differ from;відрізнятися від;Die neue Chefin unterscheidet sich stark von dem alten Chef.
sich verabschieden von (+ Dat.);to say goodbye to;прощатися з;So, jetzt muss ich mich von Ihnen verabschieden.
wissen von (+ Dat.);to know of;знати про;Wissen Sie schon von unserem neuesten Projekt?
sich zurückziehen von (+ Dat.);to withdraw from;відступати від;Sie hat sich von dem Projekt zurückgezogen.
sich ekeln vor (+ Dat.);to be disgusted by;відчувати огиду до;Karla ekelt sich vor Spinnen.
flüchten vor (+ Dat.);to flee from;утікати від;Sie flüchteten vor Unterdrückung.
sich fürchten vor (+ Dat.);to be afraid of;боятися (чогось);Viele Menschen fürchten sich vor der Klimaerwärmung.
sich rechtfertigen vor (+ Dat.);to justify oneself to;виправдовуватися перед;Er musste sich vor seinem Chef rechtfertigen.
schützen vor (+ Dat.);to protect from;захищати від;Diese Jacke schützt vor Regen.
warnen vor (+ Dat.);to warn against;попереджати про;Er warnte sie vor einer Zusammenarbeit mit dieser Firma.
sich aufraffen zu (+ Dat.);to pull oneself together to;зібратися з силами для;Er raffte sich dazu auf, etwas für das Projekt zu tun.
beitragen zu (+ Dat.);to contribute to;сприяти, робити внесок у;Sie hat viel zum Erfolg des Teams beigetragen.
drängen zu (+ Dat.);to push to;підштовхувати до;Sie drängte ihn zum Einverständnis.
einladen zu (+ Dat.);to invite to;запрошувати на;Die Geschäftsführung hat Journalisten zum Pressefest eingeladen.
sich entwickeln zu (+ Dat.);to develop into;розвиватися в;Er hat sich zu einem guten Mitarbeiter entwickelt.
führen zu (+ Dat.);to lead to;призводити до;Diese Diskussion führt zu keinem Ergebnis.
gehören zu (+ Dat.);to belong to;належати до;Gehören Sie auch zu dieser Firma?
gratulieren zu (+ Dat.);to congratulate on;вітати з;Ich gratuliere dir zum Geburtstag.
kommen zu (+ Dat.);to come to;приходити до, призводити до;Wegen des Nebels kam es zu vielen Unfällen.
meinen zu (+ Dat.);to think of / say about;мати думку про;Was meinen Sie zu meinem Vorschlag?
passen zu (+ Dat.);to fit / match;пасувати до, личити;Welche Fähigkeiten von Ihnen passen zu diesem Beruf?
wählen zu (+ Dat.);to elect as;обирати (на посаду);Michaela König wurde gestern zur Betriebsrätin gewählt.
