#separator:;
#html:true
#columns:German;English;Ukrainian;Example
die Teamfähigkeit (Sg.);ability to work in a team;вміння працювати в команді;Die Teamfähigkeit **wird durch gemeinsame Aktivitäten auf der Betriebsfeier gestärkt**.
die Umfrage, -n;survey, poll;опитування;Eine Umfrage **zur Zufriedenheit der Belegschaft wurde vom Betriebsrat durchgeführt**.
wahrscheinlich;probable, probably;ймовірно;Die Modernisierung der Produktionshalle **wird sich wahrscheinlich verzögern**.
Wert legen auf (+ Akk.) (legt, legte, hat gelegt);to attach importance to;надавати значення;Unser Inhaber **legt großen Wert auf ein pünktliches Erscheinen am Arbeitsplatz**.
das Wissensmanagement (Sg.);knowledge management;управління знаннями;Ein effektives Wissensmanagement **erleichtert die Einarbeitung neuer Mitarbeiter**.
zuverlässig;reliable;надійний;Der Spediteur **gilt als sehr zuverlässig bei der Zustellung von Gefahrgut**.
die Zuverlässigkeit (Pl. selten);reliability;надійність;Die Zuverlässigkeit der technischen Anlagen **muss täglich kontrolliert werden**.
der Arbeitsablauf, "-e;workflow;робочий процес;Wir müssen den Arbeitsablauf **in der Lagerlogistik grundlegend optimieren**.
die Automatisierung (Sg.);automation;автоматизація;Die Automatisierung der Fertigung **führt zu einer spürbaren Kostenersparnis**.
etw. ein|führen (führt ein, führte ein, hat eingeführt);to introduce;запроваджувати;Die Geschäftsführung **beschließt, ein digitales Dokumentenmanagement einzuführen**.
die Einführung, -en;introduction;запровадження;Die Einführung der Schichtarbeit **stieß bei den Beschäftigten auf Widerstand**.
etw. fern|steuern (steuert fern, steuerte fern, hat ferngesteuert);to remote control;керувати дистанційно;Moderne Kräne in der Werkhalle **lassen sich per Funkfernbedienung fernsteuern**.
das Fließband, "-er;conveyor belt;конвеєр;Die Arbeit am Fließband **erfordert eine hohe Konzentration über einen langen Zeitraum**.
die Informationstechnologie, -n;information technology (IT);інформаційні технології;Die Abteilung für Informationstechnologie **ist für die IT-Sicherheit zuständig**.
das Internet der Dinge (Sg.);Internet of Things (IoT);інтернет речей;Das Internet der Dinge **bietet neue Möglichkeiten zur Überwachung der Anlagen**.
der Sprachassistent, -en;voice assistant;голосовий помічник;Der Sprachassistent **erteilt dem Nutzer auf Anfrage nützliche Auskünfte**.
die Vernetzung, -en;networking;мережування, поєднання;Die Vernetzung der Betriebe **erleichtert die Zusammenarbeit in der Logistik**.
vielfältig;diverse, manifold;різноманітний;Die Aufgaben des Betriebsrats **sind äußerst vielfältig und anspruchsvoll**.
