#separator:;
#html:true
#columns:German;English;Ukrainian;Example
der Tagesordnungspunkt, -e;agenda item;пункт порядку денного;Der nächste Tagesordnungspunkt **befasst sich mit der Regelung der Vertrauensarbeitszeit**.
die Teambesprechung, -en;team meeting;командна нарада;In der Teambesprechung **wurden alle Vorbereitungen für das anstehende Audit getroffen**.
die Teamsitzung, -en;team meeting;командне засідання;Bei der Teamsitzung **kann man Verbesserungsvorschläge zur Sprache bringen**.
verfassen (verfasst, verfasste, hat verfasst);to write, to draft;складати, писати;Der Sicherheitsbeauftragte muss nach dem Unfall **einen genauen Bericht verfassen**.
der Verkaufsberater, - / die Verkaufsberaterin, -nen;sales consultant;продавець-консультант;Der Verkaufsberater **unterbreitete dem Kunden ein sehr attraktives Angebot**.
abraten von (+ Dat.) (rät ab, riet ab, hat abgeraten);to advise against;відмовляти від;Aus Sicherheitsgründen **müssen wir dringend von einer eigenmächtigen Reparatur abraten**.
abwesend;absent;відсутній;Da der Teamleiter heute abwesend ist, **übernehme ich die Vertretung für das Projekt**.
anwesend;present;присутній;Alle Mitglieder der Prüfungskommission **müssen bei der Kammerprüfung anwesend sein**.
die Anzeigenkampagne, -n;advertising campaign;рекламна кампанія;Die Anzeigenkampagne **hat das Image unseres Unternehmens in der Öffentlichkeit verbessert**.
der Aufbau, -ten;structure, setup;структура, побудова;Der Aufbau der Ausbildung **wird im bundesweiten Lehrplan genau vorgeschrieben**.
die Ausstellung, -en;exhibition;виставка;Die Ausstellung **gibt den Besuchern einen guten Überblick über innovative Technologien**.
jdn. beauftragen (beauftragt, beauftragte, hat beauftragt);to assign, to commission;доручати;Wir haben den BBD **mit der psychosozialen Betreuung der Mitarbeiter beauftragt**.
das Beratungsprotokoll, -e;consultation protocol;протокол консультації;Das Beratungsprotokoll **muss vor der Unterschrift auf Vollständigkeit überprüft werden**.
Druck machen (macht, machte, hat gemacht);to put pressure on;тиснути;Der Vorgesetzte macht Druck, um **die Einhaltung des Fertigstellungstermins abzusichern**.
der Einzelhandel (Sg.);retail;роздрібна торгівля;Im Einzelhandel **ist man für den beruflichen Erfolg stark auf Soft Skills angewiesen**.
das Ergebnisprotokoll, -e;minutes of results;протокол рішень / результатів;Die Ergebnisse des Zielvereinbarungsgesprächs **wurden im Ergebnisprotokoll dokumentiert**.
das Gesprächsprotokoll, -e;minutes of a meeting;протокол бесіди;Bitte **erstellen Sie ein Gesprächsprotokoll zur Vorlage bei der Geschäftsleitung**.
der Gesprächstermin, -e;appointment for a discussion;час бесіди, зустріч;Ich möchte einen Gesprächstermin **vereinbaren, um über meine Aufstiegsmöglichkeiten zu reden**.
hilfsbereit;helpful;готовий допомогти;Die Kollegen im Support **sind stets sehr hilfsbereit und freundlich zu allen Kunden**.
das Messegespräch, -e;trade fair discussion;розмова на виставці;Das Messegespräch **hat großes Interesse an unserer Produktpalette geweckt**.
der Messestand, "-e;exhibition stand;виставковий стенд;Am Messestand **stehen unsere Fachkräfte für Auskünfte gerne zur Verfügung**.
die Möbelmesse, -n;furniture fair;меблева виставка;Wir haben auf der Möbelmesse **erfolgreich Kontakt zu neuen Großkunden geknüpft**.
die Protokollführung (Sg.);taking of minutes;ведення протоколу;Die Protokollführung **wurde von der Assistentin des Geschäftsführers übernommen**.
der Schwerpunkt, -e;focus, main emphasis;головна увага, акцент;Der Schwerpunkt der Fortbildung **liegt auf der Qualitätssicherung im Betrieb**.
der Standaufbau, -ten;stand construction;монтаж стенду;Der Standaufbau auf der Messe **erfolgte ohne nennenswerte Unterbrechungen**.
der Teamleiter, - / die Teamleiterin, -nen;team leader;керівник команди;Der Teamleiter **übernimmt die Verantwortung für das Erreichen der Abteilungsziele**.
der Thermosbecher, -;thermos mug;термокружка;Das Mitbringen offener Getränke **ist laut Sicherheitsvorschriften am PC verboten**, nutzen Sie einen Thermosbecher.
etw. verschenken (verschenkt, verschenkte, hat verschenkt);to give away;дарувати;Auf der Messe **verschenken wir kleine Werbegeschenke an interessierte Besucher**.
das Versuchsprotokoll, -e;test protocol/log;протокол випробування;Die Ergebnisse der Messungen **müssen im Versuchsprotokoll fehlerfrei dokumentiert werden**.
die Vertriebsabteilung, -en;sales department;відділ збуту;Die Vertriebsabteilung **arbeitet eng mit dem Marketing für den Erfolg zusammen**.
das Werbegeschenk, -e;promotional gift;рекламний подарунок;Das Werbegeschenk **bereitete den potenziellen Geschäftspartnern eine Freude**.
die Zettelbox, -en;memo box, note box;коробка для нотаток;Die Zettelbox **steht auf dem Schreibtisch direkt neben dem Telefon bereit**.
jdm. absagen (sagt ab, sagte ab, hat abgesagt);to cancel to someone;відмовляти (комусь);Er musste den Gesprächstermin **wegen einer dringenden Schichtplanänderung absagen**.
jdm. zusagen (sagt zu, sagte zu, hat zugesagt);to accept / confirm to someone;давати згоду (комусь);Wir haben dem Bewerber **die gewünschte Einstiegsposition fest zugesagt**.
etw. bestätigen (bestätigt, bestätigte, hat bestätigt);to confirm;підтверджувати;Wir bitten Sie, den vereinbarten Termin **schriftlich zu bestätigen**.
etw. verschieben (verschiebt, verschob, hat verschoben);to postpone, to shift;переносити, відкладати;Wir müssen die Teamsitzung **auf den nächsten Donnerstag verschieben**.
der Ansprechpartner, - / die Ansprechpartnerin, -nen;contact person;контактна особа;<b>Herr Müller steht Ihnen als Ansprechpartner für Fragen zur Verfügung</b>.
die Auskunft, "-e;information;інформація, довідка;Die Informationstheke **erteilt Auskünfte über alle Belange der Jobmesse**.
der Aussteller, - / die Ausstellerin, -nen;exhibitor;експонент, учасник виставки;Der Aussteller **unterbreitete den Besuchern ein detailliertes Angebot**.
das Exponat, -e;exhibit;експонат;Die innovativen Exponate **haben großen Eindruck auf die Fachbesucher gemacht**.
der Fachbesucher, - / die Fachbesucherin, -nen;trade visitor, professional visitor;професійний відвідувач, спеціаліст;Die Messe **zieht jedes Jahr Tausende Fachbesucher aus aller Welt an經濟**.
das Fachpublikum (Sg.);professional audience;професійна аудиторія, спеціалісти;Die Präsentation **richtete sich ausschließlich an ein versiertes Fachpublikum**.
die Leitmesse, -n;leading trade fair;провідна виставка;Die IFA gilt als die Leitmesse für Unterhaltungselektronik **in unserer Branche**.
das Marketing (Sg.);marketing;маркетинг;Das Marketing **legt großen Wert auf die Einhaltung des Corporate Designs**.
die Messehalle, -n;exhibition hall;виставковий павільйон;In der großen Messehalle **stehen den Besuchern verschiedene Info-Stände zur Verfügung**.
die Neuheit, -en;novelty, new product;новинка;Wir präsentieren auf der Messe **unsere neuesten technologischen Neuheiten**.
die Produktneuheit, -en;product novelty / new product;новий продукт, новинка продукції;Die Produktneuheit **ist auf großes Interesse beim Fachpublikum gestoßen**.
die Public Relations (PR) (Pl.);public relations;зв'язки з громадськістю (піар);Gute PR **trägt entscheidend zur Verbesserung des Images in der Öffentlichkeit bei**.
die Publikumswelt, -en;public section / consumer fair section;публічна частина виставки;Die Publikumswelt der Messe **ist am Wochenende auch für Privatbesucher geöffnet**.
die Publikumstag, -e;public day (at a trade fair);день для загального відвідування;Am Publikumstag **kam es am Messestand zu einem enormen Besucheransturm**.
die Standbetreuung (Sg.);stand staff / booth support;обслуговування стенду;Die Standbetreuung **muss den Besuchern kompetente Auskünfte erteilen können**.
die Standgebühr, -en;stand fee / booth fee;плата за оренду стенду;Die Standgebühren **werden in der Budgetplanung der Marketingabteilung eingeplant**.
das Standpersonal (Sg.);booth staff;персонал стенду;Das Standpersonal **ist mit der Vorbereitung der Kundenkontakte beschäftigt**.
der Standplatz, "-e;booth space;місце під стенд;Wir haben uns einen attraktiven Standplatz **direkt am Haupteingang gesichert**.
das Werbemittel, -;advertising medium / promotional item;рекламний засіб;Kataloge und Flyer **sind wichtige Werbemittel zur Verkaufsförderung**.
der Werbespot, -s;commercial / ad clip;рекламний ролик;Der neue Werbespot **weist auf die Vorteile unserer Dienstleistungen hin**.
die Fachmesse, -n;trade fair;спеціалізована виставка;Die Fachmesse **bietet gute Möglichkeiten zur Kooperation mit Partnern**.
der Geschäftspartner, - / die Geschäftspartnerin, -nen;business partner;діловий партнер;Wir haben uns **mit unseren Geschäftspartnern auf ein gemeinsames Vorgehen geeinigt**.
die Neukundengewinnung (Sg.);acquisition of new customers;залучення нових клієнтів;Die Neukundengewinnung **steht im Mittelpunkt unserer Vertriebsaktivitäten**.
der Kundenkontakt, -e;customer contact;контакт із клієнтом;Ein freundlicher Kundenkontakt **ist die Voraussetzung für eine gute Beziehung**.
das Kundengespräch, -e;customer conversation;бесіда з клієнтом;Im Kundengespräch **müssen wir aufmerksam auf die Wünsche des Partners eingehen**.
die Kundenkarte, -n;customer card;картка клієнта;Die Kundenkarte **bietet den Inhabern attraktive Rabatte beim Einkauf**.
das Kundenfeedback (Sg.);customer feedback;відгук клієнта;Das Kundenfeedback **gibt Aufschluss über Mängel an unseren Produkten**.
die Kundenzufriedenheit (Sg.);customer satisfaction;задоволеність клієнтів;Die Kundenzufriedenheit **hat für unser Unternehmen höchste Priorität**.
die Kundenbindung (Sg.);customer retention/loyalty;утримання клієнтів, лояльність клієнтів;Guter Service **leistet einen wichtigen Beitrag zur langfristigen Kundenbindung**.
die Kundenakquise (Sg.);customer acquisition;пошук та залучення клієнтів;Die Kundenakquise **erfordert viel Geduld und gute Soft Skills**.
der Stammkunde, -n / die Stammkundin, -nen;regular customer;постійний клієнт;Stammkunden **genießen bei uns besondere Konditionen und Rabatte**.
der Neukunde, -n / die Neukundin, -nen;new customer;новий клієнт;Wir konnten auf der Messe **viele Neukunden für unsere Produkte begeistern**.
der potenzieller Kunde;potential customer;потенційний клієнт;Wir müssen potenzielle Kunden **durch gezielte Werbung ansprechen**.
die Kundenkartei, -en;customer register/file;картотека клієнтів;Die Daten der Neukunden **werden direkt in der Kundenkartei erfasst**.
die Kundenbetreuung (Sg.);customer care / customer support;обслуговування клієнтів;Die Kundenbetreuung **ist rund um die Uhr telefonisch erreichbar**.
der Kundenservice (Sg.);customer service;служба підтримки клієнтів;Bei Problemen **können Sie sich jederzeit an den Kundenservice wenden**.
die Kundenreklamation, -en;customer complaint;рекламація від клієнта;Die Kundenreklamation **wurde vom Beschwerdemanagement zügig bearbeitet**.
der Kundenwunsch, "-e;customer wish;бажання клієнта;Wir bemühen uns, jeden Kundenwunsch **bestmöglich zu erfüllen**.
die Kundennähe (Sg.);customer proximity;близькість до клієнта (орієнтація на клієнта);Kundennähe **ist ein zentraler Leitsatz unserer Firmenphilosophie**.
der Kundenstamm, "-e;customer base;клієнтська база;Unser Kundenstamm **ist in den letzten Jahren kontinuierlich gewachsen**.
die Kundenanfrage, -n;customer inquiry;запит від клієнта;Wir bemühen uns, jede Kundenanfrage **innerhalb von 24 Stunden zu beantworten**.
die Kundenberatung, -en;customer consultation;консультування клієнтів;Die Kundenberatung **erfolgt durch qualifizierte Fachkräfte**.
die Kundenorientierung (Sg.);customer orientation;клієнтоорієнтованість;Kundenorientierung **wird in der Ausbildung der Kaufleute großgeschrieben**.
das Kundenbeziehungsmanagement (CRM) (Sg.);customer relationship management (CRM);управління відносинами з клієнтами (CRM);Das neue CRM-System **erleichtert die Pflege der Kundenkontakte**.
die Kundendaten (Pl.);customer data;дані клієнтів;Die Kundendaten **werden vertraulich behandelt und streng geschützt**.
die Kundenakzeptanz (Sg.);customer acceptance;прийняття клієнтами (сприйняття продукту ринком);Die Kundenakzeptanz für die neue App **war erfreulich hoch**.
der Kundennutzen (Sg.);customer benefit;користь для клієнта;Das Produkt **bietet dem Anwender einen hohen praktischen Kundennutzen**.
die Kundenbewertung, -en;customer rating/review;оцінка клієнта, відгук;Positive Kundenbewertungen **wirken sich sehr vorteilhaft auf das Image aus**.
