#separator:;
#html:true
#columns:German;English;Ukrainian;Example
die Unterlage, -n;document;документ;Bitte **legen Sie dem Steuerprüfer alle erforderlichen Unterlagen vor**.
die Wartezeit, -en;waiting time;час очікування;Für die Rente wegen Erwerbsminderung **ist eine Wartezeit von fünf Jahren einzuhalten**.
die Zeitarbeitsfirma, -en;temporary employment agency;агентство з працевлаштування;Die Zeitarbeitsfirma **übernimmt die Vermittlung von Arbeitskräften für die Werkhalle**.
zukünftig;future;майбутній;Die zukünftigen Tarifverträge **werden eine stufenweise Erhöhung des Mindestlohns vorsehen**.
die Arbeitskraft, "-e;worker, manpower;робоча сила;Eine leistungsfähige Arbeitskraft **trägt wesentlich zum positiven Betriebsergebnis bei**.
das Arbeitsverhältnis, -se;employment relationship;трудові відносини;Das Arbeitsverhältnis **kann durch eine einvernehmliche Aufhebungsvereinbarung beendet werden**.
ausleihen (leiht aus, lieh aus, hat ausgeliehen);to lend, to borrow;позичати, віддавати в оренду;Die Azubis **können sich die Fachbücher in der Bibliothek ausleihen**.
die Berufsberatung, -en;vocational guidance;професійна консультація;Die Berufsberatung **bietet den Schulabgängern eine wichtige Orientierung**.
die Berufserfahrung, -en;professional experience;професійний досвід;Für diese anspruchsvolle Position **wird eine fundierte Berufserfahrung verlangt**.
beschäftigen (beschäftigt, beschäftigte, hat beschäftigt);to employ;займати, працевлаштовувати;Wir beschäftigen **eine Teilzeitkraft für die administrative Abwicklung**.
die Beschäftigung (Sg.);employment;зайнятість;Die Beschäftigung der Mitarbeiter **wird im Rahmen des Tarifvertrags geregelt**.
der Betrieb, -e;business, company;підприємство;Der Betrieb **wurde im Wege eines Betriebsübergangs an den Nachfolger übergeben**.
die Genehmigung, -en;permission, permit;дозвіл;Für die Durchführung der Sonntagsarbeit **ist eine behördliche Genehmigung erforderlich**.
die Leiharbeit (Sg.);temporary work;тимчасова праця;Die Leiharbeit **bietet Arbeitnehmern die Chance на einen schnellen Berufseinstieg**.
staatlich;state, public;державний;Die staatlichen Stellen **zahlen das Elterngeld während der Elternzeit**.
die Tätigkeit, -en;activity, task;діяльність;Der Arbeitnehmer **übt vorwiegend eine sitzende Tätigkeit im Büro aus**.
einen Termin vereinbaren (vereinbart, vereinbarte, hat vereinbart);to make an appointment;домовлятися про зустріч;Ich möchte mit Ihnen **einen Termin für das Zielvereinbarungsgespräch vereinbaren**.
verleihen (verleiht, verlieh, hat verliehen);to lend;позичати, надавати;Die Agentur **verleiht qualifiziertes Fachpersonal an mittelständische Betriebe**.
die Vermittlung, -en;placement, mediation;працевлаштування, посередництво;Die Vermittlung der Arbeitslosen **erfolgt über die Bundesagentur für Arbeit**.
die Vermittlungsgebühr, -en;placement fee;комісія за працевлаштування;Die Vermittlungsgebühr **wird unter bestimmten Bedingungen vom Jobcenter erstattet**.
der Agraringenieur, -e / die Agraringenieurin, -nen;agricultural engineer;агроном-інженер/-ка;Der Agraringenieur **ist für die Einhaltung der Gewässerschutzrichtlinien verantwortlich**.
der Arbeitseinsatz, "-e;work assignment;використання робочої сили;Der Arbeitseinsatz **wurde im Dienstplan für die gesamte Belegschaft festgelegt**.
der Bereich, -e;area, field;сфера, галузь;Der Bereich Arbeitsschutz **steht bei dieser Modernisierung im Vordergrund**.
die Bereitschaft (Sg.);readiness, willingness;готовність;Der Mitarbeiter **zeigt große Bereitschaft zur Teilnahme an der Weiterbildungsmaßnahme**.
der Einsatzort, -e;place of assignment;місце роботи (відрядження);Der Einsatzort des Servicetechnikers **befindet sich in der neuen Werkhalle**.
examinierter;qualified, examined;дипломований;Wir suchen **eine examinierte Pflegekraft für die Betreuung im Pflegeservice**.
das Familienunternehmen, -;family business;сімейне підприємство;Das Familienunternehmen **legt großen Wert auf ein stabiles und gutes Betriebsklima**.
der Informatiker, - / die Informatikerin, -nen;IT specialist;інформатик/-иця;Der Informatiker **konfiguriert die Firewall und sichert die Server ab**.
der Ingenieur, -e / die Ingenieurin, -nen;engineer;інженер/-ка;Der Ingenieur **überwacht die ordnungsgemäße Wartung der Kältemaschinen**.
innovativ;innovative;інноваційний;Innovative Technologien **leisten einen wichtigen Beitrag zur Energieeinsparung**.
die Karrierechance, -n;career opportunity;шанс на кар'єру;Der Tarifabschluss **verbessert die Karrierechancen der Angestellten im Betrieb**.
die Kommunikationsfähigkeit, -en;communication skills;комунікабельність;Gute Kommunikationsfähigkeit **ist für den Kundenservice von entscheidender Bedeutung**.
der Kundenservice (Sg.);customer service;служба підтримки клієнтів;Der Kundenservice **muss sich unverzüglich um das Anliegen des Kunden kümmern**.
die Pflegekraft, "-e;caregiver, nurse;медпрацівник (з догляду);Die Pflegekraft **ist auf eine ergonomische Arbeitsplatzausstattung angewiesen**.
der Pflegeservice (Sg.);care service;служба догляду;Der Pflegeservice **bietet den Angehörigen eine wichtige Entlastung im Alltag**.
der Sicherheitsmitarbeiter, - / die Sicherheitsmitarbeiterin, -nen;security officer;співробітник/-ця безпеки;Der Sicherheitsmitarbeiter **weist uns auf die Einhaltung der Brandschutzordnung hin**.
die Teamgeist (Sg.);team spirit;командний дух;Ein starker Teamgeist **trägt maßgeblich zur Verbesserung des Betriebsklimas bei**.
die Verantwortung (Sg.);responsibility;відповідальність;Der Inhaber **trägt die wirtschaftliche Verantwortung für die Existenzsicherung**.
der Verkäufer, - / die Verkäuferin, -nen;salesperson;продавець/-чиня;Der Verkäufer **erteilt den Kunden fundierte Auskünfte über das Produkt**.
die Verstärkung, -en;reinforcement, addition to the team;підкріплення, новий співробітник;Wir suchen zur Verstärkung unseres Teams **eine qualifizierte Teilzeitkraft**.
die Zukunftsperspektive, -n;future prospect;перспектива на майнє;Die abgeschlossene Berufsausbildung **bietet eine hervorragende Zukunftsperspektive**.
die Zusammenarbeit (Sg.);cooperation;співпраця;Die Zusammenarbeit **zwischen dem Betriebsrat und der Geschäftsführung verläuft reibungslos**.
zuständig;responsible;відповідальний;Frau Duda **ist für die Abrechnung der Lohnsteuer zuständig**.
das Bauvorhaben, -;construction project;будівельний проект;Das Bauvorhaben **wurde von der zuständigen Bauaufsichtsbehörde bewilligt**.
die Berufsausbildung, -en;vocational training;професійна освіта;Nach der Berufsausbildung **strebt er eine unbefristete Festanstellung an**.
der Einsatz, "-e;assignment, mission;виконання завдання;Der Einsatz des Notstromaggregats **wird im Evakuierungsplan geregelt**.
das Einverständnis, -se;consent, agreement;згода;Das Einverständnis des Betriebsrats **ist für die Überstundenregelung erforderlich**.
der Fachinformatiker, - / die Fachinformatikerin, -nen;IT specialist;фахівець/-чиня з інформатики;Als Fachinformatiker **ist er für die Konfiguration des Firmennetzwerks zuständig**.
die Krankheitsvertretung, -en;sick leave cover;заміна на час хвороби;Die Krankheitsvertretung **wurde im Dienstplan sorgfältig organisiert**.
der Realschulabschluss, "-e;secondary school certificate;атестат про закінчення реальної школи;Mit einem guten Realschulabschluss **hat man beste Chancen auf einen Ausbildungsplatz**.
die Urlaubsvertretung, -en;holiday replacement;заміна на час відпустки;Ich übernehme gerne **die Urlaubsvertretung für meinen Kollegen in der Werkhalle**.
der Zeitraum, "-e;period of time;період часу;In dem Zeitraum der Elternzeit **ruht der gesetzliche Anspruch auf Lohnfortzahlung**.
