#separator:;
#html:true
#columns:German;English;Ukrainian;Example
der Urlaubsanspruch, "-e;leave entitlement, right to vacation;право на відпустку;Der genaue Urlaubsanspruch **wird im Arbeitsvertrag schriftlich vereinbart**.
(gut/schlecht) verlaufen (verläuft, verlief, ist verlaufen);to go (well/badly);проходити (добре/погано);Die ersten Verhandlungen über den Tarifvertrag **sind sehr positiv verlaufen**.
sich etw. verschaffen (z. B. einen Eindruck) (verschafft sich, verschaffte sich, hat sich verschafft);to obtain, to gain (e.g., an impression);здобути, отримати (напр., враження);<b>Vor der Bewerbung sollte man sich einen Überblick über</b> das Image der Firma **verschaffen**.
der Zuschuss, "-e;subsidy, grant, allowance;доплата, субсидія, допомога;Der Arbeitgeber **zahlt einen Zuschuss zu den Weiterbildungskosten**.
etw. antreten (z. B. eine Stelle) (tritt an, trat an, hat angetreten);to take up, to start (e.g., a job);починати, приступати до (роботи);Er wird seine neue Stelle im Bereich der Qualitätskontrolle am Montag <b>antreten</b>.
etw. aushändigen (händigt aus, händigte aus, hat ausgehändigt);to hand over;вручати, видавати на руки;Der Meister wird dem Lehrling das Berichtsheft persönlich <b>aushändigen</b>.
der Betriebsrat, "-e;works council;виробнича рада (представник працівників);Der Betriebsrat **setzt sich aktiv für die Einhaltung des Arbeitsschutzes ein**.
chaotisch;chaotic;хаотичний;Ohne eine klare Vertretungsregelung **verlaufen die Urlaubszeiten oft chaotisch**.
der Dienstplan, "-e;roster, shift schedule;графік чергувань / роботи;Der neue Dienstplan **muss die gesetzlichen Ruhezeiten der Mitarbeiter berücksichtigen**.
etw. einplanen (plant ein, plante ein, hat eingeplant);to schedule, to plan for;планувати, передбачати;Wir müssen genug Zeit für die Einarbeitungsphase <b>einplanen</b>.
die Einweisung, -en;instruction, briefing;інструктаж, введення в курс справи;Eine gründliche Einweisung **ist Voraussetzung für das Bedienen der neuen Maschinen**.
sich erinnern an (+ Akk.) (erinnert sich, erinnerte sich, hat sich erinnert);to remember;пам'ятати про, згадувати;Ich kann mich noch gut **an meine erste Sicherheitsunterweisung erinnern**.
die Hausordnung, -en;house rules;правила внутрішнього розпорядку;Laut Hausordnung **ist das Mitbringen von Haustieren auf das Betriebsgelände verboten**.
die Infoveranstaltung, -en;information event;інформаційний захід;Auf der Infoveranstaltung **können die Mitarbeiter Fragen zur Umschulung stellen**.
das Jobcenter, -;job center;центр зайнятості;Das Jobcenter **unterstützt Arbeitslose bei der Stellensuche auf dem Arbeitsmarkt**.
jdn. kontaktieren (kontaktiert, kontaktierte, hat kontaktiert);to contact;зв'язуватися з (кимось);Bitte <b>kontaktieren Sie den zuständigen Kollegen per E-Mail</b>.
die Lohnsteuerkarte, -n;income tax card;податкова картка;Sie müssen dem Personalverantwortlichen **Ihre Lohnsteuerkarte vorlegen**.
das Personaldatenblatt, "-er;personnel data sheet;особовий листок (анкета);Bitte tragen Sie Ihre persönlichen Daten **in das Personaldatenblatt ein**.
die Steuerklasse, -n;tax class / tax bracket;податковий клас;Die Einordnung in eine Steuerklasse **wirkt sich direkt auf das Nettoeinkommen aus**.
der Stundenzettel, -;time sheet;табель обліку робочого часу;Jeder Beschäftigte muss seinen Stundenzettel **am Monatsende beim Vorgesetzten einreichen**.
das Arbeitsverhältnis, -se;employment relationship;трудові відносини;Das Arbeitsverhältnis **wird durch den unbefristeten Arbeitsvertrag begründet**.
etw. ausfüllen (füllt aus, füllte aus, hat ausgefüllt);to fill in/out (a form);заповнювати (форму, анкету);Bitte <b>füllen Sie das Formular für die Zeiterfassung vollständig aus</b>.
der Ausweis, -e;ID card, badge;посвідчення, перепустка;Auf dem Betriebsgelände **muss man den Ausweis immer gut sichtbar tragen**.
der Erfassungsbogen, "-;registration form / data sheet;опитувальний лист, реєстраційна форма;Bitte **tragen Sie Ihre Qualifikationsstufen in den Erfassungsbogen ein**.
die Krankmeldung, -en;notification of sickness / sick note;повідомлення про хворобу;Bei Arbeitsunfähigkeit **muss die Krankmeldung unverzüglich vorgelegt werden**.
sich melden (meldet sich, meldete sich, hat sich gemeldet);to report, to get in touch;повідомляти про себе, давати знати;Im Krankheitsfall **muss sich der Mitarbeiter vor Arbeitsbeginn telefonisch melden**.
das Personalbüro, -s;HR office / personnel office;відділ кадрів;Für Fragen zu Ihrer Abrechnung **steht Ihnen das Personalbüro zur Verfügung**.
die Sozialversicherungsnummer, -n;social security number;номер соціального страхування;Die Sozialversicherungsnummer **ist für die Anmeldung bei der Krankenversicherung erforderlich**.
die SV-Nummer (Sozialversicherungsnummer), -n;social security number;номер соцстрахування;Bitte tragen Sie Ihre SV-Nummer **in das Personaldatenblatt ein**.
die Übergabe, -n;handover;передача (справ/обов'язків);Eine sorgfältige Übergabe **verhindert Fehler bei der Vertretung**.
das Verhalten (Sg.);behavior, conduct;поведінка;Ein unfreundliches Verhalten **gegenüber Kunden ist ein Kündigungsgrund**.
das Zeiterfassungsgerät, -e;time recording device;пристрій обліку часу;Beim Betreten des Büros **müssen wir uns am Zeiterfassungsgerät anmelden**.
sich krankmelden (meldet sich krank, meldete sich krank, hat sich krankgemeldet);to report sick;повідомляти про хворобу (брати лікарняний);Er hat sich heute **wegen einer Erkältung krankgemeldet**.
das Attest, -e;medical certificate;медична довідка;Ab dem dritten Fehltag **ist die Vorlage eines ärztlichen Attests gesetzlich vorgeschrieben**.
die Arbeitsunfähigkeitsbescheinigung (AU), -en;medical certificate of incapacity for work;довідка про непрацездатність;Die Arbeitsunfähigkeitsbescheinigung **muss dem Arbeitgeber vorgelegt werden**.
der Arbeitstag, -e;working day;робочий день;Laut Arbeitsvertrag **erstreckt sich die Arbeitszeit auf fünf Arbeitstage**.
die Krankenkasse, -n;health insurance company;каса медичного страхування;Die Krankenkasse **übernimmt die Kosten für die ärztliche Behandlung**.
die Meldepflicht (Sg.);obligation to report;обов'язок повідомлення (напр., про хворобу);Der Beschäftigte hat im Krankheitsfall **eine gesetzliche Meldepflicht**.
der Krankheitsfall, "-e;case of illness;випадок хвороби;Im Krankheitsfall **besteht Anspruch auf Lohnfortzahlung durch die Firma**.
das Krankengeld (Sg.);sick pay;допомога по тимчасовій непрацездатності;Nach sechs Wochen Krankheit **zahlt die Krankenkasse das Krankengeld aus**.
die Genesung (Sg.);recovery;одужання;Das gesamte Team **wünscht dem erkrankten Kollegen eine schnelle Genesung**.
die Arbeitsunfähigkeit (Sg.);incapacity for work;непрацездатність;Die Arbeitsunfähigkeit **muss durch ein ärztliches Attest nachgewiesen werden**.
die Folgebescheinigung, -en;follow-up certificate (medical);довідка про продовження лікарняного;Dauert die Krankheit länger, **ist eine Folgebescheinigung beim Arbeitgeber einzureichen**.
die Erstbescheinigung, -en;initial medical certificate;первинна довідка про лікарняний;Die Erstbescheinigung **weist den Beginn der Arbeitsunfähigkeit nach**.
die Wiedereingliederung, -en;reintegration (into work);повернення до трудової діяльності (після тривалої хвороби);Die stufenweise Wiedereingliederung **hilft dem Mitarbeiter beim Berufswiedereinstieg**.
die betriebliche Wiedereingliederung;occupational reintegration;виробнича реінтеграція;Die betriebliche Wiedereingliederung **wird vom Betriebsarzt eng betreut**.
die Arbeitsmedizin (Sg.);occupational medicine;професійна медицина / гігієна праці;Die Arbeitsmedizin **untersucht die Auswirkungen der Belastungen am Arbeitsplatz**.
der Betriebsarzt, "-e / die Betriebsärztin, -nen;company doctor;лікар підприємства;Der Betriebsarzt **führt die gesetzlichen Vorsorgeuntersuchungen durch**.
die Vorsorgeuntersuchung, -en;preventive medical examination;профілактичний огляд;Regelmäßige Vorsorgeuntersuchungen **dienen dem Gesundheitsschutz der Beschäftigten**.
der Gesundheitsschutz (Sg.);health protection;охорона здоров'я (на виробництві);Der Gesundheitsschutz am Arbeitsplatz **wird durch strenge Richtlinien geregelt**.
die Ergonomieberatung, -en;ergonomics consultation;консультація з ергономіки;Eine Ergonomieberatung **hilft, Gefahrenquellen im Büro zu beseitigen**.
der Arbeitssicherheitsausschuss, "-e;occupational safety committee;комітет з безпеки праці;Der Arbeitssicherheitsausschuss **tagt vierteljährlich und beschließt neue Maßnahmen**.
die Gefahrenanalyse, -n;hazard analysis / risk analysis;аналіз небезпек (ризиків);Eine Gefahrenanalyse **ist für die Zulassung neuer Maschinen erforderlich**.
die Arbeitsschutzmaßnahme, -n;occupational safety measure;заходи з охорони праці;Die Einhaltung der Arbeitsschutzmaßnahmen **wird vom Sicherheitsbeauftragten überwacht**.
die Unfallverhütung (Sg.);accident prevention;запобігання нещасним випадкам;Die Richtlinien zur Unfallverhütung **sind auf dem gesamten Betriebsgelände gültig**.
die Sicherheitskennzeichnung, -en;safety marking/labeling;маркування безпеки;Eine gut sichtbare Sicherheitskennzeichnung **weist auf Gefahrenquellen hin**.
der Erste-Hilfe-Raum, "-e;first aid room;кімната першої медичної допомоги;Der Erste-Hilfe-Raum **befindet sich direkt neben der Betriebskantine**.
der Rettungsweg, -e;rescue route;евакуаційний шлях;Die Rettungswege **dürfen unter keinen Umständen verstellt werden**.
die Evakuierungsübung, -en;evacuation drill;тренування з евакуації;Die jährliche Evakuierungsübung **dient der Vorbereitung auf den Ernstfall**.
der Sammelplatz, "-e;assembly point;пункт збору (при евакуації);Im Falle eines Feuers **müssen sich alle Mitarbeiter am Sammelplatz einfinden**.
der Feueralarm, -e;fire alarm;пожежна тривога;Bei einem Feueralarm **müssen wir ruhig bleiben und das Gebäude verlassen**.
der Brandlöscher, -;fire extinguisher;вогнегасник;Die Brandlöscher **müssen regelmäßig auf ihre Funktionstüchtigkeit überprüft werden**.
die Brandschutzordnung, -en;fire protection regulation;інструкція з пожежної безпеки;Die Brandschutzordnung **hängt im Flur des Verwaltungsgebäudes aus**.
der Evakuierungshelfer, - / die Evakuierungshelferin, -nen;evacuation helper;помічник при евакуації;Der Evakuierungshelfer **koordiniert das Verlassen des Gebäudes im Ernstfall**.
die Ersthelferausbildung, -en;first aider training;підготовка рятувальників (перша допомога);Die Kosten für die Ersthelferausbildung **werden vom Betrieb übernommen**.
die Verbandbuch, "-er;accident log book;журнал обліку травматизму (першої допомоги);Jede Verletzung, auch eine kleine, **muss im Verbandbuch dokumentiert werden**.
die Unfallmeldung, -en;accident notification;повідомлення про нещасний випадок;Der Arbeitgeber **muss die Unfallmeldung an die Berufsgenossenschaft senden**.
die Berufsgenossenschaft, -en;employers' liability insurance association;галузеве страхування від нещасних випадків;Die Berufsgenossenschaft **übernimmt die Kosten für die Rehabilitation nach Arbeitsunfällen**.
die Arbeitsunfallversicherung, -en;occupational accident insurance;страхування від нещасних випадків на виробництві;Die gesetzliche Arbeitsunfallversicherung **schützt die Beschäftigten auf dem Arbeitsweg**.
die Wegeunfall, "-e;commuting accident;нещасний випадок по дорозі на роботу;Ein Wegeunfall **ist der gesetzlichen Unfallversicherung unverzüglich zu melden**.
die Wiedereingliederungsmaßnahme, -n;reintegration measure;захід з реінтеграції;Die Wiedereingliederungsmaßnahme **wurde erfolgreich abgeschlossen**.
die Wiedereingliederungsplan, "-e;reintegration plan;план реінтеграції;Der Wiedereingliederungsplan **wird individuell für den betroffenen Mitarbeiter erstellt**.
die Wiedereingliederungsvereinbarung, -en;reintegration agreement;угода про реінтеграцію;Die Wiedereingliederungsvereinbarung **bedarf der Zustimmung des Betriebsrats**.
die Hamburger Modell (Sg.);Hamburger model (gradual return to work after long illness);Гамбурзька модель (поступове повернення до роботи);Die stufenweise Rückkehr nach der Hamburger Modell **hat sich sehr bewährt**.
die Belastungserprobung, -en;load testing / work trial;тестування під навантаженням;Die Belastungserprobung **zeigt, ob der Mitarbeiter wieder voll arbeitsfähig ist**.
die Arbeitserprobung, -en;work trial;випробування на робочому місці (оцінка працездатності);Eine Arbeitserprobung **hilft bei der Einschätzung der verbleibenden Leistungsfähigkeit**.
die Berufsgenossenschaft (BG), -en;employers' liability insurance association;галузеве страхування від нещасних випадків;Die BG **entscheidet über die Gewährung einer Rente nach einem Arbeitsunfall**.
die Rentenausschuss, "-e;pension committee;пенсійний комітет;Der Rentenausschuss **prüft die Anträge auf Erwerbsminderungsrente**.
die Erwerbsminderungsrente, -n;reduced-earning-capacity pension;пенсія по повній або частковій втраті працездатності;Die Erwerbsminderungsrente **stellt eine wichtige Absicherung bei Invalidität dar**.
die Schwerbehinderung, -en;severe disability;важка інвалідність;Bei Vorliegen einer Schwerbehinderung **besteht Anspruch auf zusätzlichen Urlaub**.
die Schwerbehindertenvertretung, -en;representative body for severely disabled employees;представництво працівників з обмеженими можливостями;Die Schwerbehindertenvertretung **setzt sich für die Barrierefreiheit im Betrieb ein**.
die Inklusionsvereinbarung, -en;inclusion agreement;угода про інклюзію;Die Inklusionsvereinbarung **regelt die Beschäftigung schwerbehinderter Menschen**.
die Inklusionsbetrieb, -e;inclusion company / social enterprise;інклюзивне підприємство (де працевлаштовані люди з інвалідністю);Das Unternehmen **engagiert sich als Inklusionsbetrieb für Chancengleichheit**.
die Integrationsamt, "-er;integration office;управління інтеграції (служба допомоги інвалідам);Das Integrationsamt **zahlt Zuschüsse für die behindertengerechte Gestaltung des Arbeitsplatzes**.
die behindertengerechte Gestaltung;disabled-friendly design;пристосування для потреб людей з інвалідністю;Die behindertengerechte Gestaltung **ist Voraussetzung für barrierefreie Arbeitsplätze**.
die Arbeitsplatzausstattung, -en;workplace equipment;оснащення робочого місця;Eine ergonomische Arbeitsplatzausstattung **beugt gesundheitlichen Belastungen vor**.
die Hilfsmittel (Pl.);auxiliary aids / assistance tools;допоміжні засоби;Das Integrationsamt übernimmt die Kosten **für spezielle Hilfsmittel am Arbeitsplatz**.
die Arbeitsassistenz, -en;work assistance;асистент на роботі (для людей з інвалідністю);Schwerbehinderte Arbeitnehmer **haben unter Umständen Anspruch auf eine Arbeitsassistenz**.
die Arbeitsplatzanpassung, -en;workplace adjustment;пристосування робочого місця;Die Arbeitsplatzanpassung **wird in Abstimmung mit der Schwerbehindertenvertretung vorgenommen**.
die behindertengerechte Arbeitszeit;disabled-friendly working hours;робочий час, пристосований до потреб людей з інвалідністю;Eine behindertengerechte Arbeitszeit **kann im Rahmen einer Betriebsvereinbarung vereinbart werden**.
die Minderleistung, -en;underperformance;знижена продуктивність праці;Für die Minderleistung **kann der Arbeitgeber einen Lohnkostenzuschuss erhalten**.
die Minderleistungsausgleich, -e;compensation for underperformance;компенсація за знижену продуктивність;Der Minderleistungsausgleich **wird vom Integrationsamt an den Betrieb gezahlt**.
die Kündigungsschutzverfahren, -;dismissal protection procedure;процедура захисту від звільнення (для інвалідів);Перед звільненням інваліда **роботодавець повинен пройти Kündigungsschutzverfahren**.
die Integrationsfachdienst (IFD), -e;integration specialist service;інтеграційна спеціалізована служба;Der IFD **unterstützt schwerbehinderte Menschen bei der Arbeitssuche**.
die Berufsbegleitende Dienst (BBD), -e;occupational support service;служба супроводу на робочому місці;Der BBD **hilft bei der Lösung von Konflikten am Arbeitsplatz**.
die psychosoziale Betreuung;psychosocial support;психосоціальний супровід;Eine psychosoziale Betreuung **hilft Mitarbeitern in schwierigen Lebenslagen**.
die Krisenintervention, -en;crisis intervention;кризове втручання;Die Krisenintervention **wird bei akuten Konflikten im Team eingesetzt**.
die Konfliktlösung, -en;conflict resolution;вирішення конфліктів;Eine offene Feedbackkultur **spielt eine wichtige Rolle bei der Konfliktlösung**.
die Mediation, -en;mediation;медіація;Wenn Gespräche scheitern, **kann eine Mediation durch einen neutralen Dritten helfen**.
die Mediator, -en / die Mediatorin, -nen;mediator;медіатор;Die Mediatorin **hilft den Parteien, eine gütliche Einigung zu erzielen**.
die Konfliktpartei, -en;conflict party;сторона конфлікту;Die Konfliktparteien **haben sich auf einen Kompromiss geeinigt**.
die Einigung, -en;agreement, settlement;угода, компроміс;Die Einigung **wurde in einer schriftlichen Vereinbarung festgehalten**.
die Schlichtung, -en;arbitration, conciliation;примирення, третейський розгляд;Eine außergerichtliche Schlichtung **spart Zeit und schont das Betriebsklima**.
die Schlichtungsstelle, -n;arbitration board;примирювальний орган / комісія;Die Schlichtungsstelle **wird bei Tarifkonflikten angerufen**.
die Schlichter, - / die Schlichterin, -nen;arbitrator;третейський суддя / примиритель;Der Schlichter **unterbreitet den Parteien einen Schlichtungsvorschlag**.
die Schlichtungsvereinbarung, -en;arbitration agreement;угода за результатами примирення;Die Schlichtungsvereinbarung **ist für beide Parteien bindend**.
die Schlichtungsverfahren, -;arbitration procedure;процедура примирення;Das Schlichtungsverfahren **führte zur Beilegung des Arbeitskampfes**.
die Schlichtungsvorschlag, "-e;arbitration proposal;пропозиція щодо примирення;Die Gewerkschaft **hat den Schlichtungsvorschlag angenommen**.
die Tarifverhandlung, -en;collective bargaining / tariff negotiation;тарифні переговори;Die Tarifverhandlungen **gestalten sich in diesem Jahr äußerst schwierig**.
die Tarifkonflikt, -e;tariff dispute;тарифний конфлікт;Der Tarifkonflikt **konnte durch eine Schlichtung beigelegt werden**.
die Arbeitskampf, "-e;labor dispute / industrial action;трудова суперечка (страйк/лок-аут);Ein Arbeitskampf **kann negative Auswirkungen auf die Wirtschaft haben**.
die Streik, -s;strike;страйк;Die Beschäftigten **haben beschlossen, in den Streik zu treten**.
die Warnstreik, -s;warning strike;попереджувальний страйк;Der Warnstreik **führte zu erheblichen Unterbrechungen im Bahnverkehr**.
die Aussperrung, -en;lockout;лок-аут (припинення роботи підприємства власником);Die Aussperrung der Mitarbeiter **ist eine drastische Maßnahme der Arbeitgeber**.
die Urabstimmung, -en;ballot (strike ballot);загальне опитування членів профспілки (голосування за страйк);Nach einer erfolgreichen Urabstimmung **kann der unbefristete Streik beginnen**.
die Friedenspflicht (Sg.);peace obligation;зобов'язання утримуватися від страйку (під час дії тарифної угоди);Während der Laufzeit des Tarifvertrags **gilt eine strikte Friedenspflicht**.
die Tarifvertrag, "-e;collective agreement;тарифний договір;Der Tarifvertrag **regelt die Vergütung und die Arbeitszeit der Beschäftigten**.
die Manteltarifvertrag, "-e;framework collective agreement;рамковий тарифний договір;Der Manteltarifvertrag **regelt allgemeine Arbeitsbedingungen wie den Urlaubsanspruch**.
die Lohn- und Gehaltstarifvertrag, "-e;wage and salary collective agreement;тарифна угода про оплату праці;Der Lohn- und Gehaltstarifvertrag **wird in der Regel jährlich neu ausgehandelt**.
die Tarifbindung, -en;binding force of collective agreements;зв'язаність колективним договором;Die Tarifbindung **sichert den Beschäftigten faire Arbeitsbedingungen**.
die Arbeitgeberverband, "-e;employers' association;об'єднання роботодавців;Der Arbeitgeberverband **vertritt die Interessen der Mitgliedsbetriebe**.
die Gewerkschaftsmitglied, -er;union member;член профспілки;Als Gewerkschaftsmitglied **erhält man bei Streik ein Streikgeld**.
die Streikgeld, -er;strike pay;допомога страйкарям (з фонду профспілки);Das Streikgeld **gleicht den Lohnausfall während des Streiks teilweise aus**.
die Lohnausfall, "-e;loss of wages;втрата заробітку;Der Lohnausfall **wird bei einem legalen Streik von der Gewerkschaft abgemildert**.
die Streikbrecher, - / die Streikbrecherin, -nen;scab / strikebreaker;штрейкбрехер;Streikbrecher **stören die Solidarität der streikenden Belegschaft**.
die Notdienstvereinbarung, -en;emergency service agreement;угода про чергові служби (під час страйку);Eine Notdienstvereinbarung **sichert die Notversorgung im Gesundheitswesen ab**.
die Notdienst, -e;emergency service;чергова (аварійна) служба;Der Notdienst **muss auch während des Streiks aufrechterhalten werden**.
die Streikposten, -;picket / striker on picket duty;пікетник (черговий страйкар біля входу);Die Streikposten **standen vor den Toren des Betriebsgeländes**.
die Streikleitung, -en;strike committee;керівництво страйком;Die Streikleitung **koordiniert die Aktionen der streikenden Arbeitnehmer**.
die Streikaufruf, -e;strike call;заклик до страйку;Die Gewerkschaft **hat einen Streikaufruf für das nächste Wochenende veröffentlicht**.
die Schlichtungsempfehlung, -en;arbitration recommendation;рекомендація примирювальної комісії;Die Schlichtungsempfehlung **wurde von den Konfliktparteien angenommen**.
die Schiedsgericht, -e;arbitration court / tribunal;арбітражний суд;Das Schiedsgericht **entscheidet über Streitigkeiten aus dem Tarifvertrag**.
die Schiedsspruch, "-e;arbitration award;арбітражне рішення;Der Schiedsspruch **ist für beide Seiten bindend und beendet den Tarifkonflikt**.
