#separator:;
#html:true
#columns:German;English;Ukrainian;Example
das Rohmaterial, -ien;raw material;сировина;Die Preise für Rohmaterialien **hängen eng mit der weltweiten Konjunktur zusammen**.
sorgen für (+ Akk.) (sorgt, sorgte, hat gesorgt);to ensure, to take care of;піклуватися про, забезпечувати;Eine ergonomische Arbeitsplatzausstattung **sorgt für den Erhalt der Leistungsfähigkeit**.
das Steuerbüro, -s;tax consultancy/office;податкове бюро;Das Steuerbüro **ist für die Einreichung unserer jährlichen Steuererklärung zuständig**.
die Umweltpolitik (Sg.);environmental policy;екологічна політика;Die betriebliche Umweltpolitik **strebt eine Reduzierung der CO2-Emissionen an**.
vertraut sein mit (+ Dat.) (ist, war, ist gewesen);to be familiar with;бути обізнаним з;Als Kältetechniker **bin ich bestens mit der F-Gase-Verordnung vertraut**.
der Zeichentisch, -e;drawing board, drafting table;креслярський стіл;Der Entwurf wurde am Zeichentisch erstellt, **musste jedoch verworfen werden**.
die Zollbestimmung, -en;customs regulation;митне правило;Die Spedition **übernimmt die Haftung für die Einhaltung aller Zollbestimmungen**.
Angebote einholen (holt ein, holte ein, hat eingeholt);to get/obtain quotes;отримувати пропозиції (цінові);Wir müssen Angebote von mehreren Dienstleistungsfirmen <b>einholen, um Preise zu vergleichen</b>.
der Ansprechpartner, - / die Ansprechpartnerin, -nen;contact person;контактна особа;<b>Frau Becker steht Ihnen als Ansprechpartnerin für Kundenreklamationen zur Verfügung</b>.
jdn. auffordern (fordert auf, forderte auf, hat aufgefordert);to request, to ask;закликати, вимагати;Der Abteilungsleiter **fordert die Mitarbeiter auf, die Stundenzettel einzureichen**.
aufmerksam machen auf (+ Akk.) (macht, machte, hat gemacht);to draw attention to;звертати увагу на;Der Sicherheitsbeauftragte **macht uns auf eine potenzielle Gefahrenquelle aufmerksam**.
die Auftragsvergabe, -n;award of contract, order placement;розміщення замовлення, укладання контракту;Bei der Auftragsvergabe **müssen wir Rücksicht auf die Umweltzertifikate der Partner nehmen**.
etw. ausrichten (richtet aus, richtete aus, hat ausgerichtet);to pass on (a message);передавати (повідомлення);Könnten Sie dem Meister bitte ausrichten, dass **die Hebebühne wieder einsatzbereit ist**?
etw. entgegennehmen (nimmt entgegen, nahm entgegen, hat entgegengenommen);to receive, to accept;приймати (замовлення, дзвінок);Wir können die Ware nur unter dem Vorbehalt einer Qualitätsprüfung <b>entgegennehmen</b>.
entscheidend;crucial, decisive;вирішальний;Eine offene Feedbackkultur **ist ein entscheidender Faktor für ein gutes Betriebsklima**.
jdn. hinweisen auf (+ Akk.) (weist hin, wies hin, hat hingewiesen);to point out to;вказувати комусь на щось;Darf ich Sie **auf die gesetzlichen Regelungen zum Kündigungsschutz hinweisen**?
das Kriterium, Kriterien;criterion;критерій;Die Einhaltung der Hygiene-Richtlinien **ist ein wichtiges Kriterium beim Audit**.
die Lieferfrist, -en;delivery deadline, time for delivery;термін доставки;Wir bitten Sie, **die vertraglich vereinbarte Lieferfrist streng einzuhalten**.
maßgeblich;significant, decisive;визначальний, істотний;Die Entscheidung des Betriebsrats **hat den Ablauf des Projekts maßgeblich beeinflusst**.
die Prokura (Sg.);commercial power of attorney;довіреність (на право підпису);Der kaufmännische Leiter **verfügt über Prokura und darf Verträge unterzeichnen**.
das Türschloss, "-er;door lock;дверний замок;Wir müssen das defekte Türschloss am Erste-Hilfe-Raum **umgehend austauschen**.
verbinden mit (+ Dat.) (verbindet, verband, hat verbunden);to connect with;з'єднувати з;Könnten Sie mich bitte **mit dem zuständigen Personalverantwortlichen verbinden**?
verbindlich;binding, obligatory;обов'язковий (до виконання), зобов'язуючий;<b>Ich bitte Sie, uns ein verbindliches Angebot bis zum Stichtag zuzuschicken</b>.
jdn. verweisen auf (+ Akk.) (verweist, verwies, hat verwiesen);to refer to;відсилати до (когось/чогось);Bei rechtlichen Fragen **verweisen wir die Beschäftigten auf die Rechtsberatung**.
die Lieferbereitschaft (Sg.);readiness to deliver / service level;готовність до поставки (рівень сервісу);Eine kontinuierliche Lieferbereitschaft **sichert unsere Wettbewerbsfähigkeit ab**.
die Lieferfähigkeit (Sg.);ability to deliver / delivery capability;здатність поставляти (товари);Die Gewährleistung der Lieferfähigkeit **steht im Mittelpunkt unserer Logistikplanung**.
die Liefertreue (Sg.);delivery reliability / adherence to delivery dates;дотримання термінів поставки (пунктуальність постачальника);Wir legen großen Wert auf die Liefertreue, **um Ausfallzeiten im Werk zu vermeiden**.
die Lieferkonditionen (Pl.);delivery terms;умови поставки;Die Lieferkonditionen **wurden schriftlich im Kaufvertrag vereinbart**.
die Liefermenge, -n;delivery quantity;обсяг поставки;Eine Abweichung der Liefermenge **muss sofort im Übergabeprotokoll vermerkt werden**.
die Lieferschein, -e;delivery note;накладна на поставку (документ);Bitte überprüfen Sie die Lieferung **und zeichnen Sie den Lieferschein ab**.
die Wareneingang (Sg.);goods receipt;приймання товару (відділ або процес);Die Qualitätskontrolle **prüft alle Sendungen direkt am Wareneingang**.
die Warenausgang (Sg.);goods issue / dispatch;відпуск товару (відділ або процес);Die Spedition **übernimmt die Ware direkt am Warenausgang des Lagers**.
die Verpackungsmaterial, -ien;packaging material;пакувальний матеріал;Wir nutzen umweltfreundliches Verpackungsmaterial, **um Abfall zu vermeiden**.
die Ladungssicherung (Sg.);cargo securing / load securing;кріплення вантажу (безпека при транспортуванні);Eine mangelhafte Ladungssicherung **stellt ein hohes Sicherheitsrisiko dar**.
die Transportmittel, -;means of transport;транспортний засіб (для перевезення вантажів);Die Wahl der Transportmittel **hängt eng mit den Transportkosten zusammen**.
die Transportversicherung, -en;transit insurance / transport insurance;страхування вантажу (при транспортуванні);Die Transportversicherung **übernimmt die Haftung bei Schäden während des Transports**.
die Gefahrengut, "-er;hazardous goods / dangerous goods;небезпечний вантаж;Der Transport von Gefahrengut **unterliegt strengen gesetzlichen Rechtsnormen**.
die Gefahrgutverordnung (Sg.);dangerous goods regulation;правила перевезення небезпечних вантажів;Die Gefahrgutverordnung **schreibt das Tragen spezieller Schutzkleidung vor**.
die Sicherheitsdatenblatt, "-er;safety data sheet;паспорт безпеки речовини;Das Sicherheitsdatenblatt **muss bei der Lieferung von Gefahrengut beiliegen**.
die Gefahrstoff, -e;hazardous substance;небезпечна речовина;Der Umgang mit Gefahrstoffen **erfordert eine jährliche Sicherheitsunterweisung**.
die Gefahrstofflager, -;hazardous materials storage;склад небезпечних речовин;Der Zutritt zum Gefahrstofflager **ist nur befugten Fachkräften gestattet**.
die Auffangwanne, -n;drip tray / retention basin;піддон (для збору витоків хімікатів);Die Auffangwannen **müssen regelmäßig auf Dichtheit geprüft werden**.
die Löschwasserrückhaltung (Sg.);firewater retention;утримання води для гасіння пожежі (екологічний захист);Die Löschwasserrückhaltung **verhindert das Kontaminieren des Grundwassers**.
die Gewässerschutz (Sg.);water protection;охорона водних ресурсів;Die Einhaltung der Vorschriften zum Gewässerschutz **wird streng kontrolliert**.
die Bodenschutz (Sg.);soil protection;охорона ґрунтів;Der Bodenschutz **ist ein wichtiger Aspekt bei der Gefahrenanalyse im Werk**.
die Altlasten (Pl.);contaminated sites / legacy waste;минуле екологічне засмічення (забруднені ділянки ґрунту);Die Beseitigung der Altlasten **verursachte erhebliche Instandsetzungskosten**.
die Sanierungsmaßnahme, -n;remediation measure / cleanup;заходи з екологічної санації (очищення);Die Sanierungsmaßnahmen **wurden mit der Umweltbehörde abgesprochen**.
die Sanierungsplan, "-e;remediation plan;план санації (очищення або фінансового оздоровлення);Der Sanierungsplan **wurde vom Gutachter auf Plausibilität geprüft**.
die Sanierungsvereinbarung, -en;remediation agreement;угода про санацію;Die Sanierungsvereinbarung **beinhaltet finanzielle Zuschüsse des Landes**.
die Umweltbehörde, -n;environmental authority;екологічне відомство;Die Umweltbehörde **überwacht die Einhaltung der Emissionswerte**.
die Immissionsschutzbehörde, -n;emission control authority;орган з контролю за шкідливими впливами (шум, викиди);Die Immissionsschutzbehörde **führt unangemeldete Kontrollen im Werk durch**.
die Gewerbeaufsichtsamt, "-er;trade supervisory office;управління з нагляду за промисловістю (охорона праці/техніка безпеки);Das Gewerbeaufsichtsamt **überprüft die Einhaltung der Arbeitszeitregelungen**.
die Arbeitsschutzbehörde, -n;occupational safety authority;орган з охорони праці;Die Arbeitsschutzbehörde **kann bei Pflichtverstößen Bußgelder verhängen**.
die Bußgeld, -er;fine;штраф (адміністративний);Ein Verstoß gegen die Brandschutzordnung **kann ein hohes Bußgeld zur Folge haben**.
die Bußgeldbescheid, -e;notice of fine;повідомлення про штраф;Der Bußgeldbescheid **wurde dem Geschäftsführer persönlich zugestellt**.
die Ordnungswidrigkeit, -en;administrative offense;адміністративне правопорушення;Das Parken auf den Rettungswegen **stellt eine Ordnungswidrigkeit dar**.
die Straftat, -en;criminal offense;кримінальний злочин;Der Diebstahl von Betriebsgeheimnissen **wurde als Straftat zur Anzeige gebracht**.
die Strafverfahren, -;criminal proceedings;кримінальне провадження;Das Strafverfahren **wird von der Staatsanwaltschaft eingeleitet**.
die Staatsanwaltschaft, -en;public prosecutor's office;прокуратура;Die Staatsanwaltschaft **ermittelt wegen des Verdachts auf Pflichtverletzung**.
die Ermittlungsverfahren, -;preliminary investigation / inquiry;слідство (процедура розслідування);Das Ermittlungsverfahren **führte zur Aufklärung der Brandursache**.
die Brandursache, -n;cause of fire;причина пожежі;Die Brandursache **wurde vom Sachverständigen im Gutachten dokumentiert**.
die Brandstiftung, -en;arson;підпал;Es besteht der Verdacht auf Brandstiftung, **daher ermittelt die Polizei**.
die Fahrlässigkeit (Sg.);negligence;необережність, халатність;Grobe Fahrlässigkeit **kann zum Verlust des Versicherungsschutzes führen**.
die Vorsatz (Sg.);intent, intention;умисел;Bei Vorsatz **übernimmt die Arbeitsunfallversicherung keine Haftung**.
die Haftungsausschluss, "-e;exclusion of liability / disclaimer;виключення відповідальності;Der Haftungsausschluss **wurde schriftlich im Vertrag festgehalten**.
die Haftungsbeschränkung, -en;limitation of liability;обмеження відповідальності;Die Haftungsbeschränkung **ist in den AGB des Dienstleisters geregelt**.
die Allgemeine Geschäftsbedingungen (AGB) (Pl.);general terms and conditions (AGB);загальні умови угоди (AGB);Mit der Unterschrift **bestätigen Sie das Einverständnis mit unseren AGB**.
die Vertragsklausel, -n;contract clause;пункт (положення) договору;Die Vertragsklausel **regelt die Kündigungsfrist im Krankheitsfall**.
die Wirksamkeit (Sg.);effectiveness / validity;дійсність, чинність (юридична);Die Wirksamkeit der Kündigung **wird vom Arbeitsgericht überprüft**.
die Unwirksamkeit (Sg.);invalidity;недійсність;Die Unwirksamkeit der Klausel **führte zur Ungültigkeit des gesamten Absatzes**.
die Sittenwidrigkeit (Sg.);immorality / contrariety to public policy;аморальність (невідповідність добрим звичаям — юридична підстава нікчемності угоди);Die Sittenwidrigkeit des Vertrages **wurde vom Richter festgestellt**.
die Nichtigkeit (Sg.);nullity / invalidity;нікчемність, недійсність (угоди);Die Nichtigkeit der Vereinbarung **tritt bei Verstößen gegen das Gesetz ein**.
die Anfechtbarkeit (Sg.);voidability / contestability;оскаржуваність (можливість оскарження правочину);Die Anfechtbarkeit des Vertrages **ergibt sich aus einer arglistigen Täuschung**.
die Täuschung, -en;deception, fraud;обман, введення в оману;Eine arglistige Täuschung **berechtigt den Arbeitgeber zur fristlosen Kündigung**.
die Irrtum, "-er;error, mistake;помилка (юридична помилка в розумінні умов);Ein Irrtum bei der Preisangabe **kann zur Anfechtung des Vertrages führen**.
die Anfechtungserklärung, -en;notice of avoidance / declaration of contestation;заява про оскарження (скасування правочину через помилку або обман);Die Anfechtungserklärung **muss unverzüglich nach Entdeckung des Irrtums erfolgen**.
die Anfechtungsfrist, -en;period for avoidance;термін оскарження;Die Anfechtungsfrist **ist gesetzlich genau geregelt**.
die Schadensersatzpflicht, -en;liability for damages;обов'язок відшкодування збитків;Die Schadensersatzpflicht **entsteht bei schuldhafter Pflichtverletzung**.
die Verschulden (Sg.);fault, culpability;вина;Ohne Verschulden des Arbeitnehmers **besteht keine Pflicht zum Schadenersatz**.
die Schuldhaftigkeit (Sg.);culpability;винуватість;Die Schuldhaftigkeit des Verhaltens **wurde im Gerichtsurteil begründet**.
die Fahrlässigkeitshaftung, -en;liability for negligence;відповідальність за необережність;Die Fahrlässigkeitshaftung **kann vertraglich nicht völlig ausgeschlossen werden**.
die Gefährdungshaftung, -en;strict liability (liability without fault);відповідальність за створення небезпеки (незалежно від вини — напр. власника авто або заводу);Die Gefährdungshaftung **gilt für Betreiber von kerntechnischen Anlagen**.
die Produkthaftung (Sg.);product liability;відповідальність за якість продукції;Die Produkthaftung **regelt die Haftung des Herstellers für fehlerhafte Produkte**.
die Produktsicherheitsgesetz (ProdSG) (Sg.);product safety act;закон про безпеку продукції;Das ProdSG **schreibt strenge Sicherheitsprüfungen vor dem Verkauf vor**.
die GS-Zeichen (geprüfte Sicherheit), -;GS mark (tested safety);знак сертифікації «безпека перевірена» (GS);Das GS-Zeichen **dient dem Verbraucher als Nachweis der geprüften Sicherheit**.
die Konformitätsbewertung, -en;conformity assessment;оцінка відповідності;Die Konformitätsbewertung **wurde durch eine akkreditierte Prüfstelle durchgeführt**.
die Akkreditierung, -en;accreditation;акредитація;Die Akkreditierung **bestätigt die Kompetenz des Labors zur Durchführung der Messungen**.
die Prüfstelle, -n;testing body / inspection authority;орган сертифікації (випробувальний центр);Die Prüfstelle **ist für die Zulassung der Kältemaschinen zuständig**.
die Sachverständigenrat, "-e;council of experts / advisory board;рада експертів;Der Sachverständigenrat **berät die Bundesregierung bei Wirtschaftsfragen**.
die Monopolkommission, -en;monopolies commission;монопольна комісія;Die Monopolkommission **überwacht die Wettbewerbssituation auf dem Markt**.
die Kartellamt (Bundeskartellamt) (Sg.);Federal Cartel Office;Федеральне відомство з картелів (антимонопольний комітет);Das Bundeskartellamt **prüft Fusionen von großen Unternehmen**.
die Fusionskontrolle, -n;merger control;контроль за злиттям підприємств;Die Fusionskontrolle **verhindert die Entstehung marktbeherrschender Stellungen**.
die marktbeherrschende Stellung;dominant market position;домінуюче становище на ринку;Eine marktbeherrschende Stellung **unterliegt der Missbrauchsaufsicht**.
die Missbrauchsaufsicht (Sg.);abuse control / supervision of abuse;нагляд за зловживанням (домінуючим становищем);Die Missbrauchsaufsicht **wird vom Bundeskartellamt durchgeführt**.
die Preismissbrauch, "-e;price abuse;зловживання цінами (завищення монополістом);Preismissbrauch **ist gesetzlich verboten und wird streng geahndet**.
die Kartellverbot, -e;ban on cartels;заборона картельних угод;Das Kartellverbot **schützt den fairen Wettbewerb auf dem Markt**.
die Preisabsprache, -n;price fixing / price agreement;цінова змова;Illegale Preisabsprachen **führten zu Millionenstrafen für die Beteiligten**.
die Bußgeldverfahren, -;fine proceedings;провадження у справі про накладення штрафу;Das Bußgeldverfahren **wurde nach der Zahlung des Geldes eingestellt**.
die Kronzeugenregelung, -en;leniency program / state's witness rule;програма пом'якшення покарання для тих, хто співпрацює зі слідством (кронцойге);Die Kronzeugenregelung **hilft bei der Aufdeckung geheimer Kartelle**.
die Kronzeuge, -n / die Kronzeugin, -nen;state's witness / chief witness;головний свідок (той, хто співпрацює зі слідством);Der Kronzeuge **erhielt Straffreiheit für seine Kooperation**.
die Straffreiheit (Sg.);immunity from prosecution;звільнення від покарання (імунітет);Die Straffreiheit **wurde im Rahmen der Kronzeugenregelung gewährt**.
die Geldbuße, -n;administrative fine;грошовий штраф;Die Geldbuße **wurde wegen Verstoßes gegen das Immissionsschutzgesetz verhängt**.
die Umsatzbezogene Geldbuße;turnover-related fine;штраф, що розраховується від обороту компанії;Eine umsatzbezogene Geldbuße **kann existenzbedrohend für den Betrieb sein**.
die existenzbedrohend;existential threat / life-threatening (for a business);такий, що загрожує існуванню бізнесу;Der Liquiditätsengpass **entwickelte sich zu einer existenzbedrohenden Krise**.
die Existenzsicherung (Sg.);securing existence / livelihood;забезпечення прожиткового мінімуму / існування;Die Existenzsicherung der Mitarbeiter **ist das oberste Ziel des Sozialplans**.
die Insolvenzgeld, -er;insolvency payments (wages paid by labor agency during insolvency);допомога по банкрутству (виплата зарплати агентством праці);Das Insolvenzgeld **sichert die Lohnfortzahlung für drei Monate ab**.
die Bundesagentur für Arbeit (BA) (Sg.);Federal Employment Agency;Федеральне агентство праці (BA);Die BA **zahlt das Insolvenzgeld im Falle einer Firmenpleite aus**.
die Firmenpleite, -n;company bankruptcy;банкрутство фірми;Die Firmenpleite **verursachte eine hohe Arbeitslosenquote in der Region**.
die Pleite, -n;bankruptcy / bust;банкрутство, крах;Nach der Pleite **musste das Handwerksunternehmen geschlossen werden**.
die Konkurs, -e;bankruptcy;банкрутство (застарілий термін, зараз Insolvenz);Der Konkurs **wurde mangels Masse nicht eröffnet**.
die Konkursverfahren, -;bankruptcy proceedings;процедура конкурсного провадження (банкрутства);Das Konkursverfahren **wurde nach dem alten Recht abgewickelt**.
die Konkursmasse, -n;bankruptcy estate;банкрутське майно;Die Konkursmasse **wurde unter den Gläubigern aufgeteilt**.
die Konkursverwalter, - / die Konkursverwalterin, -nen;receiver in bankruptcy;конкурсний керуючий;Der Konkursverwalter **versteigerte die verbliebene Ausstattung des Büros**.
die Versteigerung, -en;auction;аукціон, примусовий продаж;Die Versteigerung der Maschinen **brachte einen Erlös für die Insolvenzmasse**.
die Erlös, -e;revenue / proceeds;виручка (від продажу майна);Der Erlös aus dem Verkauf **diente der Befriedigung der Gläubiger**.
die Befriedigung (z. B. der Gläubiger) (Sg.);satisfaction (e.g. of creditors);задоволення вимог (кредиторів);Die Befriedigung der Gläubiger **erfolgt nach einer gesetzlich festgelegten Quote**.
die Insolvenzquote, -n;insolvency quota;відсоток задоволення вимог кредиторів (квота банкрутства);Die durchschnittliche Insolvenzquote **liegt in Deutschland bei unter 10 Prozent**.
die Restschuldbefreiung, -en;discharge of residual debt;звільнення від залишку боргів;Die Restschuldbefreiung **ermöglicht dem Schuldner einen wirtschaftlichen Neustart**.
die Wohlverhaltensphase, -n;good behavior period (in consumer insolvency);період належної поведінки (при банкрутстві фізичної особи);Während der Wohlverhaltensphase **muss der Schuldner seine Erwerbsobliegenheit erfüllen**.
die Erwerbsobliegenheit, -en;obligation to seek employment;обов'язок працювати (шукати роботу при банкрутстві);Die Erwerbsobliegenheit **verpflichtet den Schuldner zur aktiven Stellensuche**.
die pfändbare Einkommen;seizable income;дохід, який підлягає арешту (може бути вилучений за борги);Das pfändbare Einkommen **wird direkt an den Treuhänder abgeführt**.
die Treuhänder, - / die Treuhänderin, -nen;trustee;довірчий керуючий (ліквідатор у спрощеному провадженні);Der Treuhänder **verteilt das pfändbare Einkommen an die Gläubiger**.
die Privatinsolvenz, -en;consumer insolvency / personal bankruptcy;банкрутство фізичної особи;Eine Privatinsolvenz **bietet überschuldeten Personen einen Ausweg**.
die Überschuldung, -en;over-indebtedness;надмірна заборгованість;Die Überschuldung **war die Folge von unüberlegten Ratenzahlungen**.
die Schuldnerberatung, -en;debt counseling;консультація для боржників;Die Schuldnerberatung **unterstützt bei der Erstellung eines Schuldensanierungsplans**.
die Schuldensanierungsplan, "-e;debt restructuring plan;план реструктуризації боргів;Der Schuldensanierungsplan **bedarf der Zustimmung aller Gläubiger**.
die außergerichtliche Einigung;out-of-court settlement;позасудове врегулювання (компроміс);Eine außergerichtliche Einigung **verhindert das Einleiten des Insolvenzverfahrens**.
die Insolvenzgericht, -e;insolvency court;суд у справах про банкрутство;Das Insolvenzgericht **eröffnet das Verfahren bei Vorliegen eines Eröffnungsgrundes**.
die Eröffnungsgrund, "-e;ground for opening (insolvency);підстава для відкриття провадження (напр. неплатоспроможність);Der wichtigste Eröffnungsgrund **ist die drohende Zahlungsunfähigkeit**.
die drohende Zahlungsunfähigkeit;imminent insolvency / threatening illiquidity;загроза неплатоспроможності;Bei drohender Zahlungsunfähigkeit **kann ein Insolvenzplan vorgelegt werden**.
die Überschuldung (Sg.) (Insolvenzeröffnungsgrund für juristische Personen);over-indebtedness;надмірна заборгованість (підстава для банкрутства юр. осіб);Для акціонерних товариств **ist die Überschuldung ein zwingender Eröffnungsgrund**.
die Juristische Person, -en;legal entity / corporate body;юридична особа;Eine GmbH gilt als juristische Person **und haftet nur mit dem Gesellschaftsvermögen**.
die Gesellschaftsvermögen, -;corporate assets / company assets;майно товариства (активи компанії);Das Gesellschaftsvermögen **wird im Insolvenzfall zur Insolvenzmasse**.
die GmbH (Gesellschaft mit beschränkter Haftung), -s;limited liability company;товариство з обмеженою відповідальністю (ТОВ);Die Gründung einer GmbH **erfordert ein Mindeststammkapital von 25.000 Euro**.
die Stammkapital, -ien;share capital;статутний капітал;Das Stammkapital **muss auf das Bankkonto der Gesellschaft eingezahlt werden**.
die Mindeststammkapital (Sg.);minimum share capital;мінімальний статутний капітал;Das Mindeststammkapital **dient dem Gläubigerschutz**.
die Gläubigerschutz (Sg.);protection of creditors;захист прав кредиторів;Der Gläubigerschutz **ist ein zentrales Prinzip des deutschen Gesellschaftsrechts**.
die Gesellschaftsrecht (Sg.);corporate law / company law;корпоративне право;Das Gesellschaftsrecht **regelt die Rechte und Pflichten der Gesellschafter**.
die Gesellschaftervertrag, "-e;articles of association / partnership agreement;засновницький договір (статут);Der Gesellschaftervertrag **regelt die Vertretungsmacht der Geschäftsführer**.
die Satzung, -en;statutes / bylaws;статут (акціонерного товариства або товариства);Die Satzung **muss notariell beurkundet und im Handelsregister eingetragen werden**.
die Notarielle Beurkundung;notarial certification;нотаріальне посвідчення;Die notarielle Beurkundung **ist Voraussetzung für die Wirksamkeit der Satzung**.
die Notar, -en / die Notarin, -nen;notary;нотаріус;Der Notar **bestätigt die Identität der Gründer bei der Existenzgründung**.
die Handelsregister, -;commercial register;торговий реєстр;Der Eintrag im Handelsregister **macht die GmbH als juristische Person rechtsfähig**.
die Rechtsfähigkeit (Sg.);legal capacity;правоздатність;Die Rechtsfähigkeit **erlaubt es dem Unternehmen, Verträge unter eigenem Namen abzuschließen**.
die Geschäftsfähigkeit (Sg.);legal capacity to contract / active capacity;дієздатність;Die Geschäftsfähigkeit **tritt bei natürlichen Personen mit der Volljährigkeit ein**.
die Natürliche Person, -en;natural person / individual;фізична особа;Jeder Mensch gilt als natürliche Person **und besitzt die Rechtsfähigkeit**.
die Volljährigkeit (Sg.);majority / age of majority;повноліття;Mit dem Erreichen der Volljährigkeit **wird die unbeschränkte Geschäftsfähigkeit erworben**.
die Erwerbsfähigkeit (Sg.);earning capacity / capacity to work;працездатність;Die Erwerbsfähigkeit **kann durch Krankheiten oder Unfälle eingeschränkt werden**.
die Erwerbsminderung, -en;reduction in earning capacity;втрата (зниження) працездатності;Bei dauerhafter Erwerbsminderung **besteht Anspruch auf eine staatliche Rente**.
die Invalidität (Sg.);invalidity / disability;інвалідність;Die Invalidität **muss durch ein medizinisches Gutachten nachgewiesen werden**.
