#separator:;
#html:true
#columns:German;English;Ukrainian;Example
mangelhaft;defective, deficient;неякісний, з дефектами;Die gelieferten Ersatzteile waren mangelhaft, **folglich müssen wir sie reklamieren**.
die Nachbesserung, -en;rectification / rework;усунення недоліків (доробка);Wir verlangen eine Nachbesserung, **um die Funktionstüchtigkeit des Geräts abzusichern**.
das Ersatzgerät, -e;replacement device;підмінний пристрій;Während der Reparatur **stellt uns der Kundenservice ein kostenloses Ersatzgerät zur Verfügung**.
die Preisminderung, -en;price reduction;зниження ціни (через дефекти);Wegen der Mängel **haben wir uns mit dem Lieferanten auf eine Preisminderung geeinigt**.
vom Vertrag zurücktreten (tritt zurück, trat zurück, ist zurückgetreten);to withdraw from the contract;розірвати договір (відмовитися від виконання);Bei wiederholten Fehlern **haben wir das Recht, vom Vertrag zurückzutreten**.
die Nacherfüllung (Sg.);subsequent performance;додаткове виконання (усунення недоліків або заміна);Der Käufer **hat einen gesetzlichen Anspruch auf Nacherfüllung** bei Mängeln.
die Schadenersatz, -e;compensation for damages;відшкодування збитків;Wir werden Schadenersatz **für den erlittenen Produktionsausfall in Rechnung stellen**.
die Beweislast (Sg.);burden of proof;тягар доведення (провини/браку);Nach sechs Monaten **liegt die Beweislast beim Käufer, dass der Mangel von Anfang an bestand**.
die Mängelhaftung (Sg.);liability for defects;відповідальність за дефекти;Die gesetzliche Mängelhaftung **schützt den Käufer vor finanziellen Schäden**.
die Gewährleistungsfrist, -en;warranty period;гарантійний термін;Die Gewährleistungsfrist **beträgt für Neuanschaffungen in der Regel 24 Monate**.
die Reparatur, -en;repair;ремонт;Die Reparatur der Hebebühne **wurde vom Werkstattmeister erfolgreich durchgeführt**.
der Kostenvoranschlag, "-e;cost estimate;кошторис (оцінка витрат);Bitte **erstellen Sie uns einen Kostenvoranschlag für die anstehende Wartung**.
die Kulanz (Sg.);goodwill;добровільна поступка (куланс — лояльність без юр. зобов'язань);Der Hersteller hat das Display **auf Kulanz und ohne zusätzliche Kosten ausgetauscht**.
die Kundendienst, -e;customer service;сервісна служба;Der Kundenservice **reagierte schnell und freundlich auf unsere Mangelrüge**.
die Service-Hotline, -s;service hotline;гаряча лінія підтримки;Bei Bedienungsproblemen **können Sie sich an die Service-Hotline wenden**.
der Techniker, - / die Technikerin, -nen;technician;технік;Der Techniker **war mit der Beseitigung der Fehlfunktion beschäftigt**.
die Fehlerquelle, -n;source of error;джерело помилки;Eine systematische Analyse **hilft, die Fehlerquelle in der Elektronik zu finden**.
die Fehlerbehebung (Sg.);debugging / error resolution;усунення помилок;Die Fehlerbehebung **erfolgte ohne nennenswerte Unterbrechung der Produktion**.
die Störung, -en;disturbance, malfunction;несправність, збій, перешкода;Eine Störung am Server **führte zu Problemen beim Zeiterfassungssystem**.
der Ausfall, "-e;failure, breakdown;вихід з ладу, простій;Der Ausfall der Maschine **hatte erhebliche finanzielle Auswirkungen auf den Betrieb**.
der Produktionsausfall, "-e;production loss/stoppage;зупинка виробництва, втрата продукції;Wir verlangen Schadenersatz **für den durch die Störung verursachten Produktionsausfall**.
die Ausfallzeit, -en;downtime;час простою (коли техніка не працює);Die Minimierung der Ausfallzeiten **steht bei der Wartung im Vordergrund**.
die Wartungsarbeiten (Pl.);maintenance work;профілактичні роботи;Die Wartungsarbeiten **werden am Wochenende durchgeführt, um Störungen zu vermeiden**.
der Wartungsplan, "-e;maintenance plan;план технічного обслуговування;Der Wartungsplan **muss die gesetzlichen Richtlinien zur Unfallverhütung beachten**.
die Instandsetzung, -en;repair / reconditioning;ремонт, приведення в робочий стан;Die Instandsetzung der Hebebühne **erfordert die Sachkenntnis eines Facharbeiters**.
die Instandhaltung (Sg.);maintenance;утримання в справності, обслуговування;Die regelmäßige Instandhaltung **sichert die Tragfähigkeit der Lagerregale ab**.
die Ersatzteilbestellung, -en;spare parts order;замовлення запасних частин;Die Ersatzteilbestellung **wurde online an die Vertriebsabteilung gesendet**.
die Lieferbarkeit (Sg.);availability (for delivery);наявність для поставки;Bitte überprüfen Sie **die Lieferbarkeit der Ersatzteile im System**.
der Lagerbestand, "-e;stock, inventory;запас на складі;Der Lagerbestand **wird kontinuierlich durch das ERP-System überwacht**.
die Nachlieferung, -en;subsequent delivery;допоставка (того, чого не вистачало);Wir bitten um eine schnelle Nachlieferung **der fehlenden Montageschrauben**.
die Fehllieferung, -en;wrong delivery;помилкова поставка;Die Fehllieferung **wurde vom Wareneingang schriftlich reklamiert**.
die Falschlieferung, -en;incorrect delivery;поставка не того товару;Bei der Falschlieferung **handelt es sich um ein Qualitätsproblem beim Absender**.
die Minderlieferung, -en;short delivery;недопоставка;Eine Minderlieferung **muss sofort im Übergabeprotokoll dokumentiert werden**.
die Mehrlieferung, -en;excess delivery;надлишкова поставка;Die Mehrlieferung **wurde dem Lieferanten zur Abholung gemeldet**.
die Rücksendung, -en;return shipment;повернення товару (відправка назад);Die Rücksendung der defekten Ware **erfolgt auf Kosten des Herstellers**.
das Rücksendeetikett, -en;return label;етикетка для повернення;Das Rücksendeetikett **steht dem Kunden im Service-Portal zum Download bereit**.
die Retoure, -n;return, returned goods;повернення (товар, який повернули);Das Beschwerdemanagement **bearbeitet die Retouren innerhalb von drei Werktagen**.
der Retourenschein, -e;return slip;бланк повернення;Bitte **legen Sie den ausgefüllten Retourenschein dem Paket bei**.
die Gutschrift, -en;credit note / credit;кредит-нота (документ про зарахування грошей на рахунок);Die Gutschrift für die Retoure **wird auf Ihr Bankkonto überwiesen**.
die Rückerstattung, -en;refund;повернення грошей;Nach der Stornierung **erfolgt die Rückerstattung der Anzahlung auf Kulanz**.
die Preiserstattung, -en;refund of price;повернення вартості;Der Kunde **hat Anspruch auf eine vollständige Preiserstattung** bei Fehllieferung.
die Kaufpreisrückzahlung, -en;refund of purchase price;повернення купівельної ціни;Die Kaufpreisrückzahlung **wurde vom Buchhaltungs-System veranlasst**.
die Geldrückgabe (Sg.);money back / refund;повернення грошей;Die Geldrückgabe **erfolgt nach Überprüfung des Schadensfalls**.
die Rückgaberecht, -e;right of return;право на повернення;Laut AGB **besteht ein 14-tägiges Rückgaberecht für alle Bestellungen**.
die Widerrufsrecht, -e;right of withdrawal;право на відкликання (скасування замовлення);Das gesetzliche Widerrufsrecht **gilt bei Online-Verträgen für Verbraucher**.
die Widerrufsfrist, -en;withdrawal period;термін відкликання;Die Widerrufsfrist **erstreckt sich über 14 Tage ab Erhalt der Ware**.
die Widerrufserklärung, -en;notice of withdrawal;заява про скасування (угоди);Die Widerrufserklärung **muss schriftlich per E-Mail oder Post erfolgen**.
die Rückgabefrist, -en;return period;термін повернення;Die Rückgabefrist **wurde in den Verkaufsbedingungen genau festgelegt**.
die Kulanzregelung, -en;goodwill policy;правила надання пільг на добровільній основі;Die Kulanzregelung **sieht einen kostenlosen Austausch des Displays vor**.
die Kulanzentscheidung, -en;goodwill decision;рішення про добровільну поступку;Die Kulanzentscheidung **wurde von der Vertriebsleitung getroffen**.
die Kulanzantrag, "-e;goodwill request;запит про добровільне врегулювання (без юр. зобов'язань);Der Kundendienst **reichte einen Kulanzantrag beim Hersteller ein**.
die Kulanzweg, -e;goodwill path/route;шлях добровільного врегулювання (на основі лояльності);Das Gerät **wurde auf Kulanzweg und ohne Gewährleistung repariert**.
die Kulanzleistung, -en;goodwill gesture / ex gratia payment;послуга, надана на добровільній основі (куланс);Die Kulanzleistung **hat das Image des Unternehmens beim Kunden gerettet**.
