#separator:;
#html:true
#columns:German;English;Ukrainian;Example
empfinden (empfindet, empfand, hat empfunden);to feel, to perceive;відчувати, сприймати;Die gekündigten Mitarbeiter empfanden die Sozialauswahl als ungerecht.
entscheiden (entscheidet, entschied, hat entschieden);to decide;вирішувати;Der Aufsichtsrat hat sich endgültig gegen die Betriebsverlegung entschieden.
erheben (erhebt, erhob, hat erhoben);to raise, to levy, to collect;піднімати, збирати (дані);Das Finanzamt erhebt die Kirchensteuer direkt über die Lohnsteuerkarte.
erklingen (erklingt, erklang, ist erklungen);to sound, to ring out;звучати;Der Alarm bei einer Störung der Gasleitung ist lautstark erklungen.
erlöschen (erlischt, erlosch, ist erloschen);to go out, to expire;згасати, закінчуватися (про термін);Der arbeitsrechtliche Anspruch erlischt drei Monate nach dem Renteneintritt.
erschrecken (erschrickt, erschrak, ist erschrocken);to be frightened;лякатися;Die Belegschaft war erschrocken über die Nachricht der plötzlichen Betriebsschließung.
essen (isst, aß, hat gegessen);to eat;їсти;Wir haben während der Pause in der Werkhalle gemeinsam gegessen.
fahren (fährt, fuhr, ist/hat gefahren);to drive, to run;їхати, керувати;Der neue Dienstwagen wird ausschließlich vom Filialleiter gefahren.
fallen (fällt, fiel, ist gefallen);to fall;падати;Der Umsatz der GmbH ist im letzten Geschäftsjahr drastisch gefallen.
fangen (fängt, fing, hat gefangen);to catch;ловити;Er hat sich im Fangnetz der Hebebühne abgefangen und verletzte sich nicht.
finden (findet, fand, hat gefunden);to find;знаходити;Der Betriebsbeauftragte hat eine gute Alternative zur Materialverschwendung gefunden.
fliegen (fliegt, flog, ist/hat geflogen);to fly;літати;Der Hauptaktionär ist zur Hauptversammlung der Aktiengesellschaft geflogen.
fliehen (flieht, floh, ist geflohen);to flee, to escape;утікати, уникати;Viele Fachkräfte sind aufgrund des schlechten Betriebsklimas aus dem Betrieb geflohen.
fließen (fließt, floss, ist geflossen);to flow;текти;Kühlwasser muss ungehindert durch die Leitungen der Kältemaschine fließen.
fressen (frisst, fraß, hat gefressen);to eat (animals), to consume;жерти, споживати (у великій кількості);Der Dauerbetrieb der alten Kälteanlage frisst extrem viel Strom.
frieren (friert, fror, hat/ist gefroren);to freeze;мерзнути, замерзати;Ohne funktionierende Heizung haben die Mitarbeiter im Büro gefroren.
gebären (gebärt/gebiert, gebar, hat geboren);to give birth to;народжувати;Die Idee für die Neukundengewinnung wurde beim Messegespräch geboren.
geben (gibt, gab, hat gegeben);to give;давати;Die Personalratsvorsitzende hat dem Mitarbeiter einen wertvollen Rat gegeben.
gedeihen (gedeiht, gedieh, ist gediehen);to thrive, to prosper;розвиватися, процвітати;Die Zusammenarbeit zwischen den Tarifpartnern ist in den letzten Jahren gut gediehen.
gefallen (gefällt, gefiel, hat gefallen);to please, to like;подобатися;Das neue ergonomische Design der Büros hat allen sehr gefallen.
gehen (geht, ging, ist gegangen);to go;йти, працювати (про прилад);Wegen des Streiks ging am Bahnhof gestern fast nichts mehr.
gelingen (gelingt, gelang, ist gelungen);to succeed;вдаватися;Es ist uns gelungen, eine einvernehmliche Lösung im Tarifkonflikt zu erzielen.
gelten (gilt, galt, hat gegolten);to apply, to be valid;діяти, мати силу;Die Vorschriften zum Brandschutz haben schon immer auf dem gesamten Betriebsgelände gegolten.
genießen (genießt, genoss, hat genossen);to enjoy;насолоджуватися;Erfahrene Fachkräfte genießen bei der Geschäftsführung eine hohe Wertschätzung.
geschehen (geschieht, geschah, ist geschehen);to happen;відбуватися;Der Unfall in der Werkhalle ist trotz aller Sicherheitsmaßnahmen geschehen.
gewinnen (gewinnt, gewann, hat gewonnen);to win, to gain;вигравати, здобувати;Das Handwerksunternehmen hat einen wichtigen Großauftrag gewonnen.
gießen (gießt, goss, hat gegossen);to pour, to water;лити, поливати;Das Fundament für die neue Werkhalle wurde gestern erfolgreich gegossen.
gleichen (gleicht, glich, hat geglichen);to resemble, to equal;дорівнювати, бути схожим;Das Betriebsergebnis dieses Jahres gleicht fast vollständig dem des Vorjahres.
gleiten (gleitet, glitt, ist geglitten);to slide, to glide;ковзати;Die Verhandlungen glitten dank des erfahrenen Schlichters in ruhige Bahnen.
graben (gräbt, grub, hat gegraben);to dig;копати;Die Bauarbeiter haben tiefe Gräben für die neue Gasleitung gegraben.
greifen (greift, griff, hat gegriffen);to grasp, to grab, to take effect;хапати, вживати заходів;Die Lärmschutzmaßnahmen haben ab dem ersten Tag hervorragend gegriffen.
haben (hat, hatte, hat gehabt);to have;мати;Der gekündigte Mitarbeiter hat einen gesetzlichen Weiterbeschäftigungsanspruch gehabt.
halten (hält, hielt, hat gehalten);to hold, to keep;тримати, дотримуватися;Bitte halten Sie sich an die gesetzlichen Richtlinien des Mutterschutzes.
hängen (hängt, hing, hat/ist gehangen);to hang;висіти;Der Evakuierungsplan hat deutlich sichtbar an der Wand der Werkhalle gehangen.
heben (hebt, hob, hat gehoben);to lift, to raise;піднімати;Die erfolgreiche Sanierung hat das Ansehen der GmbH deutlich gehoben.
heißen (heißt, hieß, hat geheißen);to be called, to mean;називатися, означати;Das Gesetz, das uns vor Kündigungen schützt, heißt Kündigungsschutzgesetz.
helfen (hilft, half, hat geholfen);to help;допомагати;Die Berufsgenossenschaft hat dem Betrieb bei der Gefahrenanalyse geholfen.
kennen (kennt, kannte, hat gekannt);to know (people/places);знати (бути знайомим з);Der Inhaber hat die familiären Lebensumstände des Angestellten gut gekannt.
klingen (klingt, klingt, klang, hat geklungen);to sound;звучати;Die Begründung für die außerordentliche Kündigung hat unplausibel geklungen.
kneifen (kneift, kniff, hat gekniffen);to pinch, to chicken out;щипати, ухилятися;Wir dürfen vor den schwierigen Vorgaben des Arbeitsschutzes nicht kneifen.
kommen (kommt, kam, ist gekommen);to come;приходити;Aufgrund des Streiks kam es zu erheblichen Ausfallzeiten im Werk.
können (kann, konnte, hat gekannt / hat können);to be able to;вміти, могти;Wir konnten eine betriebsbedingte Kündigung im letzten Moment verhindern.
kriechen (kriecht, kroch, ist gekrochen);to crawl, to creep;повзати;Die Verhandlungen über den Sozialplan krochen wochenlang mühsam vorwärts.
laden (lädt, lud, hat geladen);to load, to charge;завантажувати, заряджати;Der Staplerfahrer hat die Paletten auf den Lkw geladen.
lassen (lässt, ließ, hat gelassen / hat lassen);to let, to leave;дозволяти, залишати;Die Geschäftsführung ließ den Entwurf des Sozialplans juristisch prüfen.
laufen (läuft, lief, ist gelaufen);to run;бігти, працювати (про програму);Die Kälteanlage ist während des gesamten Wochenendes im Dauerbetrieb gelaufen.
leiden (leidet, litt, hat gelitten);to suffer;страждати;Das Betriebsklima hat unter den ständigen Entlassungswellen stark gelitten.
leihen (leiht, lieh, hat geliehen);to lend, to borrow;позичати;Der Kollege hat mir für die Montage sein Spezialwerkzeug geliehen.
lese (liest, las, hat gelesen);to read;читати;Ich habe die Bedingungen des Arbeitsvertrags vor der Unterschrift gründlich gelesen.
liegen (liegt, lag, hat/ist gelegen);to lie, to be located;лежати, знаходитися;Das Betriebsergebnis hat deutlich über dem Existenzminimum gelegen.
lügen (lügt, log, hat gelogen);to lie, to tell a falsehood;брехати;Der Zeuge hat bei der Vernehmung zum Wegeunfall nachweislich gelogen.
meiden (meidet, mied, hat gemieden);to avoid;уникати;Wir haben den unzuverlässigen Zulieferer bei der Vergabe des Auftrags gemieden.
melken (melkt/milkt, molk/melkte, hat gemolken/gemelkt);to milk;доїти;Die Holding hat die Tochtergesellschaft finanziell völlig gemolken.
messen (misst, maß, hat gemessen);to measure;вимірювати;Der Immissionsschutzbeauftragte hat den Schallpegel der Säge gemessen.
misslingen (misslingt, misslang, ist misslungen);to fail;не вдаватися;Der Erstversuch, die neue Kältemaschine zu kalibrieren, ist misslungen.
mögen (mag, mochte, hat gemocht / hat mögen);to like;любити, хотіти;Die Belegschaft hat den alten, verständnisvollen Werkleiter sehr gemocht.
müssen (muss, musste, hat gemusst / hat müssen);to must, to have to;мусити;Wir mussten aufgrund der Dürreperiode erhebliche finanzielle Einbußen hinnehmen.
nehmen (nimmt, nimmt, nahm, hat genommen);to take;брати;Der Arbeitnehmer hat fristgerecht Abschied von seinen Kollegen genommen.
nennen (nennt, nannte, hat genannt);to name, to call;називати;Der Prüfer hat die genauen Paragrafen des Steuerrechts genannt.
pfeifen (pfeift, pfiff, hat gepfiffen);to whistle;свистіти;Die Turbine der Luftleitung hat wegen des Defekts laut gepfiffen.
preisen (preist, pries, hat gepriesen);to praise;хвалити, прославляти;Der Fachberater hat das umweltfreundliche Kältemittel auf der Messe gepriesen.
raten (rät, riet, hat geraten);to advise, to guess;радити, відгадувати;Der Rentenberater hat mir zu einer zusätzlichen Altersvorsorge geraten.
reiben (reibt, rieb, hat gerieben);to rub;терти;Der Meister rieb sich ungläubig die Augen angesichts der guten Prüfungsleistung.
reißen (reißt, riss, hat/ist gerissen);to tear, to rip;рвати, лопатися;Das Tragseil der Hebebühne ist zum Glück nicht gerissen.
reiten (reitet, ritt, ist/hat geritten);to ride (a horse);їхати верхи;Der Verkaufsleiter ritt die Welle des Erfolgs nach der erfolgreichen Messe.
rennen (rennt, rannte, ist gerannt);to run, to race;бігти, мчати;Die Mitarbeiter rannten nach dem Feueralarm sofort zum Sammelplatz.
riechen (riecht, roch, hat gerochen);to smell;пахнути, чути запах;In der gesamten Werkhalle hat es intensiv nach frischem Lack gerochen.
ringen (ringt, rang, hat gerungen);to wrestle, to struggle;боротися;Die Tarifpartner haben stundenlang um eine einvernehmliche Lösung gerungen.
rufen (ruft, rief, hat gerufen);to call;кликати, викликати;Der Sicherheitsbeauftragte hat sofort den Notfallwagen gerufen.
saugen (saugt, sog/saugte, hat gesogen/gesaugt);to suck, to vacuum;всмоктувати, пилососити;Die neue Luftreinigungsanlage hat den Feinstaub zuverlässig abgesaugt.
schaffen (schafft, schuf, hat geschaffen);to create;створювати;Die Geschäftsführung hat neue, attraktive Stellen in Teilzeit geschaffen.
scheiden (scheidet, schied, hat/ist geschieden);to separate, to divide;розділяти;Die Wege des Unternehmens und des unzuverlässigen Dienstleisters haben sich geschieden.
scheinen (scheint, schien, hat geschienen);to shine, to seem;світити, здаватися;Die Weiterbildungsmaßnahme scheint für alle Teilnehmer sehr nützlich zu sein.
schieben (schiebt, schob, hat geschoben);to push, to shove;штовхати, зсувати;Der Stichtag für die Rechnungslegung wurde nach hinten geschoben.
schießen (schießt, schoss, hat/ist geschossen);to shoot;стріляти, швидко розвиватися;Der Stromverbrauch der alten Anlage ist in die Höhe geschossen.
schlafen (schläft, schlief, hat geschlafen);to sleep;спати;Nach dem anstrengenden Schichtdienst hat die Mitarbeiterin fest geschlafen.
schlagen (schlägt, schlug, hat geschlagen);to hit, to beat;бити, перемагати;Das Überwachungssystem der Gasleitung hat wegen Druckverlusts Alarm geschlagen.
schleichen (schleicht, schlich, ist geschlichen);to sneak, to creep;крастися;Ein grober Berechnungsfehler hat sich heimlich in die Bilanz geschlichen.
schleifen (schleift, schliff, hat geschliffen);to grind, to polish;точити, шліфувати;Der Lehrling hat das Metallstück in der Werkstatt sauber geschliffen.
schließen (schließt, schloss, hat geschlossen);to close;закривати;Das Handwerksunternehmen hat einen wichtigen Kooperationsvertrag geschlossen.
schlingen (schlingt, schlang, hat geschlungen);to wind, to loop, to gulp;обвивати, петляти;Der Arbeiter schlang das Sicherheitsseil vorschriftsmäßig um den Träger.
schmeißen (schmeißt, schmiss, hat geschmissen);to throw, to chuck;кидати, викидати;Der Inhaber hat das Projekt wegen drohender Verluste komplett hingeschmissen.
schmelzen (schmelzt/schmilzt, schmolz, ist/hat geschmolzen);to melt;танути, плавитися;Durch die Fehlfunktion der Kältemaschine sind die tiefgekühlten Waren geschmolzen.
schneiden (schneidet, schnitt, hat geschnitten);to cut;різати;Er hat sich bei der Montage der Luftleitung in den Finger geschnitten.
schreiben (schreibt, schrieb, hat geschrieben);to write;писати;Der Gesetzgeber schreibt für die Kündigung zwingend die Schriftform vor.
schreien (schreit, schrie, hat geschrien);to scream, to shout;кричати;Der verletzte Arbeiter hat vor Schmerz laut geschrien.
schreiten (schreitet, schritt, ist geschritten);to stride, to step;крокувати;Die Geschäftsführung schritt zügig zur Umsetzung der Lärmschutzmaßnahmen.
schweigen (schweigt, schwieg, hat geschwiegen);to be silent;мовчати;Der Whistleblower hat trotz des enormen Drucks der Chefetage nicht geschwiegen.
schObjects (Pl.);items / elements;предмети, елементи;Die Revision hat alle wertvollen Sachgüter im Anlagevermögen registriert.
schwinden (schwindet, schwand, ist geschwunden);to disappear, to shrink;зникати, зменшуватися;Die Hoffnung auf eine einvernehmliche Einigung ist zusehends geschwunden.
schwören (schwört, schwor, hat geschworen);to swear, to vow;клястися;Der Zeuge hat vor dem Arbeitsgericht geschworen, die Wahrheit zu sagen.
sehen (sieht, sah, hat gesehen);to see;бачити;Der Steuerprüfer sah die Unregelmäßigkeiten sofort in den Buchungsbelegen.
sein (ist, war, ist gewesen);to be;бути;Das positive Betriebsergebnis ist ein großer Erfolg für die gesamte GmbH gewesen.
senden (sendet, sandte/sendete, hat gesandt/gesendet);to send;надсилати;Der Arbeitnehmer hat die Krankmeldung fristgerecht per Einschreiben gesendet.
singen (singt, sang, hat gesungen);to sing;співати;Der Firmenchor hat auf der Jubiläumsfeier ein Ständchen gesungen.
sinken (sinkt, sank, ist gesunken);to sink, to decrease;падати, знижуватися;Dank der Lärmschutzmaßnahmen є der Schallpegel in der Werkhalle gesunken.
sitzen (sitzt, saß, hat/ist gesessen);to sit;сидіти;Der Sachbearbeiter der Elterngeldstelle saß den ganzen Tag am Schreibtisch.
sollen (soll, sollte, hat gesollt / hat sollen);to should, to ought to;мусити, мати обов'язок;Wir sollten die Sicherheitsunterweisungen ernster nehmen.
spinnen (spinnt, spann, hat gesponnen);to spin, to be crazy;прясти, плести, вередувати (про техніку);Das IT-Netzwerk in der Hauptverwaltung hat gestern komplett gesponnen.
sprechen (spricht, sprach, hat gesprochen);to speak;говорити;Der Ombudsmann hat vertraulich mit dem betroffenen Whistleblower gesprochen.
springen (springt, sprang, ist gesprungen);to jump;стрибати;Die Anzahl der Bewerbungen ist nach dem Inserat sprunghaft angesprungen.
stechen (sticht, stach, hat gestochen);to sting, to prick;колоти;Ein scharfes Metallteil am Gerät hat mich in den Finger gestochen.
stehen (steht, stand, hat/ist gestanden);to stand;стояти;Die Einhaltung der Gesetze muss im Vordergrund des Unternehmens stehen.
stehlen (stiehlt, stahl, hat gestohlen);to steal;красти;Ein Unbefugter hat sensible Kundendaten aus dem Archiv gestohlen.
steigen (steigt, stieg, ist gestiegen);to rise, to climb;підніматися, зростати;Der Umsatz ist dank der erfolgreichen Messeteilnahme stark gestiegen.
sterben (stirbt, starb, ist gestorben);to die;помирати;Der alte Inhaber des Traditionsbetriebs ist im Alter von 85 Jahren gestorben.
stinken (stinkt, stank, hat gestunken);to stink;смердіти;Es hat in der Nähe der defekten Abwasserleitung stark gestunken.
stoßen (stößt, stieß, hat/ist gestoßen);to push, to bump;штовхати, наштовхуватися;Wir sind bei der Gefahrenanalyse auf mehrere Mängel gestoßen.
streichen (streicht, strich, hat gestrichen);to paint, to cancel, to delete;фарбувати, викреслювати;Der Arbeitgeber hat die freiwillige Leistungszulage vom Gehaltszettel gestrichen.
streiten (streitet, stritt, hat gestritten);to argue, to fight;сперечатися;Die Tarifpartner haben heftig über die Erhöhung des Mindestlohns gestritten.
tragen (trägt, trug, hat getragen);to carry, to wear;носить;Die GmbH hat alle Kosten für die notwendigen Schutzmaßnahmen getragen.
treffen (trifft, traf, hat getroffen);to meet, to hit, to make (a decision);зустрічати, приймати (рішення);Wir haben eine verbindliche Vereinbarung über die Gewinnbeteiligung getroffen.
treiben (treibt, trieb, hat/ist getrieben);to drive, to push;гнати, спонукати;Die Inflation trieb die Preise für Rohstoffe drastisch in die Höhe.
treten (tritt, trat, hat/ist getreten);to step, to kick;ступати, наступати;Die neue Brandschutzverordnung ist am 1. Januar in Kraft getreten.
trinken (trinkt, trank, hat getrunken);to drink;пити;Während der Hitzewelle haben die Arbeiter in der Werkhalle viel Wasser getrunken.
tun (tut, tat, hat getan);to do;робити;Der Inhaber hat alles getan, um den drohenden Stellenabbau zu verhindern.
verbergen (verbirgt, verborg/verbarg, hat verborgen);to hide;приховувати;Der Geschäftsführer wollte die schlechten Quartalszahlen vor den Gesellschaftern verbergen.
vergessen (vergaß, hat vergessen);to forget;забувати;Der Auszubildende hat vergessen, seinen wöchentlichen Tätigkeitsbericht abzugeben.
vergleichen (vergleicht, verglich, hat vergleichen);to compare;порівнювати;Wir haben die Anschaffungskosten der Kältemaschinen gründlich verglichen.
verlieren (verliert, verlor, hat verloren);to lose;втрачати;Der Arbeitnehmer hat durch die fristlose Kündigung seinen Abfindungsanspruch verloren.
verraten (verrät, verriet, hat verraten);to betray, to reveal;зраджувати, розголошувати;Er darf keine vertraulichen Geschäftsgeheimnisse an Konkurrenten verraten.
verzeihen (verzeiht, verzieh, hat verziehen);to forgive;вибачати;Die Geschäftsführung hat den einmaligen Pflichtverstoß großzügig verziehen.
wachsen (wächst, wuchs, ist gewachsen);to grow;рости;Unser mittelständischer Betrieb ist in den letzten Jahren stetig gewachsen.
waschen (wäscht, wusch, hat gewaschen);to wash;мити, прати;Die Arbeitskleidung muss regelmäßig bei hohen Temperaturen gewaschen werden.
weichen (weicht, wich, ist gewichen);to yield, to give way;відступати, поступатися;Das veraltete System musste einer modernen Cloud-Lösung weichen.
weisen (weist, wies, hat gewiesen);to point, to show;показувати, вказувати;Der Bericht wies eindeutig auf Mängel bei der Einhaltung der Brandschutzordnung hin.
wenden (wenden, wendete/wandte, hat gewendet/gewandt);to turn;повертати, звертатися;Bei arbeitsrechtlichen Streitigkeiten wendet man sich am besten an einen Anwalt.
werben (wirbt, warb, hat geworben);to advertise, to recruit;рекламувати, вербувати;Die Firma wirbt auf der Bildungsmesse intensiv um neue Auszubildende.
werden (wird, wurde, ist geworden);to become;ставати;Die Einhaltung der Umweltrichtlinien ist zu einem zentralen Thema geworden.
werfen (wirft, warf, hat geworben);to throw;кидати;Der Vorwurf der Scheinselbstständigkeit warf viele rechtliche Fragen auf.
wiegen (wiegt, wog, hat gewogen);to weigh;важити;Das Paket mit den Ersatzteilen für das Aggregat hat über 20 Kilogramm gewogen.
winden (windet, wand, hat gewunden);to wind, to twist;витися, плести;Der Kabelkanal windet sich entlang der gesamten Wand der Werkhalle.
wissen (weiß, wusste, hat gewusst);to know (facts);знати (факти);Der Sicherheitsbeauftragte hat genau gewusst, wo sich die Feuerlöscher befinden.
wollen (will, wollte, hat gewollt / hat wollen);to want;хотіти;Die Belegschaft wollte den angekündigten Personalabbau nicht stillschweigend hinnehmen.
ziehen (zieht, zog, hat/ist gezogen);to pull, to drag;тягнути;Der Arbeitnehmer hat die Kündigungsschutzklage vor dem Arbeitsgericht zurückgezogen.
zwingen (zwingt, zwang, hat gezwungen);to force;Die prekäre Finanzlage hat die GmbH zur Einleitung der Insolvenz gezwungen.
