#separator:;
#html:true
#columns:German;English;Ukrainian;Example
etw. analysieren;to analyze;аналізувати;Wir müssen die Ursachen des Betriebsunfalls **gemeinsam im Team analysieren**.
etw. bearbeiten (bearbeitet, bearbeitete, hat bearbeitet);to process, to edit;обробляти;Die Personalabteilung **muss den Antrag auf Elternzeit unverzüglich bearbeiten**.
jdn./etw. befördern (befördert, beförderte, hat befördert);to promote, to transport;підвищувати (на посаді), перевозити;Er wurde wegen seiner hervorragenden Leistungen **zum Vorarbeiter befördert**.
jdn./etw. betreuen (betreut, betreute, hat betreut);to support, to manage;обслуговувати, супроводжувати;Unsere Fachkräfte **betreuen die Kunden auch nach dem Kauf der Anlage**.
die Branche, -n;industry, sector;галузь;In dieser Branche **ist eine flexible Anpassung an die Marktbedingungen üblich**.
die Gastronomie (Sg.);gastronomy, catering;гастрономія;In der Gastronomie **gelten sehr strenge Regeln bezüglich der Hygiene**.
etw. gestalten (gestaltet, gestaltete, hat gestaltet);to design, to shape;оформляти, організовувати;Wir müssen den Arbeitsplatz **nach den neuesten ergonomischen Erkenntnissen gestalten**.
das Handwerk (Sg.);craft, trade;ремесло;Das Handwerk **spielt eine tragende Rolle in der mittelständischen Wirtschaft**.
die IT-Branche (Sg.);IT industry;ІТ-галузь;Die IT-Branche **beschäftigt eine wachsende Zahl an qualifizierten Fachkräften**.
etw. konstruieren (konstruiert, konstruierte, hat konstruiert);to construct, to design;конструювати;Die Ingenieure **konnten eine extrem leise Kältemaschine konstruieren**.
etw. kontrollieren (kontrolliert, kontrollierte, hat kontrolliert);to control, to check;контролювати;Der Sicherheitsmitarbeiter **muss die Einhaltung der Brandschutzordnung kontrollieren**.
Kunden bedienen (bedient, bediente, hat bedient);to serve customers;обслуговувати клієнтів;Unsere Verkäufer **sind angewiesen, alle Kunden stets freundlich zu bedienen**.
der Kundenberater, - / die Kundenberaterin, -nen;customer advisor;консультант/-ка клієнтів;Der Kundenberater **macht dem Interessenten ein faires und unverbindliches Angebot**.
das Labor, -e;laboratory;лабораторія;Im Labor **werden die Materialproben einer genauen Qualitätsprüfung unterzogen**.
der Lagerist, -en / die Lageristin, -nen;warehouse clerk;працівник/-ця складу;Der Lagerist **ist für die Annahme und Kontrolle der Lieferungen zuständig**.
der Tierpfleger, - / die Tierpflegerin, -nen;animal keeper;доглядач/-ка за тваринами;Als Tierpfleger **trägt man eine hohe Verantwortung für das Tierwohl**.
Transport und Logistik (Sg.);transport and logistics;транспорт і логістика;Die Ausbildung im Bereich Transport und Logistik **bietet gute Zukunftsperspektiven**.
der Vertriebsweg, -e;distribution channel;канал збуту;Wir müssen einen neuen Vertriebsweg **für die Vermarktung unserer Dienstleistungen finden**.
Waren bestellen (bestellt, bestellte, hat bestellt);to order goods;замовляти товари;Die Einkaufsabteilung **muss dringend neue Schutzausrüstung bestellen**.
Wissenschaft und Forschung (Sg.);science and research;наука та дослідження;Unser Betrieb **arbeitet eng mit Einrichtungen für Wissenschaft und Forschung zusammen**.
etw. zu|bereiten (bereitet zu, bereitete zu, hat zubereitet);to prepare (food);готувати (їжу);Der Küchenhelfer **muss die Zutaten für das Mittagessen in der Kantine zubereiten**.
etw. zu|stellen (stellt zu, stellte zu, hat zugestellt);to deliver, to serve;доставляти;Die Post **konnte die Abmahnung des Arbeitgebers gestern nicht zustellen**.
die Bequemlichkeit, -en;convenience;зручність;Die Bequemlichkeit der Gleitzeit **wird von der gesamten Belegschaft sehr geschätzt**.
der CO2-Ausstoß (Sg.);CO2 emission;викид CO2;Die Verringerung des CO2-Ausstoßes **leistet einen wichtigen Beitrag zum Umweltschutz**.
der Händler, - / die Händlerin, -nen;dealer, vendor;торговець/-ка;Der Händler **konnte uns einen Rabatt auf die Anschaffungskosten einräumen**.
die Lagerhalle, -n;warehouse;складська будівля;In der Lagerhalle **muss eine ausreichende Belüftung der Arbeitsplätze gewährleistet sein**.
die Online-Plattform, -en;online platform;онлайн-платформа;Über die Online-Plattform **können Mitarbeiter ihre Urlaubstage digital beantragen**.
der Sonderwunsch, "-e;special request;особливе побажання;Die Geschäftsführung **ging auf jeden Sonderwunsch des Betriebsrats ein**.
