#separator:;
#html:true
#columns:German;English;Ukrainian;Example
das Netz, -e;network;мережа;Im gesamten Werk **ist die Netzabdeckung für den Mobilfunk gewährleistet**.
optimal;optimal;оптимальний;Eine ergonomische Ausstattung **bietet optimale Bedingungen für ein gesundes Arbeiten**.
profitieren von (+ Dat.) (profitiert, profitierte, hat profitiert);to profit from;отримувати вигоду;Die Beschäftigten **profitieren von den Regelungen des neuen Tarifvertrags**.
etw. sperren (sperrt, sperrte, hat gesperrt);to block, to lock;блокувати;Der Inhaber **musste das Konto des ehemaligen Mitarbeiters aus Sicherheitsgründen sperren**.
der Tarif, -e;tariff;тариф;Der Tarif **sieht eine finanzielle Besserstellung der Fachkräfte im Betrieb vor**.
etw. verschicken (verschickt, verschickte, hat verschickt);to send;відправляти;Die Personalabteilung **wird das Arbeitszeugnis heute per Post verschicken**.
der Vertrag, "-e;contract;контракт, договір;Der schriftliche Arbeitsvertrag **muss vor dem Arbeitsbeginn unterzeichnet werden**.
die Vertragslaufzeit, -en;contract duration;термін дії договору;Die Vertragslaufzeit **für den Wartungsvertrag beträgt ein Jahr**.
etw. zu|stellen (stellt zu, stellte zu, hat zugestellt);to deliver;доставляти;Der Postbote **konnte den Brief mit dem Kündigungsschreiben nicht zustellen**.
das Angebot, -e;offer;пропозиція;Der Lieferant **hat uns ein neues Angebot für die Rohstoffe unterbreitet**.
der Auftrag, "-e;order, assignment;замовлення, доручення;Der Handwerksbetrieb **hat den Auftrag zur Modernisierung der Werkhalle erhalten**.
der Ausdruck, -e;printout;роздруківка;Bitte **legen Sie mir einen Ausdruck des Ergebnisprotokolls auf den Schreibtisch**.
sich binden an (+ Akk.) (bindet sich, band sich, hat sich gebunden);to commit oneself to;зв'язувати себе зобов'язаннями;Durch den Vertrag **bindet sich das Familienunternehmen langfristig an den Lieferanten**.
brutto;gross;брутто (без вирахування податків);Das Bruttogehalt **wurde im Arbeitsvertrag schriftlich vereinbart**.
einverstanden;agreed;згодний;Die Geschäftsführung **ist mit den Vorschlägen des Betriebsrats einverstanden**.
etw. empfehlen (empfiehlt, empfahl, hat empfohlen);to recommend;рекомендувати;Der Betriebsarzt **empfiehlt eine regelmäßige Pause bei sitzender Tätigkeit**.
die Erledigung, -en;completion;виконання;Der Vorarbeiter **ist für die zügige Erledigung des Auftrags verantwortlich**.
etw. erteilen (z.B. einen Auftrag) (erteilt, erteilte, hat erteilt);to grant, to give;надавати, видавати (доручення);Der Werkleiter **wird der Elektrofirma den Auftrag zur Sonderprüfung erteilen**.
der Grund, "-e;reason;причина;Der Grund **für das Zuspätkommen war der dichte Berufsverkehr am Morgen**.
die Mehrwertsteuer (Sg.);value added tax (VAT);ПДВ (податок на додану вартість);Die Rechnungsbeträge **verstehen sich zuzüglich der gesetzlichen Mehrwertsteuer**.
netto;net;нетто (після податків);Das vereinbarte Gehalt **wird am Monatsende netto auf das Konto überwiesen**.
sorgfältig;carefully;ретельно;Die Unterlagen **müssen vor der Abgabe an das Arbeitsgericht sorgfältig geprüft werden**.
die Summe, -n;sum, total;сума;Die Summe der Überstunden **muss im Berichtsheft genau dokumentiert werden**.
die Unterschrift, -en;signature;підпис;Ohne die Unterschrift des Inhabers **ist der Vertrag rechtlich ungültig**.
zahlbar;payable;до оплати;Der Rechnungsbetrag **ist innerhalb von 14 Tagen ohne Abzug zahlbar**.
zuverlässig;reliable;надійний;Unser neuer Küchenhelfer **arbeitet stets sehr gewissenhaft und zuverlässig**.
der Ärger (Sg.);anger, trouble;неприємність, гнів;Es gab großen Ärger **wegen der unzulässigen Überschreitung der Arbeitszeit**.
der Artikel, -;article;стаття, товар;Der Artikel **muss aufgrund eines Sachmangels umgehend reklamiert werden**.
beschädigt;damaged;пошкоджений;Die Ware **wurde beim Transport durch die Spedition leicht beschädigt**.
die Beschwerde, -n;complaint;скарга;Die Beschwerde **wurde direkt bei der zuständigen Aufsichtsbehörde eingereicht**.
defekt;defective;несправний;Das Notstromaggregat **ist defekt und muss repariert werden**.
dreckig;dirty;брудний;Die Arbeitskleidung **ist nach der Schicht in der Werkhalle stark dreckig**.
der Fleck, -en;stain;пляма;Der Fleck auf dem Protokoll **beeinträchtigt die Lesbarkeit des Textes nicht**.
der Mangel, -;defect, lack;недолік;Der Mangel an Fachkräften **wirkt sich negativ auf die Produktivität des Betriebs aus**.
peinlich;embarrassing;соромно;Es war dem Meister peinlich, **die Sicherheitsprüfung vergessen zu haben**.
die Reklamation, -en;reclamation, claim;рекламація, претензія;Die Reklamation **wird von unserer Qualitätsabteilung sorgfältig geprüft**.
unvollständig;incomplete;неповний;Die eingereichten Unterlagen **sind leider unvollständig und müssen ergänzt werden**.
der Vorschlag, "-e;suggestion;пропозиція;Der Vorschlag des Betriebsrats **sieht eine Erhöhung der Urlaubstage vor**.
etw. zerbrechen (zerbricht, zerbrach, hat zerbrochen);to break;розбивати;Der Transporteur **hat das empfindliche Messgerät beim Abladen zerbrochen**.
etw. zerkratzen (zerkratzt, zerkratzte, hat zerkratzt);to scratch;подряпати;Man sollte darauf achten, **die Oberfläche der Kältemaschine nicht zu zerkratzen**.
etw. zerreißen (zerriss, hat zerrissen);to tear;розривати;Der wütende Mitarbeiter **hat das Abmahnungsschreiben vor den Augen des Meisters zerrissen**.
jdn. ausreden lassen (lässt ausreden, ließ ausreden, hat ausreden lassen);to let someone finish speaking;давати комусь договорити;Bei Besprechungen **sollte man die anderen Teilnehmer stets ausreden lassen**.
die Bedeutung, -en;meaning;значення;Arbeitsschutz **ist für das Wohlbefinden der Belegschaft von großer Bedeutung**.
die Erwartung, -en;expectation;очікування;Die Einnahmen des Familienunternehmens **haben alle Erwartungen übertroffen**.
etw. klären (klärt, klärte, hat geklärt);to clarify;з'ясовувати;Wir müssen den Vorfall **unverzüglich im gemeinsamen Gespräch klären**.
konkurrenzfähig;competitive;конкурентоспроможний;Um konkurrenzfähig zu bleiben, **müssen wir in neue Anlagen investieren**.
sich etw. leisten können (kann sich leisten, konnte sich leisten, hat sich leisten können);to be able to afford;могти собі дозволити;Der Betrieb **kann es sich nicht leisten, qualifizierte Fachkräfte zu verlieren**.
einen Preisnachlass gewähren (gewährt, gewährte, hat gewährt);to grant a discount;надавати знижку;Der Händler **wollte uns wegen der Mängel einen Preisnachlass gewähren**.
treu bleiben (bleibt treu, blieb treu, ist treu geblieben);to stay loyal;залишатися вірним;Unsere Kunden **bleiben uns treu, weil wir für fehlerfreie Qualität garantieren**.
unzufrieden;dissatisfied;незадоволений;Die Belegschaft **ist unzufrieden mit der Regelung zur Wochenendarbeit**.
vereinbart;agreed;узгоджений;Die Übergabe der Dokumente **erfolgte zum vereinbarten Stichtag**.
sich etw. vor|stellen (stellt sich vor, stellte sich vor, hat sich vorgestellt);to imagine;уявляти;Ich kann mir vorstellen, **mich in diesem Bereich beruflich weiterzubilden**.
