#separator:;
#html:true
#columns:German;English;Ukrainian;Example
das Gesundheitswesen (Sg.);healthcare system;система охорони здоров'я;Im Gesundheitswesen **muss man strenge Richtlinien zur Hygiene und Sicherheit einhalten**.
die Gleitzeit (Sg.);flextime, flexible working hours;гнучкий графік роботи;Die Einführung der Gleitzeit **hat zu einer besseren Vereinbarkeit von Beruf und Familie geführt**.
der Handel (Sg.);trade, commerce;торгівля;Der Handel mit landwirtschaftlichen Produkten **steht im Zusammenhang mit dem Klimawandel**.
das Handwerk (Sg.);craft, trade;ремесло;Im Handwerk **legen Meister großen Wert auf** die traditionelle und präzise Ausbildung.
hervorgehen aus (+ Dat.) (geht hervor, ging hervor, ist hervorgegangen);to emerge from, to follow from;випливати з, походити з;<b>Aus den Daten geht hervor, dass</b> viele Betriebe unter Fachkräftemangel leiden.
das Homeoffice (Sg.);home office, working from home;робота з дому;Die Arbeit im Homeoffice <b>setzt voraus, dass man sich selbst gut organisieren kann</b>.
Hotel und Gastronomie (Sg.);hotel and catering industry;готельно-ресторанна сфера;<b>Ich freue mich über</b> Ihre Anfrage bezüglich einer Stelle im Bereich Hotel und Gastronomie.
die IT-Branche (Sg.);IT industry;ІТ-галузь;In der IT-Branche <b>wecken innovative Technologien immer wieder großes Interesse</b> bei Investoren.
kaufmännisch;commercial, business;комерційний, торговельний;Für die kaufmännische Abwicklung der Aufträge ist Herr Duda **zuständig**.
die Konjunktur (Sg.);economic situation, boom;економічна ситуація, кон'юнктура;Die schwache Konjunktur **hat negative Auswirkungen auf die wirtschaftliche Entwicklung** des Betriebs.
die Lagerlogistik (Sg.);warehouse logistics;складська логістика;Ein funktionierendes System in der Lagerlogistik **trägt zur Energieeinsparung bei**.
die Land- und Forstwirtschaft (Sg.);agriculture and forestry;сільське та лісове господарство;<b>Aufgrund von</b> Dürreperioden leidet die Land- und Forstwirtschaft unter Ernteausfällen.
etw. nahelegen (legt nahe, legte nahe, hat nahegelegt);to suggest (e.g., a conclusion);наводити на думку, підказувати;Die vorliegenden Ergebnisse <b>legen den Schluss nahe, dass</b> wir die Abläufe optimieren müssen.
das Pflegeheim, -e;nursing home;будинок престарілих;Die Leitung des Pflegeheims **übernimmt die Verantwortung für das Wohl** der Bewohner.
produzierendes Gewerbe;manufacturing industry;виробнича промисловість;Das produzierende Gewerbe ist stark **von ausländischen Rohstofflieferungen abhängig**.
die Reservierung, -en;reservation;бронювання;Können Sie bitte meine Reservierung **im System überprüfen**?
die Schichtarbeit (Sg.);shift work;позмінна робота;Schichtarbeit **kann zu einer hohen physischen Belastung für die Mitarbeiter führen**.
der Server, -;server;сервер;Der IT-Spezialist ist **mit der Konfiguration des neuen Cloud-Servers beschäftigt**.
sozialversicherungspflichtig;subject to social security contributions;який підлягає соціальному страхуванню;Die Agentur versucht, Arbeitslose in eine <b>sozialversicherungspflichtige Beschäftigung zu vermitteln</b>.
stabil;stable;стабільний;Wir müssen das System stabilisieren, um **die kontinuierliche Produktion abzusichern**.
die Teilzeit (Sg.);part-time;неповний робочий день;Er hat sich dazu entschlossen, seine Arbeitszeit auf <b>Teilzeit zu reduzieren</b>.
etw. überwachen (überwacht, überwachte, hat überwacht);to monitor, to supervise;контролювати, здійснювати моніторинг;Wir müssen den Ladezustand der Batterien kontinuierlich <b>überwachen</b>.
etw. verwalten (verwaltet, verwaltete, hat verwaltet);to manage, to administer;управляти, адмініструвати;Die Personalabteilung hat die Aufgabe, die Akten aller Beschäftigten <b>zu verwalten</b>.
die Vollzeit (Sg.);full-time;повний робочий день;Sie arbeitet in <b>Vollzeit</b> und **steht daher oft unter hohem Stress**.
der Vollzeitjob, -s;full-time job;робота на повний робочий день;<b>Ich bewerbe mich um einen</b> Vollzeitjob in Ihrer Entwicklungsabteilung.
etw. warten (z. B. eine Maschine) (wartet, wartete, hat gewartet);to maintain (e.g., equipment);обслуговувати технічно;Die Maschinen **müssen regelmäßig gewartet werden, um Mängel zu vermeiden**.
die Wirtschaftsbranche (Sg.);economic sector;економічна галузь;Der IT-Sektor gilt als eine sehr zukunftssichere Wirtschaftsbranche.
etw. zubereiten (bereitet zu, bereitete zu, hat zubereitet);to prepare (food);готувати (їжу);Das Küchenpersonal muss die Speisen streng **nach den Hygiene-Richtlinien zubereiten**.
die Zuverlässigkeit (Sg.);reliability;надійність;Die Zuverlässigkeit der Partner **ist entscheidend für eine dauerhafte Kooperation**.
etw./jdn. abfertigen (fertigt ab, fertigte ab, hat abgefertigt);to dispatch, to process, to handle;обслуговувати, оформляти;Die Mitarbeiter müssen Kunden an der Rezeption freundlich und zügig <b>abfertigen</b>.
die Arbeitsstätte, -n;workplace, place of work;робоче місце;Jeder Mitarbeiter ist verpflichtet, seine Arbeitsstätte **in Ordnung zu halten**.
etw. beschreiben (beschreibt, beschrieb, hat beschrieben);to describe;описувати;<b>Ich möchte Ihnen heute</b> die Abläufe in unserer Logistikabteilung **beschreiben**.
etw. betreiben (betreibt, betrieb, hat betrieben);to operate, to run;експлуатувати, керувати;Um die Website **zu betreiben**, müssen wir einen Vertrag mit AWS abschließen.
das Bodenpersonal (Sg.);ground staff;наземний персонал;Das Bodenpersonal **ist für die pünktliche Flugzeugabfertigung verantwortlich**.
der Check-in (Sg.);check-in;реєстрація;Am Check-in **kam es aufgrund eines Systemfehlers zu langen Wartezeiten**.
jdn. einstellen (stellt ein, stellte ein, hat eingestellt);to hire, to employ;наймати на роботу;Die Geschäftsführung hat beschlossen, neue Fachkräfte <b>einzustellen</b>.
der Einzelhandel (Sg.);retail;роздрібна торгівля;Im Einzelhandel **muss man flexibel auf die Wünsche der Kunden reagieren**.
etw. erweitern (erweitert, erweiterte, hat erweitert);to expand, to extend;розширювати;Wir müssen unsere Lagerkapazitäten erweitern, um **die Lieferfähigkeit abzusichern**.
der Fluglotse, -n / die Fluglotsin, -nen;air traffic controller;авіадиспетчер;Als Fluglotse **muss man in Notsituationen stets die Ruhe bewahren**.
die Flugzeugabfertigung (Sg.);aircraft handling;наземне обслуговування літаків;Die Flugzeugabfertigung **wird von einer externen Dienstleistungsfirma durchgeführt**.
die Gepäckabfertigung (Sg.);baggage handling;обробка багажу;Bei der Gepäckabfertigung **muss man auf Gefahrenquellen am Fließband achten**.
die Gewerkschaft, -en;trade union;профспілка;Die Gewerkschaft **führt Verhandlungen mit den Vertretern** der Arbeitgeber.
etw. gründen (gründet, gründete, hat gegründet);to found, to establish;засновувати;Er hat vor, ein eigenes IT-Unternehmen in Deutschland <b>zu gründen</b>.
das Handwerksunternehmen, -;craft business / construction firm;ремісниче підприємство;Das Handwerksunternehmen **stellt den Kunden ein detailliertes Angebot zur Verfügung**.
die Jobbörse, -n;job board;сайт з пошуку роботи;Ich nutze eine Online-Jobbörse, um **Kontakt mit Arbeitgebern aufzunehmen**.
der Kaufmann, "-er / die Kauffrau, -en;merchant, business professional;комерсант, бізнес-спеціаліст;Als Kaufmann ist er **für die kaufmännische Abwicklung der Projekte zuständig**.
der Logistikbetrieb, -e;logistics company;логістичне підприємство;Der Logistikbetrieb **leistet einen wichtigen Beitrag zur pünktlichen Warenlieferung**.
die Montage, -n;assembly, installation;монтаж, збірка;Die Montage der neuen IT-Anlagen **wird von Fachkräften überwacht**.
die Orientierung (Sg.);orientation;орієнтація, орієнтування;Die Jobmesse **bietet Berufseinsteigern eine gute Orientierung auf dem Markt**.
die Orientierungsphase, -n;orientation phase;фаза орієнтації;Die Orientierungsphase hilft den Auszubildenden, **sich im Betrieb zurechtzufinden**.
die Personalsuche (Sg.);recruitment;пошук персоналу;Die HR-Abteilung **hat die Verantwortung für die Personalsuche übernommen**.
der Transportbereich, -e;transport sector;транспортна сфера;Im Transportbereich **müssen strenge Sicherheitsvorschriften eingehalten werden**.
etw. verkürzen (verkürzt, verkürzte, hat verkürzt);to shorten, to reduce;скорочувати;Durch agile Prozesse konnten wir **die Fertigstellungszeit des Projekts verkürzen**.
etw. verlängern (verlängert, verlängerte, hat verlängert);to extend, to prolong;подовжувати;Wir müssen den Vertrag verlängern, um **die Zusammenarbeit fortzuführen**.
die Vermittlung, -en;placement, mediation;працевлаштування, посередництво;Die Arbeitsagentur **unterstützt die Bewerber bei der Vermittlung** in Vollzeitstellen.
der Vermittlungsgutschein, -e;placement voucher;ваучер на працевлаштування;Ich habe vom Arbeitsberater einen Vermittlungsgutschein **erhalten**.
das Viertel, -;quarter;чверть;Ein Viertel der Belegschaft **arbeitet in befristeten Arbeitsverhältnissen**.
die Werft, -en;shipyard;верф, суднобудівний завод;Die Werft **ist für den Bau und die Wartung großer Schiffe zuständig**.
zusammenarbeiten mit (+ Dat.) (arbeitet zusammen, arbeitete zusammen, hat zusammengearbeitet);to work together with;співпрацювати з;Wir wollen eng mit der Industrie- und Handelskammer **zusammenarbeiten**.
die Abrechnung, -en;billing, statement, invoice;розрахунок, звіт (фінансовий);Die Buchhaltung ist **für die monatliche Abrechnung der Gehälter zuständig**.
etw. anfordern (fordert an, forderte an, hat angefordert);to request / order;запитувати, вимагати (офіційно);<b>Wir bitten Sie, uns ein detailliertes Angebot für</b> das Hosting **zuzuschicken**.
die Aufregung (Sg.);excitement, agitation;хвилювання, збудження;Vor dem wichtigen Kundengespräch **gab es im Team eine gewisse Aufregung**.
etw. ausgleichen (gleicht aus, glich aus, hat ausgeglichen);to balance, to compensate;компенсувати, вирівнювати;Überstunden müssen durch Freizeit **ausgeglichen werden**.
die Auszeit, -en;time-out, break;перерва, тайм-аут, сабатікал;Er nimmt eine dreimonatige Auszeit, um **sich von der mentalen Belastung zu erholen**.
das Bankkonto, -en;bank account;банківський рахунок;Der Lohn wird jeden Monat direkt **auf Ihr Bankkonto überwiesen**.
beantragen (beantragt, beantragte, hat beantragt);to apply for;подавати заяву на;Ich möchte eine Verlängerung meines Urlaubs **beantragen**.
bereitstehen (steht bereit, stand bereit, hat bereitgestanden);to be ready / available;бути готовим, стояти напоготові;Die IT-Ausrüstung **steht den neuen Mitarbeitern ab morgen bereit**.
der Bildungsurlaub (Sg.);educational leave;навчальна відпустка;Ich habe Bildungsurlaub beantragt, um **an einer IHK-Schulung teilzunehmen**.
die Dauer (Sg.);duration;тривалість;Die genaue Dauer der Schulung **steht noch nicht fest**.
der Dokumentarfilm, -e;documentary film;документальний фільм;Der Dokumentarfilm **handelt von den Herausforderungen der Digitalisierung**.
etw. einreichen (reicht ein, reichte ein, hat eingereicht);to submit;подавати (документи, заяву);Sie müssen Ihre Urlaubsanträge rechtzeitig **bei der HR einreichen**.
die Erholungszeit, -en;recovery time, rest period;час для відпочинку;Ausreichende Erholungszeiten **sind wichtig für den Erhalt der Leistungsfähigkeit**.
der Kündigungsgrund, "-e;reason for termination;причина звільнення;Der wiederholte Verstoß gegen Sicherheitsvorschriften **ist ein Kündigungsgrund**.
der Lebensunterhalt (Sg.);livelihood, cost of living;засоби до існування;Viele Erwerbstätige müssen hart arbeiten, um **ihren Lebensunterhalt zu sichern**.
die Lohnfortzahlung, -en;continued payment of wages;продовження виплати заробітної плати (під час хвороби);Im Krankheitsfall **hat man einen Rechtsanspruch auf Lohnfortzahlung** für sechs Wochen.
der Mindesturlaub (Sg.);minimum leave;мінімальна відпустка;Laut Tarifvertrag **beträgt der jährliche Mindesturlaub 24 Arbeitstage**.
die Pflege (Sg.);care, nursing;догляд, обслуговування;Die Pflege von älteren Menschen **erfordert eine hohe interkulturelle Kompetenz**.
der Sonderurlaub (Sg.);special leave;спеціальна відпустка (напр. весілля, смерть родича);Zur eigenen Hochzeit **erhalten die Beschäftigten einen bezahlten Sonderurlaub**.
das Sonderurlaubsrecht, -e;special leave right;право на спеціальну відпустку;Das Sonderurlaubsrecht ist gesetzlich im Bürgerlichen Gesetzbuch geregelt.
die Spontanität (Sg.);spontaneity;спонтанність;Gleitzeit ermöglicht den Mitarbeitern **mehr Spontanität im Alltag**.
die Stornierung, -en;cancellation;скасування, анулювання;Die Stornierung des Auftrags **hatte negative finanzielle Folgen für uns**.
das Tagebuch, "-er;diary, journal;щоденник;Im Praktikum **müssen die Auszubildenden ein wöchentliches Berichtsheft führen**.
die Überstunde, -n;overtime;понаднормова година;Er hat viele Überstunden gemacht, um **die Fertigstellung des Projekts abzusichern**.
der Urlaubsanspruch, "-e;holiday entitlement;право на відпустку;Der gesetzliche Urlaubsanspruch **beträgt mindestens 20 Tage pro Jahr**.
die Urlaubsplanung, -en;holiday planning;планування відпустки;Bei der Urlaubsplanung **müssen wir Rücksicht auf die Kollegen nehmen**.
das Urlaubsrecht, -e;holiday right;право на відпустку;Das Urlaubsrecht **ist im Bundesurlaubsgesetz festgeschrieben**.
das Urlaubsziel, -e;holiday destination;місце відпочинку;Er reist in den Süden, da Spanien sein liebstes Urlaubsziel ist.
die Vertretung, -en;substitute, representation;заміна, представництво;Ich übernehme die Vertretung, **falls ein Kollege krankheitsbedingt ausfällt**.
die Vertretungsregelung, -en;substitution policy;регулювання заміщення (працівників);Eine klare Vertretungsregelung **vermeidet Missverständnisse bei Abwesenheit**.
etw. verwerfen (verwirft, verwarf, hat verworfen);to discard / reject;відкидати, відхиляти;Wir mussten den ersten Entwurf **verwerfen und neu anfangen**.
das Wohlbefinden (Sg.);well-being;самопочуття, добробут;Gute Ergonomie am Arbeitsplatz **trägt entscheidend zum Wohlbefinden bei**.
zusammenhängen mit (+ Dat.) (hängt zusammen, hing zusammen, hat zusammengehangen);to be connected with;пов'язано з;Die Verzögerungen **hängen eng mit Lieferproblemen beim Zulieferer zusammen**.
zustehen (+ Dat.) (steht zu, stand zu, hat zugestanden);to be entitled to;мати право на (щось);Dem Arbeitnehmer **steht bei Krankheit eine Lohnfortzahlung zu**.
die Absprache, -n;agreement, arrangement;домовленість;Wir müssen uns an die **getroffenen Absprachen halten**.
der Arbeitsplatz, "-e;workplace;робоче місце;Der Arbeitgeber stellt die Ausrüstung **am Arbeitsplatz zur Verfügung**.
die Arbeitszeitregelung, -en;working hours regulation;регулювання робочого часу;Die neue Arbeitszeitregelung **ist auf allgemeines Interesse gestoßen**.
der Bereitschaftsdienst, -e;on-call service;чергування (в режимі очікування);Im Bereitschaftsdienst **muss man bei Systemfehlern sofort reagieren**.
die Betriebsvereinbarung, -en;company agreement;угода між керівництвом та трудовим колективом;Die Betriebsvereinbarung **regelt die Nutzung von Homeoffice im Betrieb**.
das Kernarbeitszeit, -en;core working hours;основний робочий час (обов'язкова присутність);Während der Kernarbeitszeit **müssen alle Beschäftigten erreichbar sein**.
die Überstundenregelung, -en;overtime regulation;регулювання понаднормової роботи;Die Überstundenregelung **wurde in der Betriebsvereinbarung festgelegt**.
das Zeiterfassungssystem, -e;time tracking system;система обліку робочого часу;Wir nutzen ein digitales Zeiterfassungssystem, um **die Arbeitszeit zu überwachen**.
die Vertrauensarbeitszeit (Sg.);trust-based working hours;довірчий робочий час (без жорсткого обліку);Vertrauensarbeitszeit **setzt ein hohes Maß an Zuverlässigkeit voraus**.
das Arbeitszeitkonto, -en;working time account;рахунок робочого часу;Überstunden werden auf dem Arbeitszeitkonto gutgeschrieben.
die Schichtplanung, -en;shift planning;планування змін;Die Schichtplanung **muss die gesetzlichen Ruhezeiten berücksichtigen**.
der Schichtdienst, -e;shift duty;робота по змінах;Der Schichtdienst **ist typisch für Berufe im Gesundheitswesen**.
die Flexibilität (Sg.);flexibility;гнучкість;Gleitzeit **bietet den Mitarbeitern eine höhere Flexibilität**.
die Work-Life-Balance (Sg.);work-life-balance;баланс між роботою та особистим життям;Eine ausgewogene Work-Life-Balance **schützt vor psychischer Belastung**.
der Freizeitausgleich (Sg.);time off in lieu;компенсація вільного часу (за понаднормову роботу);Für geleistete Überstunden **wird ein Freizeitausgleich gewährt**.
die Kernzeit, -en;core hours;основний робочий час;Die Kernzeit in unserem Betrieb **geht von 10:00 bis 15:00 Uhr**.
die Rahmenarbeitszeit (Sg.);frame working hours;рамковий робочий час (в межах якого можна працювати);Die Rahmenarbeitszeit **erstreckt sich von 07:00 bis 19:00 Uhr**.
die Minusstunde, -n;undertime hour;недовідпрацьована година;Minusstunden **müssen im nächsten Monat ausgeglichen werden**.
das Guthaben, -;credit, balance;баланс, накопичений час (плюс на рахунку);Auf meinem Arbeitszeitkonto **habe ich ein Guthaben von zehn Stunden**.
die Auszahlung, -en;payout, payment;виплата;Die Auszahlung der Überstunden **kann schriftlich beantragt werden**.
die Zeitschuld (Sg.);time deficit;заборгованість по годинах;Eine hohe Zeitschuld **muss innerhalb des vereinbarten Zeitraums abgebaut werden**.
die Gleitzeitregelung, -en;flextime regulation;регулювання гнучкого графіка;Die Gleitzeitregelung **wurde mit der Gewerkschaft ausgehandelt**.
die Zeiterfassung (Sg.);time recording;облік часу;Die elektronische Zeiterfassung **verhindert Fehler bei der Gehaltsabrechnung**.
die Vertretungskraft, "-e;substitute worker;замісник, тимчасовий працівник;Wir haben eine Vertretungskraft **für die Dauer der Elternzeit eingestellt**.
die Dienstplanänderung, -en;duty roster change;зміна в графіку чергувань;Dienstplanänderungen **müssen rechtzeitig bekannt gegeben werden**.
der Urlaubsantrag, "-e;leave application;заява на відпустку;Der Urlaubsantrag **wurde vom Vorgesetzten bewilligt**.
die Urlaubssperre, -n;leave embargo / holiday ban;заборона на відпустки;Während der Hauptsaison **gilt im Betrieb eine Urlaubssperre**.
die Betriebsferien (Pl.);company holidays;загальнозаводська відпустка;Während der Betriebsferien **bleibt das gesamte Unternehmen geschlossen**.
das Resturlaub, -e;remaining leave;невикористана відпустка;Der Resturlaub **muss bis zum 31. März des Folgejahres genommen werden**.
der Urlaubsübertrag, "-e;carry-over of leave;перенесення відпустки на наступний рік;Ein Urlaubsübertrag **ist nur in Ausnahmefällen zulässig**.
die Urlaubsbescheinigung, -en;leave certificate;довідка про відпустку;Der neue Arbeitgeber **fordert eine Urlaubsbescheinigung vom bisherigen Betrieb**.
der Erholungsurlaub (Sg.);recreational leave;основна відпустка;Der Erholungsurlaub **dient dem Erhalt der Gesundheit der Beschäftigten**.
die Urlaubsabgeltung, -en;compensation in lieu of leave;грошова компенсація за невикористану відпустку;Bei Kündigung **hat man Anspruch auf eine finanzielle Urlaubsabgeltung**.
die Dienstbefreiung, -en;release from duty;звільнення від виконання службових обов'язків;Für den Arzttermin **wurde dem Mitarbeiter eine Dienstbefreiung gewährt**.
die Freistellung, -en;exemption / release from work;звільнення від роботи (із збереженням або без оплати);Die bezahlte Freistellung **dient der Vorbereitung auf die IHK-Prüfung**.
die Arbeitsbefreiung, -en;time off work;звільнення від роботи;Für private Notfälle **kann man eine kurzfristige Arbeitsbefreiung beantragen**.
der Sonderurlaubsgrund, "-e;reason for special leave;причина для надання спеціальної відпустки;Die Geburt des eigenen Kindes **ist ein gesetzlicher Sonderurlaubsgrund**.
die Bildungsmaßnahme, -n;educational measure / training;освітній захід;Die Bildungsmaßnahme **wurde mit einem Bildungsgutschein finanziert**.
die Fortbildungsvereinbarung, -en;training agreement;угода про підвищення кваліфікації;Die Fortbildungsvereinbarung **regelt die Kostenübernahme durch die Firma**.
die Rückzahlungsklausel, -n;repayment clause;положення про повернення коштів;Die Rückzahlungsklausel **tritt in Kraft, wenn der Mitarbeiter kündigt**.
die Freistellungsvereinbarung, -en;release agreement;угода про звільнення від роботи;Die Freistellungsvereinbarung **wurde im gegenseitigen Einvernehmen getroffen**.
die Umschulungsmaßnahme, -n;retraining measure;захід з перекваліфікації;Die Umschulungsmaßnahme **bietet neue Chancen auf dem Arbeitsmarkt**.
die Weiterbildungskosten (Pl.);training costs;витрати на підвищення кваліфікації;Die Weiterbildungskosten **werden in voller Höhe vom Arbeitgeber übernommen**.
