#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
der Lagerlogistiker, - / die Lagerlogistikerin, -nen;der Lagerlogistiker;warehouse logistician;спеціаліст зі складської логістики;Der Lagerlogistiker nutzt unser neues Barcode-System.
der Lehrplan, "-e;der Lehrplan;curriculum;навчальний план;Docker steht im Lehrplan meines Coding-Bootcamps.
der Pflegedienst, -e;der Pflegedienst;nursing service;служба догляду;Wir digitalisieren die Akten für einen Pflegedienst.
die Pflegeeinrichtung, -en;die Pflegeeinrichtung;care facility;заклад догляду;Die Pflegeeinrichtung braucht ein neues Netzwerk.
die Pflegekraft, "-e;die Pflegekraft;caregiver, nurse;медпрацівник, доглядальник;Die Pflegekraft nutzt Tablets für die Dokumentation.
das Pflegezertifikat, -e;das Pflegezertifikat;care certificate;сертифікат з догляду;Für medizinische Software brauchen wir spezielle Pflegezertifikate.
das Präsenzseminar, -e;das Präsenzseminar;in-person seminar;очний семінар;Ich lerne lieber online als in einem Präsenzseminar.
der Produktionshelfer, - / die Produktionshelferin, -nen;der Produktionshelfer;production assistant;помічник на виробництві;Der Produktionshelfer bedient die Maschinen.
sich qualifizieren (qualifiziert sich, qualifizierte sich, hat sich qualifiziert);sich qualifizieren;to qualify oneself;кваліфікуватися, підвищувати кваліфікацію;Ich möchte mich für die Position als Senior Developer qualifizieren.
die Sachkenntnis, -se;die Sachkenntnis;expertise, factual knowledge;експертність, професійні знання;Für dieses Architektur-Muster braucht man viel Sachkenntnis.
etw. vermitteln (vermittelt, vermittelte, hat vermittelt);vermitteln;to convey, to impart, to mediate;передавати (досвід), посередничати, працевлаштовувати;Ein guter Mentor kann komplexes Wissen gut vermitteln.
zur Verfügung stehen;zur Verfügung stehen;to be available;бути в розпорядженні, бути доступним;Der neue Server wird ab morgen zur Verfügung stehen.
die Abfallvermeidung (Sg.);die Abfallvermeidung;waste prevention;уникнення відходів;Unser Büro legt großen Wert auf digitale Abfallvermeidung.
der Anschluss, "-e;der Anschluss;connection;підключення, зв'язок;Der Internetanschluss im neuen Büro ist sehr schnell.
der Bereich, -e;der Bereich;area, field, department;відділ, сфера;Ich arbeite im Bereich Softwareentwicklung.
die Betriebsbesichtigung, -en;die Betriebsbesichtigung;company tour;екскурсія підприємством;Am ersten Tag gibt es eine Betriebsbesichtigung für neue Mitarbeiter.
das Betriebsgelände (Sg.);das Betriebsgelände;company grounds;територія підприємства;Auf dem Betriebsgelände gibt es kostenloses WLAN.
etw. einführen (führt ein, führte ein, hat eingeführt);einführen;to introduce, to implement;впроваджувати, запроваджувати;Wir werden nächste Woche ein neues CRM-System einführen.
die Energieeinsparung, -en;die Energieeinsparung;energy saving;енергозбереження;Die Energieeinsparung bei den neuen Servern ist enorm.
der Entscheidungsspielraum, "-e;der Entscheidungsspielraum;scope for decision-making;свобода прийняття рішень;In unserem Startup haben Entwickler viel Entscheidungsspielraum.
etw. eröffnen (eröffnet, eröffnete, hat eröffnet);eröffnen;to open;відкривати;Die Firma wird einen neuen Standort in Berlin eröffnen.
die Eröffnung, -en;die Eröffnung;opening;відкриття;Die Eröffnung des neuen Büros feiern wir am Freitag.
die Erschließung (Sg.) (z. B. neuer Märkte);die Erschließung;development, opening up;освоєння (наприклад, нових ринків);Die Erschließung des europäischen Marktes ist unser Ziel.
etw. erweitern (erweitert, erweiterte, hat erweitert);erweitern;to expand;розширювати;Wir müssen die Kapazität der Datenbank erweitern.
die Fertigstellung (Sg.);die Fertigstellung;completion;завершення, готовність;Die Fertigstellung des Projekts ist für Mai geplant.
die Filiale, -n;die Filiale;branch, subsidiary;філія, відділення;Die Firma eröffnet eine neue Filiale in München.
eine flache Hierarchie;eine flache Hierarchie;a flat hierarchy;плоска ієрархія (мало рівнів керівництва);Startups haben meistens eine flache Hierarchie.
das Geschäftsjahr, -e;das Geschäftsjahr;financial year;фінансовий рік;Im letzten Geschäftsjahr hat das Unternehmen den Gewinn verdoppelt.
das Gründungsdatum, -daten;das Gründungsdatum;founding date;дата заснування;Das Gründungsdatum unseres IT-Startups war im Jahr 2020.
die Hierarchie, -n;die Hierarchie;hierarchy;ієрархія;In traditionellen Konzernen gibt es oft eine strenge Hierarchie.
im Anschluss an (+ Akk.);im Anschluss an;following, subsequent to;після, услід за (чимось);Im Anschluss an das Meeting schreiben wir das Protokoll.
das Mitspracherecht, -e;das Mitspracherecht;right to have a say;право голосу;Die Entwickler haben ein Mitspracherecht bei der Technologiewahl.
nachhaltig;nachhaltig;sustainable;сталий, екологічний;Wir wollen unsere Server-Infrastruktur nachhaltig gestalten.
etw. präsentieren (präsentiert, präsentierte, hat präsentiert);präsentieren;to present;презентувати;Heute muss ich dem Kunden die neue App präsentieren.
der Pressesprecher, - / die Pressesprecherin, -nen;der Pressesprecher;press spokesperson;прес-секретар;Der Pressesprecher kündigt das neue Software-Release an.
Produkte einführen;Produkte einführen;to introduce products;впроваджувати / випускати продукти;Wir wollen dieses Jahr drei neue digitale Produkte einführen.
die Produktionsstätte, -n;die Produktionsstätte;production facility;виробниче приміщення, фабрика;Die Server-Hardware wird in einer Produktionsstätte in Asien gebaut.
der Rundgang, "-e;der Rundgang;tour (of a building);обхід, екскурсія;Der Chef macht einen Rundgang durch die IT-Abteilung.
das Sortiment, -e;das Sortiment;assortment, range of products;асортимент;Unser Sortiment umfasst verschiedene Cloud-Lösungen.
der Standort, -e;der Standort;location, site;місцезнаходження, локація;Das Unternehmen sucht einen neuen Standort für das Rechenzentrum.
die Terminbestätigung, -en;die Terminbestätigung;appointment confirmation;підтвердження зустрічі;Ich habe die Terminbestätigung für das Vorstellungsgespräch erhalten.
etw. übernehmen (übernimmt, übernahm, hat übernommen);übernehmen;to take over, to assume;переймати, брати на себе;Ich werde die Betreuung der Datenbank übernehmen.
der Umsatz, "-e;der Umsatz;revenue, turnover;оборот, виручка;Der E-Commerce-Shop macht einen sehr hohen Umsatz.
die Unternehmensgeschichte, -n;die Unternehmensgeschichte;company history;історія компанії;Die Unternehmensgeschichte begann in einer kleinen Garage.
die Verkaufsfläche, -n;die Verkaufsfläche;sales area;торгова площа;Ein Online-Shop braucht keine physische Verkaufsfläche.
das Verkaufsgespräch, -e;das Verkaufsgespräch;sales talk, sales pitch;комерційна бесіда, переговори про продаж;Der IT-Berater führt ein Verkaufsgespräch mit dem neuen Kunden.
das Zentrallager, -;das Zentrallager;central warehouse;центральний склад;Die Hardware wird vom Zentrallager aus verschickt.
das Zweigwerk, -e;das Zweigwerk;branch factory;філія заводу;Das IT-Unternehmen hat ein Zweigwerk in Osteuropa.
etw. anordnen (ordnet an, ordnete an, hat angeordnet);anordnen;to order, to arrange, to instruct;наказувати, розпоряджатися, впорядковувати;Der Vorgesetzte kann Überstunden anordnen.
das Controlling (Sg.);das Controlling;controlling, management accounting;контролінг, фінансове управління;Das Controlling überprüft das Budget für die neue Software.
die Finanzabteilung, -en;die Finanzabteilung;finance department;фінансовий відділ, бухгалтерія;Die Finanzabteilung überweist das Gehalt pünktlich.
die Fläche, -n;die Fläche;area, surface;площа;Wir mieten eine größere Bürofläche für die Entwickler.
die Forschung & Entwicklung (Sg.);die Forschung & Entwicklung;research & development (R&D);дослідження та розробка;Unser Team arbeitet in der Forschung & Entwicklung für KI.
die Geschäftsleitung, -en;die Geschäftsleitung;management, executive board;керівництво (компанії);Die Geschäftsleitung hat die neuen Ziele präsentiert.
der Hauptbereich, -e;der Hauptbereich;main area, core department;головний напрямок, основний відділ;Der Hauptbereich unseres Unternehmens ist die Webentwicklung.
die Haustechnik (Sg.);die Haustechnik;building services, technical facilities;технічне обслуговування будівлі;Die Haustechnik muss die Klimaanlage im Serverraum reparieren.
die Herstellung (Sg.);die Herstellung;production, manufacturing;виробництво, виготовлення;Die Herstellung der Chips dauert mehrere Monate.
die Hierarchieebene, -n;die Hierarchieebene;hierarchical level;рівень ієрархії;Es gibt nur drei Hierarchieebenen in unserem Startup.
das Lager, -;das Lager;warehouse, storage;склад;Die Ersatzteile für die Server liegen im Lager.
etw. leiten (leitet, leitete, hat geleitet);leiten;to lead, to manage, to head;керувати, очолювати;Sie wird das neue IT-Projekt leiten.
das Marketing (Sg.);das Marketing;marketing;маркетинг;Das Marketing bewirbt unser neues Software-Produkt.
die Marktuntersuchung, -en;die Marktuntersuchung;market research;дослідження ринку;Die Marktuntersuchung zeigt, dass User eine Dark-Mode-Option wollen.
die Mitarbeiterzahl, -en;die Mitarbeiterzahl;number of employees;кількість співробітників;Die Mitarbeiterzahl ist in diesem Jahr auf 50 Entwickler gestiegen.
die Öffentlichkeitsarbeit (Sg.);die Öffentlichkeitsarbeit;public relations (PR);зв'язки з громадськістю, PR;Die Öffentlichkeitsarbeit kümmert sich um unseren Tech-Blog.
das Organigramm, -e;das Organigramm;organizational chart;організаційна схема (структура компанії);Das Organigramm zeigt, wer wem im Team berichtet.
das Produktionsverfahren, -;das Produktionsverfahren;production process;виробничий процес;Wir haben ein automatisiertes Produktionsverfahren für Code-Releases.
die Qualitätssicherung (Sg.);die Qualitätssicherung;quality assurance (QA);забезпечення якості (QA);Die Qualitätssicherung testet die App vor dem Launch.
die Rechtsabteilung, -en;die Rechtsabteilung;legal department;юридичний відділ;Die Rechtsabteilung prüft die Software-Lizenzen.
die Spitze, -n;die Spitze;top, peak;верхівка, керівництво;Er steht an der Spitze der IT-Abteilung.
an der Spitze von (+ Dat.);an der Spitze von;at the top of, heading;на чолі;An der Spitze von unserem Team steht ein erfahrener Scrum Master.
untergeordnet;untergeordnet;subordinate;підлеглий;Das QA-Team ist der Entwicklungsabteilung nicht untergeordnet.
untergliedert;untergliedert;subdivided;підрозділений;Das IT-Department ist in Frontend und Backend untergliedert.
unterteilt;unterteilt;divided;поділений;Das Projekt ist in mehrere Sprints unterteilt.
die Verkaufsförderung (Sg.);die Verkaufsförderung;sales promotion;стимулювання збуту;Die Verkaufsförderung plant Rabatte für unsere Software.
der Vertrieb (Sg.);der Vertrieb;sales, distribution;збут, відділ продажів;Der Vertrieb verkauft unsere Lizenzen an große Firmen.
die Verwaltung, -en;die Verwaltung;administration;адміністрація, управління;Die System-Verwaltung kümmert sich um die Server-Rechte.
etw. zuordnen zu (+ Dat.) (ordnet zu, ordnete zu, hat zugeordnet);zuordnen zu;to assign to, to allocate to;призначати, відносити, класифікувати;Dieses Ticket müssen wir dem Backend-Team zuordnen.
die Zuständigkeit, -en;die Zuständigkeit;responsibility, competence;компетенція, сфера відповідальності;Das Deployment fällt in die Zuständigkeit der DevOps-Engineers.
die Anrede, -n;die Anrede;form of address;звертання (на початку листа/розмови);In formellen E-Mails nutzen wir die Anrede "Sehr geehrte Damen und Herren".
distanzlos;distanzlos;overfamiliar, lack of distance;без дотримання дистанції, фамільярний;Es wirkt unprofessionell und distanzlos, wenn man den Kunden sofort duzt.
das Du (Sg.);das Du;informal "you";звертання на "ти";In vielen Tech-Firmen ist das "Du" der Standard.
sich duzen (duzt sich, duzte sich, hat sich geduzt);sich duzen;to be on first-name terms;звертатися на "ти";In unserem Entwickler-Team duzen sich alle.
der Kompromiss, -e;der Kompromiss;compromise;компроміс;Wir haben einen guten Kompromiss für das API-Design gefunden.
einen Kompromiss finden;einen Kompromiss finden;to find a compromise;знайти компроміс;Bei der Technologiewahl mussten wir einen Kompromiss finden.
etw./jdn. respektieren (respektiert, respektierte, hat respektiert);etw.;to respect;поважати;Im Code Review müssen wir die Arbeit der Kollegen respektieren.
das Sie (Sg.);das Sie;formal "you";звертання на "Ви";Bei offiziellen Behörden benutzt man immer das "Sie".
sich siezen (siezt sich, siezte sich, hat sich gesiezt);sich siezen;to be on formal terms;звертатися на "Ви";Mit den Bankkunden müssen wir uns noch siezen.
jdm. das Du anbieten (bietet an, bot an, hat angeboten);jdm. das Du anbieten;to offer to use "du" (first-name terms);запропонувати перейти на "ти";Der Chef hat mir nach der Probezeit das Du angeboten.
die Arbeitslosenquote, -n;die Arbeitslosenquote;unemployment rate;рівень безробіття;Die Arbeitslosenquote in der IT-Branche ist relativ gering.
auffallen (fällt auf, fiel auf, ist aufgefallen);auffallen;to stand out, to be noticeable;впадати в око, виділятися;Der saubere Code ist mir beim Review sofort aufgefallen.
das Baugewerbe (Sg.);das Baugewerbe;construction industry;будівельна галузь;Wir entwickeln eine Projektmanagement-Software für das Baugewerbe.
etw. bearbeiten (bearbeitet, bearbeitete, hat bearbeitet);bearbeiten;to process, to edit;обробляти, редагувати;Das Backend muss diese großen Datenmengen sehr schnell bearbeiten.
etw./jdn. beaufsichtigen (beaufsichtigt, beaufsichtigte, hat beaufsichtigt);etw.;to supervise, to oversee;наглядати, контролювати;Der Senior Developer muss die neuen Praktikanten beaufsichtigen.
befristet;befristet;temporary, fixed-term;строковий (про договір), тимчасовий;Mein erster IT-Vertrag war leider nur auf ein Jahr befristet.
der Beschäftigte, -n / die Beschäftigte, -n;der Beschäftigte;employee;працівник, співробітник;Das Startup hat mittlerweile über 50 Beschäftigte.
etw./jdn. betreuen (betreut, betreute, hat betreut);etw.;to look after, to support, to manage;обслуговувати, супроводжувати, керувати;Unser DevOps-Team muss die Server-Infrastruktur rund um die Uhr betreuen.
die Branche, -n;die Branche;industry, sector;галузь, сфера;Die IT-Branche entwickelt sich extrem schnell weiter.
die Dienstleistung, -en;die Dienstleistung;service;послуга;Cloud-Computing (SaaS) ist heute eine sehr gefragte Dienstleistung.
die Finanzbranche (Sg.);die Finanzbranche;financial sector;фінансовий сектор;Datensicherheit ist das wichtigste Thema in der Softwareentwicklung für die Finanzbranche.
der Fluggerätemechaniker, - / die Fluggerätemechanikerin, -nen;der Fluggerätemechaniker;aircraft mechanic;авіамеханік;Der Fluggerätemechaniker nutzt Diagnose-Software für die Flugzeuge.
das Gastgewerbe (Sg.);das Gastgewerbe;hospitality industry;готельно-ресторанний бізнес;Wir programmieren ein neues digitales Kassensystem für das Gastgewerbe.
das Gesundheitswesen (Sg.);das Gesundheitswesen;healthcare system;система охорони здоров'я;Die Digitalisierung im Gesundheitswesen ist eine große Herausforderung in Deutschland.
das Gewerbe (Sg.);das Gewerbe;trade, business, industry;промисел, бізнес, підприємництво;Er hat ein eigenes Gewerbe als freiberuflicher IT-Berater angemeldet.
die Gleitzeit (Sg.);die Gleitzeit;flextime, flexible working hours;гнучкий графік роботи;Dank Gleitzeit kann ich morgens etwas später anfangen zu programmieren.
der Handel (Sg.);der Handel;trade, commerce;торгівля;Der Online-Handel (E-Commerce) braucht ständig neue Software-Lösungen.
das Handwerk (Sg.);das Handwerk;craft, trade;ремесло;Gutes Programmieren ist nicht nur Wissenschaft, sondern auch ein echtes Handwerk.
hervorgehen aus (+ Dat.) (geht hervor, ging hervor, ist hervorgegangen);hervorgehen aus;to emerge from, to follow from;випливати з, походити з;Aus dem Fehler-Log geht hervor, dass der Server überlastet war.
das Homeoffice (Sg.);das Homeoffice;home office, working from home;робота з дому;Als Softwareentwickler arbeite ich drei Tage pro Woche im Homeoffice.
Hotel und Gastronomie (Sg.);Hotel und Gastronomie;hotel and catering industry;готельно-ресторанна сфера;Diese App richtet sich an Kunden aus dem Bereich Hotel und Gastronomie.
die IT-Branche (Sg.);die IT-Branche;IT industry;ІТ-галузь;In der IT-Branche gibt es momentan sehr viele offene Stellen für Entwickler.
kaufmännisch;kaufmännisch;commercial, business;комерційний, торговельний;Der IT-Systemkaufmann kümmert sich um die kaufmännischen Aspekte des Projekts.
die Konjunktur (Sg.);die Konjunktur;economic situation, boom;економічна ситуація, кон'юнктура;Trotz schwacher Konjunktur suchen Firmen weiterhin händeringend IT-Spezialisten.
die Lagerlogistik (Sg.);die Lagerlogistik;warehouse logistics;складська логістика;Wir entwickeln eine Scanner-App für die Lagerlogistik.
die Land- und Forstwirtschaft (Sg.);die Land- und Forstwirtschaft;agriculture and forestry;сільське та лісове господарство;Smarte Sensoren digitalisieren zunehmend die Land- und Forstwirtschaft.
etw. nahelegen (legt nahe, legte nahe, hat nahegelegt);nahelegen;to suggest (e.g., a conclusion);наводити на думку, підказувати;Die Fehlermeldung legt den Schluss nahe, dass die Datenbank down ist.
das Pflegeheim, -e;das Pflegeheim;nursing home;будинок престарілих;Wir richten das sichere WLAN-Netzwerk im neuen Pflegeheim ein.
produzierendes Gewerbe;produzierendes Gewerbe;manufacturing industry;виробнича промисловість;Das produzierende Gewerbe braucht dringend neue Automatisierungssoftware.
die Reservierung, -en;die Reservierung;reservation;бронювання;Unser Backend verarbeitet Tausende Reservierungen pro Minute.
die Schichtarbeit (Sg.);die Schichtarbeit;shift work;позмінна робота;In der 24/7 Server-Überwachung ist Schichtarbeit ganz normal.
der Server, -;der Server;server;сервер;Die Web-Applikation läuft stabil auf einem Linux-Server in Frankfurt.
sozialversicherungspflichtig;sozialversicherungspflichtig;subject to social security contributions;який підлягає соціальному страхуванню;Mein neuer Job als Frontend-Entwickler ist sozialversicherungspflichtig.
stabil;stabil;stable;стабільний;Die neue Microservice-Architektur ist sehr stabil und stürzt nicht ab.
die Teilzeit (Sg.);die Teilzeit;part-time;неповний робочий день;Ich arbeite momentan in Teilzeit, um mehr Zeit zum Deutschlernen zu haben.
etw. überwachen (überwacht, überwachte, hat überwacht);überwachen;to monitor, to supervise;контролювати, здійснювати моніторинг;Wir nutzen Datadog, um unsere Server in Echtzeit zu überwachen.
etw. verwalten (verwaltet, verwaltete, hat verwaltet);verwalten;to manage, to administer;управляти, адмініструвати;Als Sysadmin muss ich die Zugriffsrechte aller User verwalten.
die Vollzeit (Sg.);die Vollzeit;full-time;повний робочий день;Ich suche nach dem Kurs eine Festanstellung in Vollzeit.
der Vollzeitjob, -s;der Vollzeitjob;full-time job;робота на повний робочий день;Ein Vollzeitjob in der deutschen IT bedeutet meistens 40 Stunden pro Woche.
etw. warten (z. B. eine Maschine) (wartet, wartete, hat gewartet);warten;to maintain (e.g., equipment);обслуговувати технічно;Wir müssen die Datenbank-Server regelmäßig am Wochenende warten.
die Wirtschaftsbranche (Sg.);die Wirtschaftsbranche;economic sector;економічна галузь;Die IT ist eine der am schnellsten wachsenden Wirtschaftsbranchen.
etw. zubereiten (bereitet zu, bereitete zu, hat zubereitet);zubereiten;to prepare (food);готувати (їжу);Die smarte Büro-Kaffeemaschine kann den Espresso per App-Befehl zubereiten.
die Zuverlässigkeit (Sg.);die Zuverlässigkeit;reliability;надійність;Zuverlässigkeit ist bei einem Cloud-Backup-System das Wichtigste.
etw./jdn. abfertigen (fertigt ab, fertigte ab, hat abgefertigt);etw.;to dispatch, to process, to handle;обслуговувати, оформляти;Die Software hilft, die Anfragen (Requests) im Server schneller abzufertigen.
die Arbeitsstätte, -n;die Arbeitsstätte;workplace, place of work;робоче місце;Mein Homeoffice ist vertraglich meine offizielle Arbeitsstätte.
etw. beschreiben (beschreibt, beschrieb, hat beschrieben);beschreiben;to describe;описувати;Bitte beschreiben Sie den Bug im Jira-Ticket so genau wie möglich.
etw. betreiben (betreibt, betrieb, hat betrieben);betreiben;to operate, to run;експлуатувати, керувати;Wir betreiben unsere eigenen Server in einem sicheren Rechenzentrum.
das Bodenpersonal (Sg.);das Bodenpersonal;ground staff;наземний персонал;Das Bodenpersonal am Flughafen nutzt unsere Tablet-App zur Kommunikation.
der Check-in (Sg.);der Check-in;check-in;реєстрація;Das System für den Online-Check-in funktioniert leider gerade nicht.
jdn. einstellen (stellt ein, stellte ein, hat eingestellt);einstellen;to hire, to employ;наймати на роботу;Die Tech-Firma möchte dieses Jahr 20 neue Entwickler einstellen.
der Einzelhandel (Sg.);der Einzelhandel;retail;роздрібна торгівля;Wir entwickeln eine moderne E-Commerce-Plattform für den Einzelhandel.
der Fluglotse, -n / die Fluglotsin, -nen;der Fluglotse;air traffic controller;авіадиспетчер;Der Fluglotse verlässt sich auf hochkomplexe Echtzeit-Software.
die Flugzeugabfertigung (Sg.);die Flugzeugabfertigung;aircraft handling;наземне обслуговування літаків;Unsere Sensoren optimieren die Flugzeugabfertigung am Terminal.
die Gepäckabfertigung (Sg.);die Gepäckabfertigung;baggage handling;обробка багажу;Das IT-System für die Gepäckabfertigung ist durch einen Bug ausgefallen.
die Gewerkschaft, -en;die Gewerkschaft;trade union;профспілка;Es gibt in Deutschland auch eine Gewerkschaft, die IT-Mitarbeiter vertritt.
etw. gründen (gründet, gründete, hat gegründet);gründen;to found, to establish;засновувати;Ich möchte nach dem Kurs mein eigenes IT-Startup gründen.
das Handgepäck (Sg.);das Handgepäck;hand luggage, carry-on baggage;ручна поклажа;Mein Firmenlaptop muss bei der Sicherheitskontrolle aus dem Handgepäck.
die Hygiene (Sg.);die Hygiene;hygiene;гігієна;Cyber-Hygiene (wie das regelmäßige Ändern von Passwörtern) ist extrem wichtig.
die Logistik (Sg.);die Logistik;logistics;логістика;Wir programmieren eine KI-basierte Routing-Software für die Logistik.
die Luftfracht (Sg.);die Luftfracht;air freight, air cargo;авіаперевезення, авіавантаж;Die Daten zur Luftfracht werden in unserer Cloud synchronisiert.
der Passagier, -e / die Passagierin, -nen;der Passagier;passenger;пасажир;Jeder Passagier bekommt automatisiert eine E-Mail mit dem QR-Code.
der Quereinsteiger, - / die Quereinsteigerin, -nen;der Quereinsteiger;career changer;світчер, людина, що змінила професію;Viele gute Programmierer sind Quereinsteiger ohne Informatik-Studium.
die Spedition, -en;die Spedition;freight forwarding company;експедиторська компанія, служба доставки;Die Spedition nutzt unser Tracking-System für ihre LKWs.
etw. umbauen (baut um, baute um, hat umgebaut);umbauen;to rebuild, to modify;перебудовувати, реконструювати, переробляти;Wir müssen die Architektur der App komplett umbauen (Refactoring).
